INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;P19_LOG;P19_RP;P19_RSECOCC;P19_LOGVAC;P19_MAISON;P19_APPART;P19_RP_1P;P19_RP_2P;P19_RP_3P;P19_RP_4P;P19_RP_5PP;P19_RP_M30M2;P19_RP_3040M2;P19_RP_4060M2;P19_RP_6080M2;P19_RP_80100M2;P19_RP_100120M2;P19_RP_120M2P;P19_RP_ACHTOT;P19_RP_ACH19;P19_RP_ACH45;P19_RP_ACH70;P19_RP_ACH90;P19_RP_ACH05;P19_RPMAISON_ACHTOT;P19_RPMAISON_ACH19;P19_RPMAISON_ACH45;P19_RPMAISON_ACH70;P19_RPMAISON_ACH90;P19_RPMAISON_ACH05;P19_RPMAISON_ACH15;P19_RPAPPART_ACHTOT;P19_RPAPPART_ACH19;P19_RPAPPART_ACH45;P19_RPAPPART_ACH70;P19_RPAPPART_ACH90;P19_RPAPPART_ACH05;P19_RPAPPART_ACH15;P19_MEN;P19_MEN_ANEM0002;P19_MEN_ANEM0204;P19_MEN_ANEM0509;P19_MEN_ANEM10P;P19_RP_PROP;P19_RP_LOC;P19_RP_LOCHLMV;P19_RP_GRAT;P19_RP_CCCOLL;P19_RP_CCIND;P19_RP_CINDELEC;P19_RP_GARL;P19_RP_VOIT1P;P19_RP_VOIT1;P19_RP_VOIT2P;C19_RP_HSTU1P;C19_RP_HSTU1P_SUROCC;P19_NPER_RP_PROP;P19_NPER_RP_LOC;P19_NPER_RP_LOCHLMV;P19_NPER_RP_GRAT;P19_RP_SDB
58031;58;580310000;Z;5;207.988781655867;134.329795480751;39.815668202765;33.8433179723502;206.02640938767;0.995391705069124;0.0;4.09747274687377;36.5387182174919;34.2326058904987;59.4609986258872;0.0;1.04398907166517;8.0409284766718;24.5500198050963;49.3909828126235;20.2929129697451;31.0109623449497;134.329795480751;60.6211746139899;14.9360373363155;17.6186826000511;22.3528914040685;6.89073920980724;133.362814917624;60.6211746139899;14.9360373363155;17.6186826000511;22.3528914040685;6.89073920980724;10.943289753392;0.0;0.0;0.0;0.0;0.0;0.0;0.0;134.329795480751;4.80565568506429;19.6953512307525;17.6085237130398;92.2202648518949;114.370021635577;19.959773845174;0.0;0.0;0.0;46.8047707144498;13.1140656424351;99.6257146951135;118.709201175667;51.0338898486258;67.6753113270416;134.427469894088;4.65316705910619;256.033953939021;42.9660460609787;0.0;0.0;131.237070035649
58032;58;580320000;Z;5;311.139255912616;196.139255912616;63.0;52.0;293.034818219385;18.1044376932306;2.03555176247821;16.2643981731917;53.4629203865194;47.8676364206876;76.5087491697391;2.03555176247821;7.08439931540578;26.2254937392079;39.3345472489965;45.0055448648986;41.7413511051812;34.7123678764478;196.139255912616;126.414705260075;16.927737937367;16.0069388656368;20.0376168973045;4.9699570249954;178.034818219385;122.343601735119;16.927737937367;9.99957593133051;14.9687534177429;4.9699570249954;8.82519217283081;18.1044376932306;4.07110352495642;0.0;6.00736293430626;5.06886347956155;0.0;2.95710775440637;196.139255912616;18.9802028028182;34.9513858174518;29.9213506527108;112.286316639635;143.908458656347;45.2256743673579;0.0;7.00512288891139;3.99221299702425;104.166464284351;27.0465917886163;131.129155694702;177.938598330074;107.813200143376;70.1253981866986;190.306208526299;0.0;274.542580731748;73.5442257981631;0.0;12.9131934700893;192.108184240928
58033;58;580330000;Z;5;275.150779509673;158.150779509673;92.0;25.0;269.951494373332;3.14946385225596;2.09964256817064;13.593917635015;36.8476443158436;35.2305517224491;70.3790232681946;4.19928513634128;6.29892770451192;13.3332400276717;35.5396235888649;36.0326425098225;26.6278157846236;36.1192447578371;158.150779509673;91.5462219858111;16.066254866514;12.6745522179639;23.1512986440057;7.77753990527918;153.951494373332;87.3469368494698;16.066254866514;12.6745522179639;23.1512986440057;7.77753990527918;6.93491189009914;3.14946385225596;3.14946385225596;0.0;0.0;0.0;0.0;0.0;158.150779509673;8.8913144739839;14.8734542500047;21.7066285117838;112.679382273901;132.751768885707;17.2664827576481;0.0;8.13252786631767;1.04982128408532;63.6334569755204;30.1964815343993;103.213975161016;134.058649033805;69.6943886726206;64.3642603611843;155.693923511481;0.0;255.166219755311;27.8229535963923;0.0;13.0108266482971;151.959369921349
58034;58;580340000;Z;5;180.0;84.0;81.0;15.0;175.0;5.0;0.0;4.0;16.0;23.0;41.0;0.0;0.0;8.0;12.0;33.0;15.0;16.0;84.0;65.0;7.0;2.0;5.0;4.0;83.0;65.0;6.0;2.0;5.0;4.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;84.0;5.0;12.0;13.0;54.0;71.0;11.0;0.0;2.0;1.0;41.0;8.0;71.0;79.0;38.0;41.0;85.0;0.0;156.0;24.0;0.0;3.0;83.0
58035;58;580350000;Z;5;224.006734006734;141.340067340067;45.9259259259259;36.7407407407407;222.989898989899;1.01683501683502;0.0;10.1683501683502;19.3198653198653;40.6734006734007;71.1784511784512;0.0;1.01683501683502;6.1010101010101;32.5387205387205;43.7239057239057;27.4545454545455;30.5050505050505;138.289562289562;83.3804713804714;16.2693602693603;10.1683501683502;23.3872053872054;5.08417508417508;137.272727272727;83.3804713804714;16.2693602693603;9.15151515151515;23.3872053872054;5.08417508417508;0.0;1.01683501683502;0.0;0.0;1.01683501683502;0.0;0.0;0.0;141.340067340067;11.1851851851852;10.1683501683502;17.2861952861953;102.700336700337;125.070707070707;14.2356902356902;0.0;2.03367003367003;0.0;66.0942760942761;19.3198653198653;121.003367003367;128.121212121212;53.8922558922559;74.2289562289562;142.356902356902;0.0;268.444444444444;30.5050505050505;0.0;3.05050505050505;136.255892255892
58036;58;580360000;Z;5;423.592970811334;230.715820934185;136.326781326781;56.5503685503683;416.511558888646;7.08141192268761;2.03010116152701;18.2588127969324;27.3972832897692;62.757333783176;120.27228990278;0.0;2.03010116152701;17.2163684524523;33.4208111495737;62.8180418456242;35.4085506827472;79.8219476422603;230.715820934185;176.200018241868;12.1685456859194;6.07820560838868;11.1260649678713;12.0230782112626;227.673721050809;174.169917080341;12.1685456859194;5.0662068865401;11.1260649678713;12.0230782112626;13.1199082188746;3.04209988337559;2.03010116152701;0.0;1.01199872184858;0.0;0.0;0.0;230.715820934185;12.1502345324299;32.3906835821541;30.3122998184952;155.862603001105;207.439521433884;18.210092613761;0.0;5.0662068865401;0.0;79.9372247687217;48.5829547797356;206.463634252075;210.414772725965;121.636407340791;88.7783653851743;232.733932466642;10.089651594085;417.556719903617;37.365371951026;0.0;9.0779081453574;222.607550537837
58037;58;580370000;Z;5;609.0;311.0;237.0;61.0;592.0;14.0;5.0;17.0;72.0;90.0;127.0;1.0;6.0;39.0;76.0;75.0;54.0;60.0;309.0;158.0;34.0;32.0;40.0;31.0;296.0;151.0;31.0;32.0;39.0;29.0;14.0;10.0;6.0;3.0;0.0;0.0;1.0;0.0;311.0;26.0;42.0;35.0;208.0;252.0;49.0;0.0;10.0;12.0;137.0;30.0;220.0;276.0;165.0;111.0;315.0;5.0;490.0;86.0;0.0;16.0;298.0
58039;58;580390000;Z;5;225.658099278383;133.249210389494;58.2577777777778;34.1511111111111;224.66667769978;0.0;0.0;16.9223940734011;35.9310051828889;31.7456398809407;48.6501712522637;0.0;3.0705964463327;7.964741751071;40.6339760592381;30.4993257638598;18.9752419872445;32.1053283817482;133.249210389494;76.7532225434473;10.9475376478945;6.43018802423245;30.0906050949535;6.1411928926654;132.257788810891;76.7532225434473;10.9475376478945;6.43018802423245;30.0906050949535;6.1411928926654;1.89504260769774;0.0;0.0;0.0;0.0;0.0;0.0;0.0;133.249210389494;7.33380905332674;16.7438598473138;19.8236760672637;89.3478654215902;107.826718055991;22.6160530575075;0.0;2.80643927599586;0.991421578603449;43.2214249603035;19.3442620291169;92.530366907816;117.125574473652;63.0722283615046;54.0533461121475;125.267361458155;0.0;192.946378448548;35.7935507618825;0.0;7.26007078956964;126.915354075784
58041;58;580410000;Z;5;159.91052424123;94.6779661016949;37.5581395348837;27.6744186046512;152.092629089476;7.81789515175404;0.966101694915254;2.89830508474576;28.0169491525424;20.2881355932203;42.5084745762712;1.93220338983051;1.93220338983051;6.76271186440678;25.1186440677966;26.0847457627119;8.69491525423729;24.1525423728814;94.6779661016949;42.5084745762712;8.69491525423729;11.5932203389831;20.2881355932203;5.79661016949153;90.8135593220339;39.6101694915254;8.69491525423729;11.5932203389831;20.2881355932203;5.79661016949153;4.83050847457627;3.86440677966102;2.89830508474576;0.0;0.0;0.0;0.0;0.966101694915254;94.6779661016949;14.4915254237288;14.4915254237288;16.4237288135593;49.271186440678;67.6271186440678;19.3220338983051;0.0;7.72881355932203;3.86440677966102;39.6101694915254;15.4576271186441;67.6271186440678;82.1186440677966;51.2033898305085;30.9152542372881;91.7796610169491;0.0;121.728813559322;37.6779661016949;0.0;11.5932203389831;88.8813559322034
58042;58;580420000;Z;5;110.237610976594;67.0285714285714;30.145841545132;13.0631980028906;107.25645963549;1.00486138483773;1.94285714285714;0.971428571428571;8.74285714285714;28.1714285714286;27.2;0.0;2.91428571428571;5.82857142857143;8.74285714285714;17.4857142857143;17.4857142857143;14.5714285714286;67.0285714285714;32.0571428571429;6.8;8.74285714285714;9.71428571428571;2.91428571428571;66.0571428571428;31.0857142857143;6.8;8.74285714285714;9.71428571428571;2.91428571428571;6.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.0285714285714;1.94285714285714;11.6571428571429;7.77142857142857;45.6571428571429;59.2571428571429;5.82857142857143;0.971428571428571;1.94285714285714;1.94285714285714;24.2857142857143;18.4571428571429;52.4571428571429;61.2;31.0857142857143;30.1142857142857;63.1428571428571;0.0;116.571428571429;12.6285714285714;1.94285714285714;6.8;63.1428571428571
