IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;C17_MEN;C17_MENPSEUL;C17_MENSFAM;C17_MENFAM;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
2A0400000;94;2A;2A000;2A040;ZZZZZZ;2A04000;Z;5;193;75;5;113;114;45;16;53;70;21;21;2;0
2A0410000;94;2A;2A101;2A041;ZZZZZZ;2A04100;Z;5;1373;474;21;879;897;407;140;350;425;260;156;44;12
2A0480000;94;2A;2A000;2A048;ZZZZZZ;2A04800;Z;5;248;84;4;160;168;49;26;92;109;26;29;3;0
2A0560000;94;2A;2A000;2A056;ZZZZZZ;2A05600;Z;5;58;26;1;31;34;9;9;16;20;11;2;1;0
2A0600000;94;2A;2A000;2A060;ZZZZZZ;2A06000;Z;5;28;6;0;22;22;10;3;9;14;5;3;0;0
2A0610000;94;2A;2A000;2A061;ZZZZZZ;2A06100;Z;5;52;18;7;26;26;7;6;12;17;6;1;1;1
2A0620000;94;2A;2A000;2A062;ZZZZZZ;2A06200;Z;5;182;60;4;118;120;40;20;60;68;33;16;1;2
2A0640000;94;2A;2A000;2A064;ZZZZZZ;2A06400;Z;5;16;5;1;10;10;4;1;5;10;0;0;0;0
2A0650000;94;2A;2A000;2A065;ZZZZZZ;2A06500;Z;5;625;257;19;349;357;141;74;142;200;83;53;18;3
2A0660000;94;2A;2A000;2A066;ZZZZZZ;2A06600;Z;5;30;16;0;14;14;8;2;5;9;6;0;0;0
2A0700000;94;2A;2A000;2A070;ZZZZZZ;2A07000;Z;5;210;95;6;109;111;30;25;56;72;25;9;4;1
2A0710000;94;2A;2A000;2A071;ZZZZZZ;2A07100;Z;5;110;48;6;56;56;20;11;24;32;11;10;3;0
2A0850000;94;2A;2A000;2A085;ZZZZZZ;2A08500;Z;5;609;190;4;415;426;176;76;174;220;117;74;12;4
2A0890000;94;2A;2A000;2A089;ZZZZZZ;2A08900;Z;5;71;29;5;37;39;6;18;15;33;5;1;0;0
2A0900000;94;2A;2A000;2A090;ZZZZZZ;2A09000;Z;5;351;126;9;216;216;66;21;129;163;27;20;5;1
2A0910000;94;2A;2A000;2A091;ZZZZZZ;2A09100;Z;5;88;31;7;50;53;14;13;27;38;15;1;0;0
2A0920000;94;2A;2A000;2A092;ZZZZZZ;2A09200;Z;5;531;197;11;323;327;122;55;150;195;74;42;14;2
2A0940000;94;2A;2A000;2A094;ZZZZZZ;2A09400;Z;5;36;15;3;18;19;6;2;11;14;1;3;0;1
2A0980000;94;2A;2A000;2A098;ZZZZZZ;2A09800;Z;5;350;114;5;231;237;66;38;133;163;40;27;6;1
2A0990000;94;2A;2A000;2A099;ZZZZZZ;2A09900;Z;5;130;54;9;68;69;24;13;31;41;8;14;2;3
2A1000000;94;2A;2A000;2A100;ZZZZZZ;2A10000;Z;5;34;12;3;19;19;5;1;13;15;3;1;0;0
2A1030000;94;2A;2A000;2A103;ZZZZZZ;2A10300;Z;5;799;182;17;600;621;276;91;254;322;146;117;31;5
2A1040000;94;2A;2A000;2A104;ZZZZZZ;2A10400;Z;5;468;104;11;353;366;168;62;136;182;91;81;10;2
2A1080000;94;2A;2A000;2A108;ZZZZZZ;2A10800;Z;5;120;53;6;61;61;20;10;31;43;10;7;1;0
2A1140000;94;2A;2A000;2A114;ZZZZZZ;2A11400;Z;5;647;220;11;416;421;189;63;169;209;110;77;17;9
2A1150000;94;2A;2A000;2A115;ZZZZZZ;2A11500;Z;5;66;21;4;41;42;18;7;16;22;8;9;1;1
2A1170000;94;2A;2A000;2A117;ZZZZZZ;2A11700;Z;5;39;14;1;24;26;4;11;11;21;3;1;1;0
2A1180000;94;2A;2A000;2A118;ZZZZZZ;2A11800;Z;5;108;44;3;61;61;16;13;33;39;12;10;0;0
2A1190000;94;2A;2A000;2A119;ZZZZZZ;2A11900;Z;5;71;41;0;30;31;9;6;16;23;5;1;2;0
2A1270000;94;2A;2A000;2A127;ZZZZZZ;2A12700;Z;5;42;15;0;27;28;9;5;14;14;11;3;0;0
2A1280000;94;2A;2A000;2A128;ZZZZZZ;2A12800;Z;5;43;16;0;27;27;11;1;14;15;6;3;2;0
2A1290000;94;2A;2A000;2A129;ZZZZZZ;2A12900;Z;5;22;9;0;13;13;6;1;6;7;4;2;0;0
2A1300000;94;2A;2A000;2A130;ZZZZZZ;2A13000;Z;5;1494;549;54;891;924;331;154;439;581;189;129;21;3
2A1310000;94;2A;2A000;2A131;ZZZZZZ;2A13100;Z;5;85;36;1;48;51;9;14;28;43;3;4;1;0
2A1320000;94;2A;2A000;2A132;ZZZZZZ;2A13200;Z;5;73;27;8;38;40;8;10;22;30;5;4;0;1
2A1330000;94;2A;2A000;2A133;ZZZZZZ;2A13300;Z;5;72;26;2;43;43;17;9;18;25;7;11;0;0
2A1390000;94;2A;2A000;2A139;ZZZZZZ;2A13900;Z;5;725;221;48;457;475;206;73;196;232;110;104;24;5
2A1410000;94;2A;2A000;2A141;ZZZZZZ;2A14100;Z;5;70;37;3;30;31;8;6;17;23;5;2;1;0
2A1420000;94;2A;2A000;2A142;ZZZZZZ;2A14200;Z;5;323;124;9;190;192;71;45;75;106;49;32;5;0
2A1440000;94;2A;2A000;2A144;ZZZZZZ;2A14400;Z;5;54;26;2;26;28;9;7;12;20;7;1;0;0
2A1460000;94;2A;2A000;2A146;ZZZZZZ;2A14600;Z;5;31;15;2;14;14;3;5;6;10;1;3;0;0
2A1540000;94;2A;2A000;2A154;ZZZZZZ;2A15400;Z;5;54;22;2;30;31;10;2;19;24;2;4;1;0
2A1580000;94;2A;2A000;2A158;ZZZZZZ;2A15800;Z;5;19;10;0;9;9;1;0;8;9;0;0;0;0
2A1600000;94;2A;2A000;2A160;ZZZZZZ;2A16000;Z;5;128;52;14;62;63;24;11;28;42;13;7;1;0
2A1630000;94;2A;2A000;2A163;ZZZZZZ;2A16300;Z;5;273;128;14;131;134;49;24;60;75;31;18;6;3
2A1740000;94;2A;2A000;2A174;ZZZZZZ;2A17400;Z;5;51;24;0;27;27;10;4;12;17;5;5;0;0
2A1810000;94;2A;2A000;2A181;ZZZZZZ;2A18100;Z;5;246;88;2;156;162;66;25;71;91;39;26;5;2
2A1860000;94;2A;2A000;2A186;ZZZZZZ;2A18600;Z;5;118;54;3;61;62;26;8;28;43;10;8;1;0
2A1890000;94;2A;2A000;2A189;ZZZZZZ;2A18900;Z;5;590;206;22;362;367;123;61;183;225;73;58;9;2
2A1910000;94;2A;2A000;2A191;ZZZZZZ;2A19100;Z;5;60;16;5;39;39;9;9;21;26;7;6;0;0
2A1960000;94;2A;2A000;2A196;ZZZZZZ;2A19600;Z;5;36;22;2;12;13;1;4;8;11;2;0;0;0
2A1970000;94;2A;2A000;2A197;ZZZZZZ;2A19700;Z;5;61;30;1;29;29;5;1;24;24;4;1;0;0
2A1980000;94;2A;2A000;2A198;ZZZZZZ;2A19800;Z;5;261;103;9;149;152;57;19;75;92;35;21;2;2
2A2000000;94;2A;2A000;2A200;ZZZZZZ;2A20000;Z;5;83;36;8;40;42;15;11;17;24;12;7;0;0
2A2030000;94;2A;2A000;2A203;ZZZZZZ;2A20300;Z;5;54;18;4;32;32;4;6;21;27;4;1;0;0
2A2040000;94;2A;2A000;2A204;ZZZZZZ;2A20400;Z;5;47;24;4;19;23;7;5;11;17;3;3;0;0
