IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_NSCOL15P_DIPLMIN;P17_NSCOL15P_BEPC;P17_NSCOL15P_CAPBEP;P17_NSCOL15P_BAC;P17_NSCOL15P_SUP2;P17_NSCOL15P_SUP34;P17_NSCOL15P_SUP5
741500000;84;74;74000;74150;ZZZZZZ;7415000;Z;5;162;54;372;196;111;101;114
741510000;84;74;74000;74151;ZZZZZZ;7415100;Z;5;44;24;111;66;57;35;20
741520000;84;74;74601;74152;ZZZZZZ;7415200;Z;5;66;37;199;162;157;162;154
741530000;84;74;00652;74153;ZZZZZZ;7415300;Z;5;132;52;268;211;158;148;218
741540000;84;74;74501;74154;ZZZZZZ;7415400;Z;5;254;88;564;316;270;179;155
741550000;84;74;74000;74155;ZZZZZZ;7415500;Z;5;103;30;170;98;85;52;54
741560000;84;74;74112;74156;ZZZZZZ;7415600;Z;5;64;32;169;97;67;47;24
741570000;84;74;74000;74157;ZZZZZZ;7415700;Z;5;173;51;363;211;175;134;85
741580000;84;74;00652;74158;ZZZZZZ;7415800;Z;5;155;39;261;138;79;62;62
741590000;84;74;74103;74159;ZZZZZZ;7415900;Z;5;596;108;769;443;271;126;91
741600000;84;74;74000;74160;ZZZZZZ;7416000;Z;5;137;114;141;175;83;52;19
741610000;84;74;74000;74161;ZZZZZZ;7416100;Z;5;217;47;420;238;210;131;111
741620000;84;74;00652;74162;ZZZZZZ;7416200;Z;5;66;39;205;152;96;92;91
741630000;84;74;74501;74163;ZZZZZZ;7416300;Z;5;193;69;510;289;216;155;109
741640101;84;74;74502;74164;ZZZZZZ;7416401;H;4;725;110;818;460;298;198;136
741640102;84;74;74502;74164;ZZZZZZ;7416401;H;4;608;94;565;283;249;151;118
741650000;84;74;74000;74165;ZZZZZZ;7416500;Z;5;96;20;140;93;71;46;39
741660000;84;74;74501;74166;ZZZZZZ;7416600;Z;5;176;68;411;229;178;130;132
741670000;84;74;74000;74167;ZZZZZZ;7416700;Z;5;171;50;359;207;143;54;51
741680000;84;74;74000;74168;ZZZZZZ;7416800;Z;5;78;32;188;142;90;83;84
741690000;84;74;74502;74169;ZZZZZZ;7416900;Z;5;1030;177;1238;673;406;284;130
741700000;84;74;74000;74170;ZZZZZZ;7417000;Z;5;105;27;181;124;91;44;53
741710000;84;74;74000;74171;ZZZZZZ;7417100;Z;5;163;42;294;185;140;142;111
741720000;84;74;74501;74172;ZZZZZZ;7417200;Z;5;142;41;299;186;129;124;116
741730000;84;74;00462;74173;ZZZZZZ;7417300;Z;5;512;187;681;470;210;235;166
741740000;84;74;74000;74174;ZZZZZZ;7417400;Z;5;58;21;118;76;64;57;27
741750000;84;74;74000;74175;ZZZZZZ;7417500;Z;5;31;11;72;56;32;24;20
741760000;84;74;74202;74176;ZZZZZZ;7417600;Z;5;98;53;219;257;163;230;398
741770000;84;74;74000;74177;ZZZZZZ;7417700;Z;5;90;21;191;148;106;92;80
741780000;84;74;74000;74178;ZZZZZZ;7417800;Z;5;79;14;163;89;79;48;37
741790000;84;74;74000;74179;ZZZZZZ;7417900;Z;5;95;27;182;97;78;40;34
741800000;84;74;74117;74180;ZZZZZZ;7418000;Z;5;169;65;334;309;179;188;230
741830000;84;74;74000;74183;ZZZZZZ;7418300;Z;5;305;99;491;330;191;192;144
741840000;84;74;74000;74184;ZZZZZZ;7418400;Z;5;75;29;209;127;110;66;72
741850000;84;74;00652;74185;ZZZZZZ;7418500;Z;5;337;70;431;257;190;201;207
741860000;84;74;74000;74186;ZZZZZZ;7418600;Z;5;52;11;139;79;74;77;60
741880000;84;74;74114;74188;ZZZZZZ;7418800;Z;5;118;33;206;148;69;64;38
741890000;84;74;74000;74189;ZZZZZZ;7418900;Z;5;195;54;334;206;171;145;106
741900000;84;74;74110;74190;ZZZZZZ;7419000;Z;5;70;32;147;91;69;67;39
741910000;84;74;74114;74191;ZZZZZZ;7419100;Z;5;352;126;609;457;287;236;157
741920000;84;74;74000;74192;ZZZZZZ;7419200;Z;5;132;40;216;130;95;75;70
741930000;84;74;74000;74193;ZZZZZZ;7419300;Z;5;107;24;241;136;90;97;60
741940000;84;74;74000;74194;ZZZZZZ;7419400;Z;5;67;28;141;119;92;61;64
741950000;84;74;74000;74195;ZZZZZZ;7419500;Z;5;56;11;93;55;28;36;23
741960000;84;74;74000;74196;ZZZZZZ;7419600;Z;5;40;16;98;77;44;37;22
741970000;84;74;00652;74197;ZZZZZZ;7419700;Z;5;139;38;304;248;177;152;115
741980000;84;74;74206;74198;ZZZZZZ;7419800;Z;5;67;41;150;99;108;97;125
741990000;84;74;74117;74199;ZZZZZZ;7419900;Z;5;25;14;50;43;33;52;76
742000000;84;74;74501;74200;ZZZZZZ;7420000;Z;5;250;101;564;380;318;309;320
742010000;84;74;00652;74201;ZZZZZZ;7420100;Z;5;151;38;378;245;162;181;191
742020000;84;74;74000;74202;ZZZZZZ;7420200;Z;5;63;15;117;95;78;66;41
742030000;84;74;74000;74203;ZZZZZZ;7420300;Z;5;8;0;25;5;1;2;2
