INSEE_COM;DEP;TYP_IRIS;MODIF_IRIS;P19_POP1564;P19_POP1524;P19_POP2554;P19_POP5564;P19_ACT1564;P19_ACT1524;P19_ACT2554;P19_ACT5564;P19_ACTOCC1564;P19_ACTOCC1524;P19_ACTOCC2554;P19_ACTOCC5564;P19_CHOM1564;P19_CHOM1524;P19_CHOM2554;P19_CHOM5564;P19_CHOM_DIPLMIN;P19_CHOM_BEPC;P19_CHOM_CAPBEP;P19_CHOM_BAC;P19_CHOM_SUP2;P19_CHOM_SUP34;P19_CHOM_SUP5;P19_ACT_DIPLMIN;P19_ACT_BEPC;P19_ACT_CAPBEP;P19_ACT_BAC;P19_ACT_SUP2;P19_ACT_SUP34;P19_ACT_SUP5;P19_INACT1564;P19_HINACT1564;P19_FINACT1564;P19_ETUD1564;P19_HETUD1564;P19_FETUD1564;P19_RETR1564;P19_AINACT1564;C19_ACT1564;C19_ACT1564_CS1;C19_ACT1564_CS2;C19_ACT1564_CS3;C19_ACT1564_CS4;C19_ACT1564_CS5;C19_ACT1564_CS6;C19_ACTOCC1564;C19_ACTOCC1564_CS1;C19_ACTOCC1564_CS2;C19_ACTOCC1564_CS3;C19_ACTOCC1564_CS4;C19_ACTOCC1564_CS5;C19_ACTOCC1564_CS6;P19_ACTOCC15P;P19_SAL15P;P19_NSAL15P;P19_ACTOCC15P_TP;P19_SAL15P_TP;P19_HSAL15P_TP;P19_FSAL15P_TP;P19_NSAL15P_TP;P19_SAL15P_CDI;P19_SAL15P_CDD;P19_SAL15P_INTERIM;P19_SAL15P_EMPAID;P19_SAL15P_APPR;P19_NSAL15P_INDEP;P19_NSAL15P_EMPLOY;P19_NSAL15P_AIDFAM;P19_ACTOCC15P_ILT1;P19_ACTOCC15P_ILT2P;P19_ACTOCC15P_ILT2;P19_ACTOCC15P_ILT3;P19_ACTOCC15P_ILT4;P19_ACTOCC15P_ILT5;C19_ACTOCC15P;C19_ACTOCC15P_PAS;C19_ACTOCC15P_MAR;C19_ACTOCC15P_VELO;C19_ACTOCC15P_2ROUESMOT;C19_ACTOCC15P_VOIT
2B327;2B;Z;0;88.0;10.0;47.0;31.0;57.0;4.0;38.0;15.0;47.0;1.0;33.0;13.0;10.0;3.0;5.0;2.0;2.0;2.0;0.0;4.0;0.0;1.0;1.0;6.0;8.0;10.0;16.0;5.0;8.0;4.0;31.0;13.0;18.0;5.0;1.0;4.0;10.0;16.0;57.0;2.0;15.0;7.0;8.0;15.0;8.0;47.0;2.0;15.0;5.0;7.0;11.0;7.0;50.0;28.0;22.0;7.0;5.0;2.0;3.0;2.0;27.0;1.0;0.0;0.0;0.0;15.0;7.0;0.0;23.0;27.0;26.0;0.0;1.0;0.0;50.0;2.0;4.0;0.0;0.0;44.0
2B332;2B;Z;0;139.464471731285;16.5604606623583;87.7075040107678;35.1965070581593;99.6258611496141;6.88785510200598;76.7746693101354;15.9633367374728;91.6026513829712;5.87734445583442;69.761970189664;15.9633367374728;8.02320976664296;1.01051064617156;7.01269912047139;0.0;1.95812566157219;0.0;2.96863630774375;2.05347922174929;0.0;0.0;1.04296857557773;20.9132533429488;7.11004147321777;22.6309942608362;20.718340429101;12.6098864025381;5.75442733728847;9.88891790368378;39.8386105816713;19.8426593163524;19.9959512653189;9.70405337573777;4.86677191701304;4.83728145872473;14.1157012310164;16.0188559749171;99.6258611496141;2.93816717090686;7.93082367758371;9.85649140974973;16.5383770545743;34.4940201759353;25.8145024391149;91.6026513829712;2.93816717090686;6.95176084679762;8.81352283417201;16.5383770545743;31.5253838681915;24.8354396083289;92.5817142137573;72.7195499540741;19.8621642596832;12.8513920391312;11.902798345182;2.01094342755808;9.89185491762394;0.948593693949205;67.0575087058449;4.71344755428002;0.0;0.0;0.948593693949205;10.0462198515554;9.8159444081278;0.0;34.534629070207;58.0470851435503;52.0104813827471;1.89718738789841;4.13941637290474;0.0;92.5817142137573;8.97180346059216;0.948593693949205;0.0;0.0;81.6508064130444
2B335;2B;Z;0;217.207333938508;22.4384439766702;139.219914768477;55.54897519336;166.126750642054;10.2150873349153;128.093484607925;27.8181786992133;153.84246658346;6.12089927793514;120.945641266086;26.7759260394393;12.2842840585933;4.09418805698016;7.1478433418392;1.04225265977398;3.08987427197817;0.0;6.08608714042463;0.0;0.0;1.04225265977398;2.06606998641656;17.4736466459709;8.1678239858755;41.9423063451999;52.2255724613914;13.3595902032018;14.3653304598774;18.5924805405366;51.0805832964541;26.4420909072832;24.6384923891709;9.09659866243298;8.054346002659;1.04225265977398;14.6309025832812;27.3530820507399;166.126750642054;3.08846742236954;32.8265559441938;12.4322289572369;26.5493413772517;60.4699840212687;28.7125513075288;153.84246658346;3.08846742236954;30.8910441097336;11.3704727558224;24.4832713908351;57.3432260419468;26.6659848627528;156.969582825947;124.901897681973;32.0676851439733;24.4662298662314;19.2546083041971;6.02692483635922;13.2276834678379;5.21162156203427;102.389308405386;18.3240750958506;1.06175620141456;3.12675797932193;0.0;13.5134887002921;18.5541964436813;0.0;39.0379707454409;117.931612080506;113.819685594658;0.0;3.08881910454995;1.02310738129778;156.969582825947;10.3853108302805;5.13574381249031;0.0;2.00862757000399;137.3745405721
2B341;2B;Z;0;397.547773128596;61.3650851512799;234.664025695301;101.518662282014;298.632236277233;23.7417103081106;214.211809340628;60.6787166284945;266.885489982327;18.8360555057391;194.445592689487;53.6038417871006;31.7467462949065;4.90565480237146;19.7662166511411;7.07487484139394;4.99059018551242;2.9603756654572;5.89295451971482;4.96124842477062;4.98982844222599;1.9460408802007;6.00570817702472;34.6342915587822;24.018981065728;72.730603591006;66.6446157542656;24.8131836653084;39.5655849557977;36.2249756863453;98.9155368513624;45.2535952808525;53.6619415705099;34.6907959889117;13.9311630348249;20.7596329540869;23.5622347688521;40.6625060935986;298.632236277233;9.94953191745437;26.8155804993655;49.9328528356723;65.5823488817547;102.563761540337;40.8555817483921;266.885489982327;9.94953191745437;24.7297508939418;45.025674546728;60.6488972681836;89.7055959374533;36.8260394185657;272.01432394352;215.208073736709;56.806250206811;34.7116721334545;30.736178476485;10.8850473170015;19.8511311594835;3.97549365696949;177.588678137385;27.7509688856089;3.04300435576949;1.91900581228756;4.9064165456579;40.0305127251554;14.8026615335418;1.97307594811384;89.6575368368951;182.356787106625;163.60261942271;15.7351293717724;3.01903831214225;0.0;272.01432394352;15.9274432832795;23.0571285408168;0.0;0.986537974056921;228.066217876623
2B342;2B;Z;0;1608.68941928788;267.947846831596;1045.33644719882;295.405125257463;1237.90551282118;144.964972670152;939.774167237783;153.166372913243;1073.08517627433;106.730316982612;828.555618279654;137.799241012062;164.820336546851;38.2346556875402;111.21854895813;15.367131901181;24.045926741744;8.06466953582341;56.8413448081655;53.6804040985894;10.0921595469964;9.13476641668633;2.96106539884566;92.608747838463;77.9849018221111;333.394006961619;395.851016515308;189.608333915444;107.018186393687;41.4403193745454;370.783906466707;154.385641365914;216.398265100793;112.166124125152;54.6160032003214;57.5501209248311;107.971841394012;150.645940947543;1237.90551282118;15.209948290132;71.2003216591954;74.1141270570534;299.063861695828;604.914723680152;158.53562414431;1073.08517627433;15.209948290132;66.0689485061737;72.1946080648668;271.689762597653;517.751842165533;130.170066649969;1093.01081597084;951.871107868772;141.139708102063;150.939484785591;129.960478764825;18.2969577016022;111.663521063223;20.9790060207656;680.494717381398;247.4328901973;0.0;7.1318756063107;16.8116246837631;93.6860483348815;46.4939002710882;0.959759496093302;680.508667122037;412.502148848799;299.25431220003;90.9409956299155;19.3434948282078;2.96334619064557;1093.01081597084;97.9542167514109;41.3214391280428;47.2815059902155;23.1226256094616;878.423435153411
2B343;2B;Z;0;1122.0;142.0;740.0;240.0;774.0;52.0;607.0;115.0;710.0;42.0;563.0;105.0;64.0;10.0;44.0;10.0;9.0;5.0;18.0;16.0;3.0;4.0;9.0;141.0;57.0;198.0;162.0;89.0;59.0;68.0;348.0;119.0;229.0;84.0;39.0;45.0;69.0;195.0;774.0;27.0;94.0;51.0;149.0;238.0;211.0;710.0;27.0;94.0;49.0;137.0;206.0;197.0;732.0;569.0;163.0;74.0;61.0;12.0;49.0;13.0;496.0;57.0;5.0;2.0;9.0;121.0;42.0;0.0;148.0;584.0;565.0;12.0;7.0;0.0;732.0;29.0;10.0;1.0;4.0;677.0
2B346;2B;Z;0;1776.9170018652;261.40100649162;1139.85934921539;375.656646158194;1200.72998996182;121.959238980394;922.123673715553;156.647077265878;998.141325504703;78.5257188127903;775.693355763953;143.92225092796;202.588664457121;43.4335201676033;146.4303179516;12.7248263379177;44.889957621375;21.3711960698951;53.7296667859502;47.3978585640713;18.6678649097835;9.1898918855098;7.34222862053606;212.299860683933;75.8046317619396;324.037965995639;270.617549945039;123.67386716915;116.32816637912;77.9679480270035;576.18701190338;213.73575852126;362.451253382119;113.806656803448;60.2015417610257;53.6051150424227;132.709589270919;329.670765829013;1200.72998996182;28.6670475303075;98.1390551100581;100.095405834462;221.536726835822;404.187120954144;329.482616156398;998.141325504703;28.6670475303075;90.5895537015518;96.9034406631326;199.304265919037;318.584104057472;264.092913633203;1026.3755594987;857.166976385031;169.208583113669;147.412812985001;124.748970906315;25.1263979774186;99.6225729288964;22.6638420786856;751.406172610855;70.1730684077207;2.02639410548205;15.0710961796422;18.4902450813309;98.5357946822681;68.5464546253791;2.12633380602161;301.656136291672;724.719423207027;713.4149461109;4.2051622240705;6.03614796904591;1.0631669030108;1026.3755594987;38.7101511645386;41.8779923066442;5.1159551139749;14.3077538224664;901.861596268366
2B352;2B;Z;0;110.053140096618;10.0966183574879;68.6570048309179;31.2995169082126;85.8212560386473;5.04830917874396;64.6183574879227;16.1545893719807;75.7246376811594;4.03864734299517;57.5507246376812;14.1352657004831;10.0966183574879;1.00966183574879;7.06763285024155;2.01932367149758;1.00966183574879;1.00966183574879;0.0;4.03864734299517;4.03864734299517;0.0;0.0;6.05797101449275;4.03864734299517;24.231884057971;22.2125603864734;11.1062801932367;13.1256038647343;5.04830917874396;24.231884057971;11.1062801932367;13.1256038647343;5.04830917874396;3.02898550724638;2.01932367149758;12.1159420289855;7.06763285024155;85.8212560386473;7.06763285024155;8.07729468599034;7.06763285024155;23.2222222222222;29.280193236715;10.0966183574879;75.7246376811594;7.06763285024155;8.07729468599034;5.04830917874396;22.2125603864734;24.231884057971;9.08695652173913;78.7536231884058;50.4830917874396;28.2705314009662;10.0966183574879;5.04830917874396;1.00966183574879;4.03864734299517;5.04830917874396;46.4444444444444;2.01932367149758;1.00966183574879;1.00966183574879;0.0;23.2222222222222;5.04830917874396;0.0;26.2512077294686;52.5024154589372;46.4444444444444;2.01932367149758;3.02898550724638;1.00966183574879;78.7536231884058;7.06763285024155;2.01932367149758;0.0;0.0;69.6666666666667
2B353;2B;Z;0;1927.122067774;232.716175179605;1179.61258823176;514.793304362644;1471.90349468125;90.3896393371757;1065.00452371705;316.509331627032;1319.32407140676;64.0667920561564;957.379646423699;297.877632926906;152.579423274493;26.3228472810193;107.624877293346;18.6316987001269;11.8348991379025;13.5871351417819;34.5361627816143;42.3836928140388;21.2513337722443;10.7862291013619;18.199970525549;75.1187201838475;56.511356031468;178.29942105425;331.159142391568;236.45965051854;281.567723663059;312.787480838521;455.218573092751;168.924215328934;286.294357763817;141.714956781744;70.4255388352994;71.2894179464449;147.035745955122;166.467870355885;1471.90349468125;5.11326453425552;153.68337399371;335.370646613978;452.893956237092;363.904968227034;145.627170595872;1319.32407140676;5.11326453425552;148.623280576375;327.60514677217;421.571178998368;303.032393225524;113.378807300069;1379.66128030892;1040.96940752447;338.691872784444;163.8708558949;145.371131089532;27.0831700106344;118.287961078898;18.4997248053672;947.033354642118;71.2552034888934;2.03213610949389;7.62839214016378;13.0203211438052;156.852569550979;178.622067396796;3.21723583666944;209.582859068915;1170.07842124;1141.15447294343;5.78811016169078;21.103702025386;2.03213610949389;1379.66128030892;25.1735907130194;58.2026805071111;3.28749472753569;44.0662473820036;1222.71016690246
2B355;2B;Z;0;221.902079177038;34.5345680392938;142.051465555602;45.3160455821423;160.136957012088;17.8133416582361;118.280894810578;24.0427205432742;146.233543567563;13.8871711239657;110.331153471504;22.0152189720939;13.9034134445253;3.92617053427042;7.94974133907457;2.02750157118035;4.00708510011878;0.0;1.01375078559017;3.94214462530918;2.92916542331066;0.997516724606363;1.01375078559017;16.9137535380497;7.83864882224131;42.8708366155019;45.7631762734941;20.7944572661825;16.9936281563652;8.96245634025366;61.7651221649496;24.0092248964714;37.7558972684782;10.7515843476899;6.87156175898904;3.88002258870088;12.1028957844699;38.9106420327898;160.136957012088;6.9674271219153;21.9023604550423;10.0411476006534;30.8315811861908;46.683347704019;40.7177586297388;146.233543567563;6.9674271219153;20.8886096694522;9.04363087604708;27.8544893266421;43.7062558444703;37.773130729036;149.226877882092;112.327205983803;36.8996718982889;19.9377277231818;14.9171518074179;2.01126751019654;12.9058842972214;5.02057591576391;97.3953591861302;7.96494384652167;1.01375078559017;0.0;5.95315216556066;23.8976622681962;13.0020096300927;0.0;36.9044923445141;112.322385537578;106.480032878449;0.950357775505894;4.89199488362257;0.0;149.226877882092;8.00171247482432;7.03288337349327;0.0;1.0302490473934;131.166999537168
