IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_ACT1564;P17_ACTOCC1564;P17_CHOM1564;P17_INACT1564;P17_ETUD1564;P17_RETR1564;P17_AINACT1564;C17_ACT1564_CS1;C17_ACT1564_CS2;C17_ACT1564_CS3;C17_ACT1564_CS4;C17_ACT1564_CS5;C17_ACT1564_CS6;P17_ACTOCC15P_TP;P17_SAL15P_TP;P17_SAL15P_CDI;P17_SAL15P_CDD;P17_SAL15P_INTERIM;P17_SAL15P_EMPAID;P17_SAL15P_APPR;P17_NSAL15P_INDEP;P17_NSAL15P_EMPLOY;P17_NSAL15P_AIDFAM;P17_ACTOCC15P_ILT1;P17_ACTOCC15P_ILT2P;P17_ACTOCC15P_ILT2;P17_ACTOCC15P_ILT3;P17_ACTOCC15P_ILT4;P17_ACTOCC15P_ILT5;C17_ACTOCC15P;C17_ACTOCC15P_PAS;C17_ACTOCC15P_MAR;C17_ACTOCC15P_VELO;C17_ACTOCC15P_2ROUESMOT;C17_ACTOCC15P_VOIT;C17_ACTOCC15P_TCOM
2A0350000;94;2A;2A000;2A035;ZZZZZZ;2A03500;Z;5;82;73;9;27;6;7;14;1;18;8;12;29;14;13;8;44;4;0;0;3;17;8;0;34;42;39;2;1;0;76;11;5;0;0;60;0
2A0380000;94;2A;2A000;2A038;ZZZZZZ;2A03800;Z;5;19;15;4;10;2;4;4;0;2;5;8;3;0;5;2;8;2;0;0;0;3;1;0;1;14;13;1;0;0;15;0;0;0;0;15;0
2A0400000;94;2A;2A000;2A040;ZZZZZZ;2A04000;Z;5;173;157;16;71;18;21;32;6;19;14;48;61;23;19;14;119;11;0;0;1;22;12;0;50;115;108;4;2;0;164;7;11;1;8;131;6
2A0410000;94;2A;2A101;2A041;ZZZZZZ;2A04100;Z;5;1371;1166;205;593;140;112;341;37;251;97;205;518;258;113;78;669;147;0;9;15;189;174;5;1018;190;163;9;17;1;1207;74;88;4;67;963;10
2A0480000;94;2A;2A000;2A048;ZZZZZZ;2A04800;Z;5;237;217;20;74;9;34;31;3;46;24;53;72;37;23;15;129;15;0;0;0;35;41;1;93;127;118;0;8;0;220;18;5;2;4;189;2
2A0560000;94;2A;2A000;2A056;ZZZZZZ;2A05600;Z;5;50;44;6;13;4;6;3;2;4;1;11;17;15;4;4;32;0;0;0;3;6;3;0;10;34;33;0;1;0;44;3;2;0;0;39;0
2A0600000;94;2A;2A000;2A060;ZZZZZZ;2A06000;Z;5;35;28;7;5;0;3;2;3;0;4;10;10;7;9;5;21;2;0;0;0;6;5;0;5;29;28;0;1;0;34;1;0;0;0;32;1
2A0610000;94;2A;2A000;2A061;ZZZZZZ;2A06100;Z;5;37;32;5;17;2;8;7;0;6;5;7;13;6;3;3;20;2;0;0;1;6;5;1;6;29;27;0;2;0;35;2;1;0;0;32;0
2A0620000;94;2A;2A000;2A062;ZZZZZZ;2A06200;Z;5;209;163;46;52;10;13;28;4;23;17;40;65;59;26;20;116;10;0;5;1;24;11;1;42;126;120;4;2;0;168;8;4;0;6;149;1
2A0640000;94;2A;2A000;2A064;ZZZZZZ;2A06400;Z;5;10;10;0;4;0;3;1;1;1;0;3;4;1;0;0;8;0;0;0;0;0;2;0;1;9;9;0;0;0;10;0;0;0;0;10;0
2A0650000;94;2A;2A000;2A065;ZZZZZZ;2A06500;Z;5;547;481;66;264;61;60;143;23;99;37;103;184;93;80;54;263;49;0;2;3;107;73;2;385;114;95;5;14;0;499;49;54;0;13;379;4
