IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_ACT1564;P17_ACTOCC1564;P17_CHOM1564;P17_INACT1564;P17_ETUD1564;P17_RETR1564;P17_AINACT1564;C17_ACT1564_CS1;C17_ACT1564_CS2;C17_ACT1564_CS3;C17_ACT1564_CS4;C17_ACT1564_CS5;C17_ACT1564_CS6;P17_ACTOCC15P_TP;P17_SAL15P_TP;P17_SAL15P_CDI;P17_SAL15P_CDD;P17_SAL15P_INTERIM;P17_SAL15P_EMPAID;P17_SAL15P_APPR;P17_NSAL15P_INDEP;P17_NSAL15P_EMPLOY;P17_NSAL15P_AIDFAM;P17_ACTOCC15P_ILT1;P17_ACTOCC15P_ILT2P;P17_ACTOCC15P_ILT2;P17_ACTOCC15P_ILT3;P17_ACTOCC15P_ILT4;P17_ACTOCC15P_ILT5;C17_ACTOCC15P;C17_ACTOCC15P_PAS;C17_ACTOCC15P_MAR;C17_ACTOCC15P_VELO;C17_ACTOCC15P_2ROUESMOT;C17_ACTOCC15P_VOIT;C17_ACTOCC15P_TCOM
2A2470102;94;2A;2A301;2A247;ZZZZZZ;2A24701;H;3;890;755;135;312;74;49;188;5;119;113;161;315;166;57;48;517;34;3;0;4;92;110;0;665;96;77;5;14;0;761;41;102;0;30;588;0
2A2470201;94;2A;2A301;2A247;ZZZZZZ;2A24702;H;3;1480;1228;252;742;173;103;466;1;262;121;275;461;330;186;150;854;70;0;10;19;152;168;0;1125;148;119;11;18;0;1273;53;69;2;12;1093;43
2A2470202;94;2A;2A301;2A247;ZZZZZZ;2A24702;H;3;1973;1725;248;937;219;173;546;20;288;154;410;697;366;195;165;1280;78;0;11;26;164;189;3;1619;131;116;12;3;0;1750;44;17;0;13;1676;0
2A2490000;94;2A;2A104;2A249;ZZZZZZ;2A24900;Z;5;1612;1324;288;650;133;107;411;10;197;83;285;571;444;160;134;888;125;2;1;38;150;169;3;1005;371;353;2;15;1;1377;89;181;0;21;1078;7
2A2530000;94;2A;2A000;2A253;ZZZZZZ;2A25300;Z;5;19;18;1;4;2;1;1;0;1;2;4;7;4;2;2;15;0;0;1;0;0;2;0;4;14;14;0;0;0;18;0;3;0;1;14;0
2A2540000;94;2A;2A000;2A254;ZZZZZZ;2A25400;Z;5;69;63;7;31;4;10;17;6;13;5;10;17;18;14;10;38;6;0;0;0;15;10;0;37;31;29;0;3;0;68;11;11;0;0;46;0
2A2580000;94;2A;2A000;2A258;ZZZZZZ;2A25800;Z;5;16;13;3;13;2;4;7;1;1;2;2;5;5;2;1;8;0;0;1;0;3;1;1;5;9;9;0;0;0;14;0;1;0;0;13;0
2A2590000;94;2A;2A000;2A259;ZZZZZZ;2A25900;Z;5;17;11;5;5;2;2;2;0;1;2;5;5;3;1;1;11;1;0;0;0;0;1;0;1;12;11;1;0;0;13;0;0;0;0;13;0
2A2620000;94;2A;2A000;2A262;ZZZZZZ;2A26200;Z;5;16;13;3;5;0;2;3;2;5;1;2;3;2;3;1;5;0;0;1;0;6;2;0;6;8;8;0;0;0;14;0;0;0;0;14;0
2A2660000;94;2A;2A000;2A266;ZZZZZZ;2A26600;Z;5;32;29;3;7;2;4;1;2;1;2;8;9;9;3;2;19;3;0;0;0;2;4;0;5;24;24;0;0;0;29;1;2;0;0;26;0
2A2680000;94;2A;2A000;2A268;ZZZZZZ;2A26800;Z;5;20;14;6;21;1;7;13;2;1;3;3;6;5;1;1;5;1;0;1;0;4;3;0;8;6;6;0;0;0;14;1;4;0;0;9;0
2A2690000;94;2A;2A000;2A269;ZZZZZZ;2A26900;Z;5;568;456;112;259;63;61;135;7;78;40;117;191;126;83;73;274;64;2;13;10;54;56;1;241;231;93;117;17;4;473;26;52;1;5;382;7
