DEP;IRIS;COM;DISP_TP6018;DISP_Q118;DISP_MED18;DISP_Q318;DISP_EQ18;DISP_GI18;DISP_PACT18;DISP_PTSA18;DISP_PCHO18;DISP_PBEN18;DISP_PPEN18;DISP_PPAT18;DISP_PPSOC18;DISP_PPFAM18;DISP_PPMINI18;DISP_PPLOGT18
47;470010101;47001;23,2;13440.0;19540.0;29040.0;0,80;0,350;69,5;59,4;3,3;6,8;30,1;11,9;7,9;1,1;4,3;2,5
47;470010102;47001;19,1;14390.0;19750.0;25600.0;0,57;0,266;65,5;57,6;3,3;4,6;36,2;6,9;7,7;1,4;3,9;2,4
47;470010103;47001;19,3;14500.0;19380.0;26200.0;0,60;0,279;68,5;60,7;3,0;4,8;31,2;8,3;8,5;2,1;3,8;2,6
47;470010104;47001;50,6;10340.0;12950.0;17290.0;0,54;0,227;55,3;49,0;5,5;0,8;25,1;2,8;26,1;8,6;10,4;7,1
47;470010105;47001;23,7;13480.0;18860.0;25170.0;0,62;0,255;66,3;61,2;2,8;2,3;32,0;7,4;9,4;3,8;3,4;2,2
47;470010107;47001;17,2;15530.0;22560.0;31540.0;0,71;0,327;79,9;68,0;2,9;9,0;24,0;10,6;6,1;1,5;2,8;1,8
47;470010108;47001;27,5;12740.0;17680.0;25150.0;0,70;0,323;75,5;67,4;3,9;4,2;23,2;6,5;12,0;1,6;6,5;3,9
47;470010109;47001;12,9;16790.0;22610.0;30460.0;0,60;0,306;75,3;62,1;2,7;10,5;29,8;10,6;4,9;1,4;2,3;1,2
47;470010110;47001;23,6;13210.0;18860.0;25240.0;0,64;0,288;71,4;62,5;3,8;5,1;29,6;8,7;8,0;2,2;3,6;2,2
47;470010111;47001;;10060.0;11980.0;14480.0;0,37;0,187;48,0;;;;15,7;2,1;40,3;13,0;16,5;10,8
47;470010112;47001;26,9;12760.0;17210.0;23150.0;0,60;0,257;58,1;52,8;3,4;1,9;36,7;6,9;11,7;2,8;5,4;3,5
47;470010113;47001;25,7;12920.0;17500.0;24820.0;0,68;0,280;61,1;53,8;3,1;4,2;35,3;7,5;11,6;2,6;5,7;3,3
47;470010114;47001;25,4;13020.0;18880.0;26750.0;0,73;0,313;70,0;58,9;3,8;7,3;27,0;8,2;11,6;1,5;6,5;3,6
47;470010115;47001;33,6;11780.0;16000.0;22730.0;0,68;0,340;68,1;59,5;4,8;3,8;21,9;11,0;14,8;2,2;7,9;4,7
47;471570101;47157;28,7;12480.0;17360.0;24630.0;0,70;0,317;60,8;49,6;3,3;7,9;34,5;11,2;10,4;2,1;4,9;3,4
47;471570102;47157;16,1;15220.0;19990.0;25950.0;0,54;0,245;56,7;48,4;2,4;5,9;43,9;9,6;5,3;1,9;2,1;1,3
47;471570103;47157;39,7;11170.0;14880.0;19870.0;0,59;0,265;50,3;43,4;4,4;2,5;37,9;7,6;15,7;4,4;7,0;4,3
47;471570104;47157;11,7;16990.0;21990.0;28600.0;0,53;0,269;60,6;50,0;2,5;8,1;41,3;12,2;3,7;1,6;1,3;0,8
47;471570105;47157;25,8;12960.0;17740.0;24070.0;0,63;0,290;61,7;51,8;4,0;5,9;34,5;8,4;10,9;1,6;5,9;3,4
47;471570106;47157;28,3;12640.0;16880.0;21950.0;0,55;0,276;61,0;54,3;3,3;3,4;29,6;12,0;11,9;2,8;5,7;3,4
47;471570107;47157;17,7;14520.0;19050.0;24090.0;0,50;0,270;61,0;52,1;3,1;5,8;36,3;9,3;7,9;2,4;3,5;2,0
47;471570110;47157;12,3;16400.0;21310.0;27240.0;0,51;0,242;58,8;49,8;2,4;6,6;42,8;10,2;5,0;2,0;1,9;1,1
47;473230101;47323;37,8;11290.0;15320.0;21670.0;0,68;0,292;53,8;45,7;5,2;2,9;34,2;8,8;17,0;2,7;9,1;5,2
47;473230102;47323;24,4;13230.0;17360.0;22430.0;0,53;0,236;55,3;48,1;3,8;3,4;40,8;6,1;10,8;3,6;4,3;2,9
47;473230103;47323;24,3;13120.0;17800.0;24550.0;0,64;0,275;53,4;45,4;3,6;4,4;40,8;10,3;10,7;2,3;5,2;3,2
47;473230201;47323;20,7;13790.0;18400.0;24150.0;0,56;0,243;53,4;47,0;3,0;3,4;45,0;7,7;8,7;2,7;3,8;2,2
47;473230202;47323;12,1;16210.0;21740.0;28800.0;0,58;0,298;56,4;46,8;2,3;7,3;41,9;16,3;4,6;1,8;1,8;1,0
47;473230301;47323;33,8;12130.0;15800.0;20950.0;0,56;0,290;59,5;48,0;5,3;6,2;33,1;7,4;14,4;3,3;6,6;4,5
47;473230302;47323;20,8;13780.0;18060.0;23830.0;0,56;0,249;58,2;49,6;3,5;5,1;40,0;7,9;8,1;2,9;3,3;1,9
47;473230303;47323;16,2;14440.0;19100.0;24080.0;0,50;0,230;54,6;47,3;3,5;3,8;44,8;7,6;7,0;2,5;2,9;1,6
47;473230401;47323;10,7;17000.0;21960.0;28530.0;0,52;0,290;63,2;53,5;2,1;7,6;35,6;17,6;3,3;1,3;1,4;0,6
