INSEE_COM;DEP;IRIS;TYP_IRIS;MODIF_IRIS;P19_POP1564;P19_POP1524;P19_POP2554;P19_POP5564;P19_ACT1564;P19_ACT1524;P19_ACT2554;P19_ACT5564;P19_ACTOCC1564;P19_ACTOCC1524;P19_ACTOCC2554;P19_ACTOCC5564;P19_CHOM1564;P19_CHOM1524;P19_CHOM2554;P19_CHOM5564;P19_CHOM_DIPLMIN;P19_CHOM_BEPC;P19_CHOM_CAPBEP;P19_CHOM_BAC;P19_CHOM_SUP2;P19_CHOM_SUP34;P19_CHOM_SUP5;P19_ACT_DIPLMIN;P19_ACT_BEPC;P19_ACT_CAPBEP;P19_ACT_BAC;P19_ACT_SUP2;P19_ACT_SUP34;P19_ACT_SUP5;P19_INACT1564;P19_HINACT1564;P19_FINACT1564;P19_ETUD1564;P19_HETUD1564;P19_FETUD1564;P19_RETR1564;P19_AINACT1564;C19_ACT1564;C19_ACT1564_CS1;C19_ACT1564_CS2;C19_ACT1564_CS3;C19_ACT1564_CS4;C19_ACT1564_CS5;C19_ACT1564_CS6;C19_ACTOCC1564;C19_ACTOCC1564_CS1;C19_ACTOCC1564_CS2;C19_ACTOCC1564_CS3;C19_ACTOCC1564_CS4;C19_ACTOCC1564_CS5;C19_ACTOCC1564_CS6;P19_ACTOCC15P;P19_SAL15P;P19_NSAL15P;P19_ACTOCC15P_TP;P19_SAL15P_TP;P19_HSAL15P_TP;P19_FSAL15P_TP;P19_NSAL15P_TP;P19_SAL15P_CDI;P19_SAL15P_CDD;P19_SAL15P_INTERIM;P19_SAL15P_EMPAID;P19_SAL15P_APPR;P19_NSAL15P_INDEP;P19_NSAL15P_EMPLOY;P19_NSAL15P_AIDFAM;P19_ACTOCC15P_ILT1;P19_ACTOCC15P_ILT2P;P19_ACTOCC15P_ILT2;P19_ACTOCC15P_ILT3;P19_ACTOCC15P_ILT4;P19_ACTOCC15P_ILT5;C19_ACTOCC15P;C19_ACTOCC15P_PAS;C19_ACTOCC15P_MAR;C19_ACTOCC15P_VELO;C19_ACTOCC15P_2ROUESMOT;C19_ACTOCC15P_VOIT
90001;90;900010000;Z;0;661.889374217433;93.167662639058;426.400842505317;142.320869073058;519.648523850538;38.3616340512594;409.713408817764;71.5734809815138;470.283506787748;28.5565977446919;380.099363572957;61.6275454700997;49.3650170627893;9.80503630656751;29.6140452448078;9.94593551141404;4.86749552820876;2.92211911836623;16.8377714952506;14.8018425584114;5.95540138622112;3.9803869763312;0.0;35.460335315292;16.7075381734099;122.599005628083;123.123183979683;116.491730201287;55.1066008150685;50.1601297377133;142.240850366896;63.1395604209702;79.1012899459252;54.8061319118199;32.3257365819052;22.4803953299147;56.8014809036437;30.633237551432;522.723641698303;0.0;39.4479920229823;108.377091165663;152.859073977171;148.227679011953;68.8747834870213;448.459052671066;0.0;39.4479920229823;103.44006913215;138.046463274102;123.236430521347;44.2880977204841;477.276765748028;434.906342509876;42.3704232381521;88.8642920967311;83.886452682516;9.87466402196515;74.0117886605508;4.97783941421517;380.756491622181;41.372866435391;5.934682181809;0.0;6.8423022704954;24.6770221489254;17.6934010892267;0.0;65.0540841268247;412.222681621204;258.527789303596;107.213852987625;38.5410900196815;7.93994931030144;448.459052671066;29.3227048973202;0.0;5.03906814119344;0.0;404.22271894542
90002;90;900020000;Z;0;234.17331575145;29.7656176677144;156.800397209583;47.607300874153;193.933780296534;16.9730027840807;148.509869613817;28.4509078986365;178.476682172001;15.8446735079003;137.172329031815;25.4596796322854;15.4570981245337;1.12832927618043;11.3375405820022;2.99122826635112;2.04220465509244;3.1130351590008;5.0634375985064;3.1370514917479;1.06568694862453;0.0;1.03568227156169;22.7668575071442;7.28661371134229;57.7429663496524;38.5198525891586;25.7829727677214;20.0200871060804;21.8144302654352;40.2395354549157;15.3970391127189;24.8424963421968;14.8348195387261;6.36585554139346;8.46896399733266;15.0711388762997;10.3335770398898;176.283477192546;0.0;10.3610466607764;26.3463508901443;40.8565270849063;42.336001436285;56.3835511204336;166.072453917083;0.0;10.3610466607764;26.3463508901443;40.8565270849063;32.1249781608229;56.3835511204336;180.489726939062;160.000959603161;20.4887673359016;33.1279048570011;30.0791778183779;2.07474438833155;28.0044334300464;3.04872703862319;140.0958686435;10.2761523996296;3.14219504703173;3.2588087267084;3.22793478629099;14.3571077325945;6.1316596033072;0.0;25.702278666492;154.78744827257;60.458452754154;20.6629539198622;67.4759405166889;6.19010108186512;166.072453917083;15.9853042293679;0.0;0.0;0.0;139.580303586784
90003;90;900030000;Z;0;377.77588708511;53.8568065081722;230.598575186075;93.3205053908619;285.625890824747;16.7191419663081;218.841682866716;50.0650659917236;264.906651686118;13.7654760385757;203.065570837037;48.0756048105058;20.7192391386289;2.95366592773242;15.7761120296787;1.98946118121776;5.96879566723118;0.984555309244141;6.91264985101636;2.00981174394724;2.91378904942925;0.984555309244141;0.945082208516563;18.9117135157576;4.94353923252808;90.4213999744313;58.3412467162763;42.3021836178837;32.4566136609275;38.2491941069427;92.1499962603623;45.663315343836;46.4866809165263;33.2189696204613;16.6198704126406;16.5990992078207;37.2667052927556;21.6643213471454;261.355297964605;0.0;49.3357001295229;43.8106074429642;59.0918232481933;69.3279435195689;39.7892236243552;251.609437067921;0.0;44.5126157790601;43.8106074429642;59.0918232481933;69.3279435195689;34.8664470781345;268.967817583653;237.352489050183;31.6153285334701;37.3203826138613;35.3508598717951;6.8723608491353;28.4784990226598;1.96952274206618;215.687730196432;12.8835148271597;4.86296122876595;1.9491721793367;1.96911061848828;19.7578945606795;9.92820023260553;1.92923374018511;28.760967546908;240.206850036745;150.429316616767;41.2004453771906;45.6026594287478;2.9744286140398;251.609437067921;14.872143070199;0.0;0.0;4.9227765462207;226.891740905281
90004;90;900040000;Z;0;368.84754328964;62.0823376375442;224.014204086836;82.751001565259;277.483175908551;22.449638444693;207.442623670684;47.5909137931739;260.529532236372;16.8424634651985;199.615198982106;44.0718697890677;16.9536436721792;5.60717497949443;7.82742468857856;3.51904400410625;1.17301466803542;1.08758679168864;7.87094599257311;0.0;2.34602933607083;2.25898672808173;2.21708015572951;18.2169327199201;11.3481456426889;86.207189208199;45.4423807630975;52.0890212919425;29.5136032202628;34.6659030624402;91.3643673810885;38.5202018681483;52.8441655129402;38.5032058288103;18.7078394735259;19.7953663552845;27.1182860268184;25.7428755254597;265.688744681709;0.0;11.7385314303743;45.4299468062624;79.1369103992736;60.9044074937886;68.47894855201;249.367168697818;0.0;11.7385314303743;39.9920128478193;73.4894435790692;55.6682322885451;68.47894855201;261.702546904407;231.99535032644;29.7071965779674;43.619533964629;39.05157796947;4.47768161545356;34.5738963540165;4.567955995159;207.323969569312;20.1453313343209;3.43846263111814;1.08758679168864;0.0;17.2215415145244;12.485655063443;0.0;31.2885532016713;230.413993702736;142.883453059718;66.137952374383;17.873544264529;3.51904400410625;255.232242037995;5.23617520524357;0.0;0.0;0.0;232.827986193954
90006;90;900060000;Z;0;171.197183098592;24.169014084507;93.6549295774648;53.3732394366197;132.929577464789;11.0774647887324;88.6197183098592;33.2323943661972;122.859154929577;7.04929577464789;84.5915492957747;31.2183098591549;10.0704225352113;4.02816901408451;4.02816901408451;2.01408450704225;2.01408450704225;3.02112676056338;1.00704225352113;3.02112676056338;1.00704225352113;0.0;0.0;5.03521126760563;8.05633802816901;34.2394366197183;30.2112676056338;20.1408450704225;12.0845070422535;23.1619718309859;38.2676056338028;18.1267605633803;20.1408450704225;12.0845070422535;8.05633802816901;4.02816901408451;15.1056338028169;11.0774647887324;140.985915492958;0.0;5.03521126760563;25.1760563380282;40.2816901408451;40.2816901408451;25.1760563380282;115.80985915493;0.0;5.03521126760563;20.1408450704225;35.2464788732394;35.2464788732394;20.1408450704225;124.87323943662;103.725352112676;21.1478873239437;27.1901408450704;24.169014084507;6.04225352112676;18.1267605633803;3.02112676056338;84.5915492957747;8.05633802816901;5.03521126760563;3.02112676056338;3.02112676056338;14.0985915492958;7.04929577464789;0.0;18.1267605633803;106.746478873239;79.556338028169;19.1338028169014;8.05633802816901;0.0;115.80985915493;0.0;15.1056338028169;0.0;0.0;95.669014084507
90008;90;900080000;Z;0;2632.11169859342;484.643114541766;1486.67032135893;660.798262692719;1869.25146977427;207.5910369123;1324.75522473243;336.905208129538;1620.16096784678;163.15391708133;1160.15215603239;296.854894733061;249.090501927493;44.43711983097;164.603068700045;40.0503133964771;53.3464446853768;9.86825341308437;82.5724305964058;43.6713563425624;33.8113249583802;13.9531163564875;11.8675755751956;213.313265163168;69.4412213583049;539.052980908237;347.98534760407;282.020749719757;190.402645171266;227.035259849468;762.860228819147;335.526206675019;427.334022144127;249.387558347702;122.24853062332;127.139027724382;265.983093234164;247.489577237281;1887.29234533977;0.0;109.155069215478;294.191214078572;462.96090570225;519.172569990903;486.96802714413;1679.09888118619;0.0;94.309765193697;274.411672115291;443.05061383752;454.382697457057;412.944132582621;1639.22075745162;1474.00213042681;165.218627024813;308.502637482648;279.666961431607;36.8920804510085;242.774880980599;28.8356760510405;1219.07876689827;135.604334767134;70.5426371811515;11.9623844608719;36.8140071193815;76.7374605659951;86.5245808683761;1.95658559044154;265.59449569241;1373.62626175921;907.570763242299;345.35805507109;93.760650798457;26.9367926473677;1694.07306172049;35.0988936418271;64.8354388121093;49.6867993167563;4.97682491039683;1409.80870937697
90009;90;900090101;H;0;2104.59892382073;370.70791871312;1365.44228246536;368.448722642248;1661.21434227826;218.267833286301;1252.59984152039;190.346667471569;1399.82630366989;161.313783066668;1078.86558707273;159.646933530492;261.388038608364;56.9540502196335;173.734254447654;30.6997339410766;45.3321226921996;13.1412965581088;111.634733422087;47.1492914294898;22.1297541532296;13.9018787279815;8.09896162526783;174.858984731908;66.3663822311851;551.770270703978;367.262019759505;235.172951612032;148.723493475134;117.060239764514;443.384581542472;178.926818993528;264.457762548944;143.655974479318;77.5981795854942;66.0577948938234;122.238115594953;177.490491468201;1644.51215076712;0.0;69.0304520639354;155.020491918454;364.883460885572;467.501993804873;562.874681578028;1376.97593735485;0.0;58.9282204224848;150.018532861289;329.295855047355;386.870654942214;451.862674081505;1408.92703370526;1328.08798597742;80.839047727838;237.751236444451;230.784628105012;46.2030657512826;184.58156235373;6.96660833943913;1075.52874761298;104.303250654038;73.3849566697935;27.2829719482733;47.5880590923301;39.9201896409529;40.918858086885;0.0;272.341484943653;1136.5855487616;292.378256547878;605.454469906269;32.8735929410732;205.879229366383;1382.16920501583;50.6970822343504;34.831246631467;9.91441366942586;19.3776531652618;1247.24089786719
90009;90;900090102;H;0;893.241823249598;144.606333598483;528.369477514125;220.26601213699;635.348573488506;71.9706096539796;463.145820510668;100.232143323859;502.225779844498;48.5295022173834;377.821703477247;75.8745741498677;133.122793644008;23.4411074365961;85.3241170334209;24.3575691739914;28.6939317695405;10.008126894197;45.8150957503445;20.7544060948825;17.8259233781575;7.05994907992634;2.96536067696001;64.7003285694887;27.0562073543856;220.628694796376;134.771072966437;100.357912247479;44.9530424668099;42.88131508753;257.893249761091;86.9756836441982;170.917566116893;66.7784252244105;31.4245992397846;35.3538259846259;83.6340346775129;107.480789859168;661.982543882949;0.0;15.386699313394;59.8533416312976;174.378929003018;154.913337165139;237.621474328135;488.602969453948;0.0;10.2899834871864;54.9443776508259;144.642669258319;129.796550293153;148.929388764465;508.342197849093;480.417919170816;27.9242786782771;90.7767017347744;87.756222608197;18.8800570405453;68.8761655676517;3.02047912657738;401.303279276606;37.5627418195404;27.7847417915571;4.98441050665401;8.78274577645807;17.9003521947291;9.0045833183065;1.01934316524151;124.750304552048;383.591893297045;126.628021588065;181.084284988992;14.8226665441624;61.0569201758247;488.602969453948;14.9146437871511;34.4626593066871;0.0;0.0;424.679609897739
90010;90;900100101;H;0;2006.85565266929;418.446024463907;1137.44951494502;450.960113260369;1478.01440364186;229.885798111277;976.392575483269;271.736030047314;1131.65329713119;166.034821721742;755.946404108457;209.672071300987;346.361106510673;63.8509763895347;220.446171374812;62.0639587463265;105.57755523265;19.9262897392766;147.252995777953;29.4314942069152;19.2076332955526;19.5428658133138;5.42227244501146;285.059930085697;51.0329058896281;467.692214445241;244.110281042876;151.586606067642;164.729111027689;113.803355083085;528.841249027435;219.151844451261;309.689404576174;159.641120105983;72.3845787232328;87.2565413827502;120.572144993077;248.627983928375;1478.01440364186;0.0;38.6141731432697;139.813370164543;327.661541019621;481.16884206233;460.047244700942;1131.65329713119;0.0;35.9224918540306;137.203865827868;269.282128569038;362.251777443079;326.99303343717;1148.04990262348;1085.70499539528;62.3449072281958;259.952163530802;246.967403012157;70.1497752864845;176.817627725672;12.9847605186452;810.120720917824;120.247236697768;85.1989347132063;29.5029344078834;40.6351686585995;37.7530609464941;21.9823419450274;2.60950433667429;628.114419796887;519.93548282659;253.939774221871;210.277284645376;45.6862413746151;10.0321825847279;1148.04990262348;24.2208883333311;71.9431124778013;72.3370941490553;10.7667251569564;778.300010241982
90010;90;900100102;H;0;1763.23955802755;352.976477993155;1016.76442878701;393.49865124739;1286.43431746618;199.347600699719;862.105099359248;224.981617407217;1022.39099057445;161.099485798851;687.127225604757;174.164279170838;264.043326891739;38.2481149008673;174.977873754492;50.8173382363796;75.3822620387841;15.1244804506186;82.5393192055584;57.4651430069362;24.2628254488961;6.10326712752188;3.16602961342344;209.031047947444;45.3609240953666;342.295127770883;275.955270559401;157.302117172994;113.378768137821;143.111061782275;476.805240561365;184.586650096293;292.218590465073;130.49482841858;70.8729405575156;59.6218878610646;105.477699501567;240.832712641218;1286.43431746618;0.0;36.8811731391837;185.705603046822;239.109501446849;402.833018892824;394.938151257053;1022.39099057445;0.0;32.8181151224062;185.705603046822;212.614674539335;307.925877259505;283.326720606377;1036.0942934648;963.345282380038;72.7490110847624;217.96525938256;203.589308927736;70.1662034274759;133.42310550026;14.3759504548235;718.615177373898;124.764050093704;48.9483355899495;11.2025787489119;59.8151405735746;39.739610375672;33.0094007090903;0.0;506.668411946734;529.425881518066;251.817823500605;232.260483676314;33.3405855471268;12.0069887940206;1036.0942934648;15.3151744407509;90.3235919263502;36.4534058562764;16.5938129333097;713.877318712622
