IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC;P17_NPER_RP_PROP;P17_NPER_RP_LOC;P17_NPER_RP_LOCHLMV;P17_NPER_RP_GRAT;P17_RP_SDB
620010000;32;62;00756;62001;Ablain-Saint-Nazaire;ZZZZZZ;6200100;Z;5;803;740;10;53;789;13;0;9;68;165;498;2;9;30;124;231;153;190;739;11;188;147;238;105;50;731;11;187;145;236;104;48;7;0;1;2;1;1;2;60;85;86;509;644;88;31;8;7.0;511.0;147.0;625;669;746;9;1481;202;72;17;722.0
620020000;32;62;62000;62002;Ablainzevelle;ZZZZZZ;6200200;Z;5;88;82;1;4;88;0;0;2;15;22;44;0;1;9;12;27;18;16;80;1;34;8;12;9;17;80;1;34;8;12;9;17;0;0;0;0;0;0;0;5;8;21;49;77;4;0;1;0.0;31.0;32.0;67;78;83;10;212;9;0;1;80.0
620030000;32;62;62000;62003;Acheville;ZZZZZZ;6200300;Z;5;279;263;4;12;250;29;2;12;20;45;184;2;1;19;29;66;64;81;258;5;60;26;58;74;35;233;5;60;25;58;53;31;26;0;0;1;0;21;4;27;23;39;173;225;35;0;2;1.0;165.0;71.0;228;250;260;0;555;69;0;3;257.0
620040101;32;62;62502;62004;Achicourt;ZZZZZZ;6200401;H;4;1213;1099;8;107;1012;200;4;49;191;255;600;1;14;91;255;319;216;203;989;88;207;326;130;153;84;903;86;201;297;117;131;71;84;1;6;28;14;22;14;148;215;174;562;757;330;178;12;38.0;790.0;177.0;823;990;1102;20;1711;720;381;19;1064.0
620040102;32;62;62502;62004;Achicourt;ZZZZZZ;6200401;H;4;1369;1300;5;64;847;519;19;124;218;335;605;4;48;179;338;439;214;78;1295;8;59;330;821;61;16;805;5;50;183;519;38;9;487;3;9;147;300;23;6;124;229;206;741;672;611;493;18;416.0;783.0;57.0;772;1013;1269;20;1473;1259;971;47;1267.0
620040103;32;62;62502;62004;Achicourt;ZZZZZZ;6200401;H;4;1238;1165;9;64;863;369;59;160;198;263;486;62;122;119;247;381;157;77;1115;3;71;231;295;292;223;819;1;68;220;266;219;46;291;2;3;11;28;73;174;159;266;175;565;617;545;274;3;9.0;825.0;285.0;970;1013;1102;29;1396;1012;585;6;1130.0
620050000;32;62;62000;62005;Achiet-le-Grand;ZZZZZZ;6200500;Z;5;431;394;3;34;407;23;1;16;28;97;252;0;4;50;69;145;77;51;387;8;118;78;107;49;27;371;8;109;75;105;47;27;16;0;9;3;2;2;0;39;65;72;218;272;115;62;7;6.0;230.0;111.0;313;349;389;5;690;273;159;14;385.0
620060000;32;62;62000;62006;Achiet-le-Petit;ZZZZZZ;6200600;Z;5;151;134;2;14;147;3;0;5;15;31;84;0;2;13;20;35;31;33;132;11;59;16;21;13;12;128;11;59;14;21;13;10;3;0;0;2;0;0;1;9;19;20;87;117;12;1;6;0.0;66.0;30.0;110;123;136;0;264;25;1;14;126.0
620070000;32;62;62000;62007;Acq;ZZZZZZ;6200700;Z;5;301;288;1;12;298;3;1;4;20;57;206;1;0;6;20;68;73;120;281;62;8;17;65;24;105;278;62;8;17;65;24;102;3;0;0;0;0;0;3;20;41;95;132;243;43;23;2;1.0;171.0;74.0;265;269;290;0;646;118;68;5;282.0
620080000;32;62;62000;62008;Acquin-Westbécourt;ZZZZZZ;6200800;Z;5;335;297;12;25;334;0;0;7;33;80;176;1;1;17;37;76;87;79;297;56;34;31;68;44;64;296;55;34;31;68;44;64;0;0;0;0;0;0;0;21;63;55;158;242;50;0;5;0.0;91.0;73.0;261;284;293;0;681;142;0;10;287.0
620090000;32;62;62000;62009;Adinfer;ZZZZZZ;6200900;Z;5;102;93;1;8;102;0;0;2;5;12;74;1;0;1;9;19;23;40;93;8;36;10;9;15;15;93;8;36;10;9;15;15;0;0;0;0;0;0;0;3;12;25;53;82;10;0;1;0.0;50.0;26.0;80;85;93;0;225;32;0;2;89.0
620100000;32;62;62000;62010;Affringues;ZZZZZZ;6201000;Z;5;91;85;0;6;91;0;0;0;3;26;56;0;0;0;8;40;19;18;85;13;5;6;40;8;13;85;13;5;6;40;8;13;0;0;0;0;0;0;0;1;12;16;56;77;8;0;0;0.0;32.0;27.0;80;80;85;0;212;27;0;0;85.0
620110000;32;62;62000;62011;Agnez-lès-Duisans;ZZZZZZ;6201100;Z;5;285;267;4;14;260;23;6;10;24;38;189;4;12;11;41;52;61;86;265;64;23;30;73;62;13;242;54;19;28;69;59;13;21;10;4;2;3;2;0;16;38;46;167;220;44;0;3;1.0;120.0;91.0;225;244;260;0;565;82;0;6;259.0
620120000;32;62;62108;62012;Agnières;ZZZZZZ;6201200;Z;5;99;94;0;5;97;2;0;1;10;13;70;1;1;5;14;27;16;29;93;15;9;17;15;23;13;91;15;9;17;15;22;12;2;0;0;0;0;1;1;8;19;17;49;71;21;0;2;0.0;68.0;14.0;81;87;96;0;185;56;0;7;92.0
620130000;32;62;62502;62013;Agny;ZZZZZZ;6201300;Z;5;834;785;10;39;789;44;2;14;71;237;461;1;10;28;146;338;149;113;785;22;101;154;317;135;56;748;22;98;152;313;109;54;37;0;3;2;3;26;2;45;111;127;502;596;183;79;6;5.0;604.0;121.0;677;728;789;5;1417;481;218;16;770.0
620140101;32;62;00752;62014;Aire-sur-la-Lys;ZZZZZZ;6201401;H;4;1328;1190;4;134;1035;290;18;85;177;331;579;22;50;122;222;335;223;216;1190;189;240;254;235;150;123;951;158;166;176;201;133;117;236;30;73;77;34;15;6;167;220;216;587;737;440;116;13;20.0;676.0;303.0;759;985;1176;40;1774;974;291;22;1110.0
620140102;32;62;00752;62014;Aire-sur-la-Lys;ZZZZZZ;6201401;H;4;1429;1288;3;138;1028;365;8;121;224;303;633;6;62;136;342;407;198;137;1288;212;142;244;454;114;122;946;111;118;206;347;90;73;307;97;24;38;77;23;48;188;260;216;624;648;617;223;23;27.0;833.0;308.0;907;1026;1294;20;1419;1350;516;51;1255.0
620140103;32;62;00752;62014;Aire-sur-la-Lys;ZZZZZZ;6201401;H;4;886;831;3;53;742;137;16;44;110;234;427;8;20;97;193;274;142;96;830;82;70;281;249;58;89;701;63;59;229;218;47;85;123;19;10;51;29;11;3;71;166;120;474;564;253;144;14;53.0;500.0;134.0;648;704;817;30;1264;644;387;38;800.0
620140104;32;62;00752;62014;Aire-sur-la-Lys;ZZZZZZ;6201401;H;4;958;857;15;86;789;162;35;52;98;200;473;24;25;84;134;269;176;146;854;173;150;207;141;102;82;706;148;118;165;123;71;80;144;24;31;40;16;31;2;115;114;140;488;565;284;52;8;38.0;477.0;155.0;628;715;818;5;1376;585;74;10;815.0
620150000;32;62;62000;62015;Airon-Notre-Dame;ZZZZZZ;6201500;Z;5;102;84;12;6;101;0;0;1;5;24;54;0;0;3;10;19;27;25;84;8;3;6;31;25;11;84;8;3;6;31;25;11;0;0;0;0;0;0;0;5;16;16;46;72;11;0;1;0.0;24.0;25.0;66;81;87;0;186;33;0;4;84.0
620160000;32;62;62000;62016;Airon-Saint-Vaast;ZZZZZZ;6201600;Z;5;83;75;4;4;83;0;0;2;13;16;45;0;0;4;15;22;19;17;75;16;9;8;20;22;2;75;16;9;8;20;22;2;0;0;0;0;0;0;0;4;7;5;60;58;17;4;1;0.0;24.0;21.0;62;72;73;0;143;41;11;2;72.0
620170000;32;62;62000;62017;Aix-en-Ergny;ZZZZZZ;6201700;Z;5;133;73;54;7;92;0;0;1;11;18;43;0;4;7;11;17;18;17;69;6;8;12;12;14;17;60;6;8;12;11;11;11;0;0;0;0;0;0;0;7;16;19;31;58;15;5;0;0.0;22.0;12.0;65;70;70;0;140;49;17;0;69.0
620180000;32;62;62000;62018;Aix-en-Issart;ZZZZZZ;6201800;Z;5;140;103;24;13;135;5;1;3;14;23;62;2;4;2;10;36;25;24;102;23;9;21;19;18;12;97;22;9;20;18;18;10;5;1;0;1;1;0;2;10;13;19;61;74;27;9;2;0.0;55.0;17.0;89;93;100;0;187;72;28;4;101.0
620190000;32;62;00756;62019;Aix-Noulette;ZZZZZZ;6201900;Z;5;1739;1640;7;93;1523;216;6;79;220;450;885;7;24;137;364;569;304;235;1569;112;177;298;534;259;189;1381;111;171;282;506;187;123;188;1;6;16;28;72;66;178;255;272;935;1093;531;306;16;6.0;1136.0;309.0;1353;1505;1641;30;2572;1216;740;31;1602.0
620200000;32;62;62000;62020;Alembon;ZZZZZZ;6202000;Z;5;252;231;3;18;250;0;0;3;21;41;166;0;1;8;16;55;78;74;222;26;21;32;44;52;45;221;26;21;31;44;52;45;0;0;0;0;0;0;0;16;32;29;153;199;28;0;4;1.0;62.0;34.0;202;221;227;0;560;63;0;7;224.0
620210000;32;62;62000;62021;Alette;ZZZZZZ;6202100;Z;5;165;142;13;10;165;0;0;3;22;31;86;0;0;6;22;30;28;56;142;35;8;10;40;24;25;142;35;8;10;40;24;25;0;0;0;0;0;0;0;11;19;28;84;110;30;14;2;0.0;32.0;26.0;120;128;145;5;298;86;30;2;142.0
620220000;32;62;62000;62022;Alincthun;ZZZZZZ;6202200;Z;5;153;132;6;15;152;1;0;2;15;21;95;0;0;7;11;47;33;34;132;37;7;17;41;20;9;131;37;7;17;41;20;8;1;0;0;0;0;0;1;7;7;11;107;106;23;1;3;0.0;55.0;29.0;109;124;133;0;274;51;1;5;127.0
620230000;32;62;00752;62023;Allouagne;ZZZZZZ;6202300;Z;5;1313;1210;8;95;1277;35;4;21;112;262;811;5;11;59;222;450;269;194;1203;145;195;299;369;122;73;1175;142;194;298;366;112;63;27;3;1;1;3;9;10;76;152;168;814;1022;177;32;11;5.0;788.0;210.0;968;1085;1205;10;2475;428;51;17;1171.0
620240000;32;62;62000;62024;Alquines;ZZZZZZ;6202400;Z;5;381;353;1;27;379;0;1;1;26;64;261;2;0;15;39;113;95;89;342;39;18;61;92;68;64;342;39;18;61;92;68;64;0;0;0;0;0;0;0;29;71;48;205;265;83;6;5;1.0;91.0;80.0;289;339;355;5;721;271;26;7;345.0
620250000;32;62;62000;62025;Ambleteuse;ZZZZZZ;6202500;Z;5;1403;780;587;36;1209;184;4;38;123;177;437;13;30;75;147;218;144;153;777;69;63;173;279;104;88;687;66;53;138;249;97;84;82;3;10;36;26;6;2;60;89;134;498;540;233;137;8;7.0;316.0;257.0;607;683;775;0;1203;580;340;9;753.0
620260000;32;62;62000;62026;Ambricourt;ZZZZZZ;6202600;Z;5;59;43;7;8;59;0;0;1;6;5;32;0;1;2;3;12;12;14;42;9;5;13;6;2;9;42;9;5;13;6;2;9;0;0;0;0;0;0;0;2;1;16;24;39;3;0;2;1.0;14.0;4.0;35;41;43;0;95;9;0;9;39.0
620270000;32;62;62000;62027;Ambrines;ZZZZZZ;6202700;Z;5;103;89;2;13;103;1;0;0;10;20;59;0;0;0;14;33;22;20;86;34;4;8;15;13;12;86;34;4;8;15;13;12;0;0;0;0;0;0;0;8;19;10;52;73;16;1;0;1.0;34.0;16.0;81;82;90;0;203;36;4;0;89.0
620280000;32;62;62000;62028;Ames;ZZZZZZ;6202800;Z;5;275;256;5;14;270;5;2;4;18;49;183;1;2;10;33;79;59;72;252;48;35;54;53;29;33;247;48;34;54;53;29;29;5;0;1;0;0;0;4;17;34;43;162;207;44;4;5;35.0;85.0;38.0;223;232;250;5;501;123;13;12;248.0
620290000;32;62;62000;62029;Amettes;ZZZZZZ;6202900;Z;5;214;182;5;27;210;2;0;1;22;35;124;0;0;9;23;54;50;46;177;45;24;31;36;28;13;176;45;24;31;36;27;13;0;0;0;0;0;0;0;18;19;27;118;153;27;1;2;0.0;110.0;28.0;156;168;190;0;378;58;3;4;171.0
620300000;32;62;62000;62030;Amplier;ZZZZZZ;6203000;Z;5;133;122;3;9;133;0;0;4;13;29;76;0;0;5;11;32;40;33;120;30;13;12;30;18;16;120;30;13;12;30;18;16;0;0;0;0;0;0;0;4;19;17;82;109;11;0;2;0.0;49.0;24.0;104;116;121;0;265;35;0;2;117.0
620310000;32;62;62204;62031;Andres;ZZZZZZ;6203100;Z;5;591;547;20;24;566;3;2;18;52;126;348;8;5;30;50;172;148;133;547;70;19;47;239;109;63;535;68;19;41;238;106;63;2;0;0;0;0;2;0;30;76;96;345;467;73;18;7;1.0;196.0;156.0;490;506;552;5;1321;219;64;18;517.0
620320000;32;62;00756;62032;Angres;ZZZZZZ;6203200;Z;5;1942;1852;6;83;1865;74;5;103;339;592;812;3;20;193;521;603;294;218;1785;12;384;400;422;223;345;1719;11;376;395;418;207;312;65;1;8;4;4;16;32;131;334;376;1011;978;797;561;77;15.0;1466.0;240.0;1568;1559;1849;44;2368;1990;1377;116;1821.0
620330101;32;62;00756;62033;Annay;ZZZZZZ;6203301;H;4;910;860;2;48;850;60;1;22;119;252;467;4;2;46;216;382;132;78;774;15;85;135;249;166;124;737;15;82;130;247;163;100;37;0;3;5;2;3;24;78;184;146;452;543;305;237;12;4.0;604.0;123.0;740;749;862;10;1313;869;682;26;847.0
620330102;32;62;00756;62033;Annay;ZZZZZZ;6203301;H;4;957;888;2;68;883;72;4;17;101;225;541;4;11;84;206;275;180;127;878;15;212;337;139;112;63;822;15;207;319;127;93;61;55;0;5;18;12;19;2;50;114;150;575;722;159;50;7;9.0;604.0;152.0;698;760;872;0;1767;349;106;14;853.0
620340000;32;62;00752;62034;Annequin;ZZZZZZ;6203400;Z;5;928;888;1;39;860;66;0;25;121;331;411;2;12;62;324;262;134;91;884;97;223;131;240;140;54;822;95;220;122;226;115;45;60;2;2;9;13;24;9;77;135;155;521;427;449;252;11;8.0;568.0;217.0;738;775;893;5;1090;1091;624;19;870.0
620350101;32;62;00752;62035;Annezin;ZZZZZZ;6203501;H;4;1370;1280;8;82;1285;85;12;48;129;323;768;8;29;88;280;476;241;158;1253;41;253;360;400;76;123;1179;41;246;316;387;68;121;74;0;7;44;13;8;2;102;199;193;786;969;298;80;13;30.0;957.0;164.0;978;1131;1270;20;2319;697;156;25;1244.0
620350102;32;62;00752;62035;Annezin;ZZZZZZ;6203501;H;4;1302;1194;2;106;1229;72;5;49;185;381;574;9;15;89;324;456;193;108;1135;45;260;375;222;102;131;1100;45;253;366;217;92;127;34;0;7;9;4;10;4;152;212;221;609;769;418;134;7;12.0;799.0;243.0;833;1028;1185;35;1829;985;282;16;1173.0
620360000;32;62;62000;62036;Anvin;ZZZZZZ;6203600;Z;5;365;313;12;40;333;32;7;15;51;80;159;0;4;40;61;100;49;58;313;47;35;52;85;68;25;286;45;31;50;77;57;25;27;2;4;2;8;11;0;30;56;42;185;191;121;28;1;3.0;153.0;84.0;251;272;311;10;459;311;56;2;308.0
620370000;32;62;62502;62037;Anzin-Saint-Aubin;ZZZZZZ;6203700;Z;5;1259;1201;6;52;1123;136;10;50;116;242;783;5;11;57;136;362;258;372;1182;46;72;150;503;218;193;1054;45;72;149;500;207;81;129;1;0;1;3;11;113;128;187;197;689;914;278;69;9;88.0;893.0;173.0;1117;1116;1183;10;2159;565;141;18;1188.0
620380000;32;62;62208;62038;Ardres;ZZZZZZ;6203800;Z;5;2093;1815;122;157;1744;242;24;146;314;389;942;33;95;216;296;555;322;298;1810;226;166;339;607;266;206;1597;179;136;291;560;243;188;202;47;30;48;38;21;18;208;353;297;957;1077;710;269;28;28.0;924.0;573.0;1202;1550;1807;51;2705;1528;555;69;1757.0
620390000;32;62;62000;62039;Arleux-en-Gohelle;ZZZZZZ;6203900;Z;5;395;346;4;45;366;28;0;11;36;65;234;2;5;11;38;102;95;92;314;8;82;41;85;78;20;303;8;81;38;84;71;20;11;0;1;3;1;6;0;58;32;43;213;299;45;14;2;3.0;215.0;79.0;291;318;348;5;757;97;40;2;339.0
620400101;32;62;62501;62040;Arques;ZZZZZZ;6204001;H;4;2248;2064;14;170;1451;793;33;134;377;540;979;31;42;219;615;712;259;185;2059;67;159;557;613;210;454;1331;54;141;446;359;88;243;724;13;16;109;254;122;210;276;408;372;1008;1008;1042;618;13;37.0;1589.0;304.0;1360;1720;2040;25;2371;2317;1351;30;2023.0
620400102;32;62;62501;62040;Arques;ZZZZZZ;6204001;H;4;2243;2129;16;98;1973;270;39;119;261;533;1177;19;71;217;527;761;322;212;2122;157;201;767;619;289;90;1867;147;193;702;497;257;71;255;9;8;65;121;32;19;157;353;281;1339;1375;723;388;31;162.0;1391.0;320.0;1517;1803;2096;25;3200;1582;791;66;2064.0
620410101;32;62;62502;62041;Arras;620031;6204101;H;1;786;735;3;48;304;482;13;218;200;68;236;8;62;259;143;181;58;24;735;11;57;525;105;31;5;277;8;37;170;34;24;5;458;3;21;355;71;8;0;134;167;129;306;213;501;432;22;462.0;234.0;20.0;285;427;724;38;474;942;755;68;668.0
620410102;32;62;62502;62041;Arras;620031;6204101;H;2;635;602;0;33;165;470;0;116;231;118;136;0;16;243;219;109;6;9;598;3;7;494;94;0;0;153;0;0;138;15;0;0;445;3;7;356;78;0;0;81;147;145;229;93;501;466;8;452.0;147.0;0.0;112;307;602;42;247;1112;968;21;505.0
620410103;32;62;62502;62041;Arras;620031;6204101;H;1;772;729;3;40;666;106;0;17;63;269;380;0;3;37;173;457;51;8;729;0;0;596;128;6;0;629;0;0;570;54;6;0;100;0;0;26;74;0;0;68;79;69;513;530;194;121;6;0.0;709.0;11.0;603;602;729;9;1095;516;277;11;726.0
620410201;32;62;62502;62041;Arras;620031;6204102;H;1;1199;1113;9;77;436;761;33;194;254;377;254;6;161;210;356;251;67;62;1106;1;4;574;220;126;181;399;0;0;108;32;111;148;706;1;4;464;188;14;33;155;267;273;417;284;822;703;6;680.0;341.0;75.0;413;653;1080;83;781;1965;1586;6;961.0
620410202;32;62;62502;62041;Arras;620031;6204102;H;2;789;732;6;51;281;505;21;109;174;277;150;9;100;114;233;221;55;0;731;6;9;514;146;30;26;268;0;6;186;47;6;22;460;6;3;324;99;24;4;71;181;139;342;225;501;455;6;414.0;299.0;7.0;285;452;711;32;519;1182;1046;9;717.0
620410301;32;62;62502;62041;Arras;620031;6204103;H;1;1435;1378;0;57;450;983;4;113;494;395;372;9;27;353;581;282;100;26;1376;3;27;870;399;55;22;421;3;17;314;69;18;0;952;0;10;557;327;37;22;162;287;272;656;357;1000;917;21;896.0;424.0;50.0;464;997;1384;31;735;1972;1800;44;1335.0
620410401;32;62;62502;62041;Arras;620021;6204104;H;1;1262;1165;19;78;642;611;37;164;273;216;475;38;21;168;328;304;177;129;1148;54;165;330;183;339;76;593;28;150;148;106;154;6;549;25;15;181;77;181;69;204;271;247;443;534;603;283;28;256.0;594.0;296.0;718;1002;1128;38;1167;1316;708;62;1059.0
620410501;32;62;62502;62041;Arras;620021;6204105;H;1;1156;985;28;143;439;702;82;199;160;171;373;67;83;153;131;161;123;266;985;157;221;197;181;172;58;390;124;160;73;15;9;8;580;33;61;112;162;162;50;181;269;147;388;453;503;31;28;181.0;627.0;167.0;554;778;901;12;1020;855;43;61;920.0
620410601;32;62;62502;62041;Arras;620021;6204106;H;1;1725;1485;39;200;357;1364;190;428;420;217;230;144;155;409;361;211;106;99;1444;302;248;218;101;335;240;300;77;116;82;9;4;11;1141;224;132;136;89;331;228;448;410;300;328;457;1004;163;24;220.0;540.0;708.0;791;1145;1313;28;806;1503;253;35;1423.0
620410701;32;62;62502;62041;Arras;620021;6204107;H;1;2191;1895;41;254;433;1752;284;384;515;283;430;128;277;413;544;274;119;139;1849;415;240;298;714;140;41;364;177;82;45;35;6;19;1480;239;158;252;678;134;18;371;537;320;668;399;1457;802;39;211.0;1232.0;442.0;540;1277;1609;34;780;2370;1419;96;1765.0
620410801;32;62;62502;62041;Arras;620021;6204108;H;1;3311;2566;118;626;400;2884;351;790;729;352;344;315;318;739;540;336;116;202;2532;526;490;418;533;451;115;290;162;63;50;12;3;0;2222;361;426;365;514;448;108;708;723;469;666;749;1750;173;67;363.0;928.0;1263.0;908;1662;2259;108;1231;2631;350;124;2489.0
620410901;32;62;62502;62041;Arras;620021;6204109;H;1;1653;1524;21;107;208;1444;22;398;547;325;232;13;95;473;561;225;63;95;1510;49;91;205;534;251;380;199;26;76;26;9;58;5;1310;23;14;179;525;193;375;260;524;324;416;160;1358;1065;6;350.0;905.0;260.0;907;1015;1503;68;343;2590;2100;17;1489.0
620411001;32;62;62502;62041;Arras;620011;6204110;H;1;1616;1406;43;167;808;798;151;219;309;211;516;157;79;229;332;218;205;187;1405;39;468;577;144;166;10;739;33;382;246;43;27;6;667;6;86;330;101;139;4;217;322;226;641;581;801;317;25;277.0;812.0;284.0;589;962;1259;25;1300;1383;562;25;1302.0
620411101;32;62;62502;62041;Arras;620011;6204111;H;1;1701;1544;17;140;1372;323;38;171;251;406;678;47;48;205;430;508;176;130;1529;15;239;721;351;159;45;1283;15;200;608;300;136;24;244;0;39;113;48;22;21;227;266;290;760;715;810;424;19;22.0;1183.0;275.0;1019;1157;1509;42;1579;1926;1125;38;1461.0
620411201;32;62;62502;62041;Arras;620011;6204112;H;1;1619;1421;73;125;504;1079;374;297;197;221;332;453;138;176;259;209;114;72;1340;35;190;263;224;328;299;474;21;170;140;122;12;8;846;14;14;123;102;307;286;436;404;182;398;438;960;151;23;208.0;625.0;568.0;879;973;1053;42;992;1304;321;48;1374.0
620411301;32;62;62502;62041;Arras;620011;6204113;H;1;1628;1418;54;156;636;986;218;348;247;191;414;229;233;196;200;287;144;129;1343;16;181;441;235;401;70;585;16;141;229;36;140;23;752;0;40;212;193;261;47;323;372;222;500;559;834;136;25;33.0;789.0;561.0;972;1113;1218;47;1166;1327;383;59;1387.0
620420000;32;62;62502;62042;Athies;ZZZZZZ;6204200;Z;5;427;407;0;20;414;12;0;5;52;101;249;3;4;18;67;135;85;95;376;5;68;90;125;58;30;367;5;68;88;124;57;25;8;0;0;2;0;1;5;45;68;50;244;338;67;23;2;0.0;291.0;64.0;349;377;407;0;826;185;72;3;396.0
620430000;32;62;62000;62043;Les Attaques;ZZZZZZ;6204300;Z;5;861;786;7;68;828;27;16;40;78;206;446;8;22;53;140;224;181;158;772;99;111;169;184;141;67;749;99;110;165;179;130;66;20;0;1;3;4;11;1;70;114;104;498;619;162;31;5;3.0;353.0;210.0;592;720;764;0;1573;377;37;11;750.0
620440000;32;62;62201;62044;Attin;ZZZZZZ;6204400;Z;5;404;288;91;25;302;12;0;12;44;89;142;0;8;25;63;89;55;49;288;32;14;56;86;49;51;271;28;14;52;86;49;42;8;1;0;3;0;0;4;31;63;34;160;179;106;56;2;1.0;100.0;111.0;241;270;282;15;444;282;160;3;284.0
620450000;32;62;62108;62045;Aubigny-en-Artois;ZZZZZZ;6204500;Z;5;672;625;12;35;496;176;8;40;100;142;334;12;24;62;140;163;112;112;624;81;80;120;174;72;97;462;69;58;101;125;36;73;161;11;22;19;49;36;24;85;109;122;309;394;221;90;10;13.0;353.0;180.0;449;543;632;0;918;446;168;24;613.0
620460000;32;62;62000;62046;Aubin-Saint-Vaast;ZZZZZZ;6204600;Z;5;368;319;19;30;358;9;4;5;37;87;185;5;6;26;57;112;67;46;319;51;23;72;110;29;34;311;49;23;72;103;29;34;7;1;0;0;6;0;0;36;42;51;190;236;77;7;6;1.0;86.0;73.0;262;292;320;10;550;188;19;10;310.0
620470000;32;62;62000;62047;Aubrometz;ZZZZZZ;6204700;Z;5;75;60;10;5;75;0;0;2;10;18;30;0;0;2;9;16;17;16;60;13;6;7;19;6;9;60;13;6;7;19;6;9;0;0;0;0;0;0;0;5;12;5;38;47;13;4;0;0.0;16.0;18.0;53;60;60;0;115;37;13;0;58.0
620480101;32;62;00752;62048;Auchel;620481;6204801;H;1;909;809;0;99;877;32;14;10;82;269;435;8;5;26;258;357;91;65;801;47;237;290;94;56;77;776;46;235;283;90;45;77;25;1;3;7;4;11;0;75;97;129;509;343;454;255;12;3.0;579.0;88.0;607;584;798;15;848;1149;618;20;792.0
620480102;32;62;00752;62048;Auchel;620451;6204801;H;1;958;851;5;101;905;53;3;50;155;266;377;5;13;141;292;232;105;63;836;114;312;236;127;29;17;807;112;306;236;122;19;12;29;2;6;0;5;10;5;62;172;163;453;342;499;309;11;8.0;711.0;81.0;566;612;851;39;812;1153;718;16;828.0
620480103;32;62;00752;62048;Auchel;620451;6204801;H;1;1120;929;0;191;611;510;16;122;230;200;361;11;25;131;294;260;146;62;929;92;170;138;356;134;39;521;87;162;125;77;39;31;408;5;8;13;279;95;8;146;228;184;371;300;620;399;8;8.0;738.0;126.0;523;636;913;26;706;1405;829;18;902.0
620480104;32;62;00752;62048;Auchel;620451;6204801;H;1;803;708;0;94;569;233;3;72;116;203;315;0;8;107;226;228;96;42;704;19;81;285;241;14;62;519;19;81;230;157;11;20;185;0;0;56;84;3;43;75;145;128;360;384;313;239;11;131.0;505.0;38.0;451;500;708;19;842;727;497;13;692.0
620480105;32;62;00752;62048;Auchel;620481;6204801;H;1;806;740;3;63;728;78;0;28;94;245;374;0;10;25;202;312;109;82;721;70;213;193;115;63;67;661;63;206;182;115;36;60;60;7;7;11;0;28;7;89;158;114;379;335;397;250;8;0.0;542.0;135.0;491;612;740;10;826;1006;585;17;729.0
620480106;32;62;00752;62048;Auchel;620481;6204801;H;2;323;265;0;58;283;39;6;27;40;69;122;3;3;26;84;85;35;28;265;11;79;70;46;28;31;229;11;76;70;46;22;4;36;0;3;0;0;6;27;53;47;29;136;127;135;44;3;6.0;142.0;80.0;181;227;259;9;285;326;147;3;255.0
620490000;32;62;62000;62049;Auchy-au-Bois;ZZZZZZ;6204900;Z;5;221;196;4;21;215;4;0;2;15;40;139;0;2;7;17;46;48;76;183;43;29;26;32;28;26;178;43;26;25;32;28;25;3;0;3;0;0;0;0;15;37;28;116;162;29;0;5;1.0;89.0;43.0;169;176;195;0;417;82;0;6;193.0
620500000;32;62;62107;62050;Auchy-lès-Hesdin;ZZZZZZ;6205000;Z;5;759;639;26;94;728;30;2;34;111;196;296;10;25;80;176;213;93;43;634;103;153;134;164;53;27;617;101;152;126;161;51;26;16;1;1;8;3;2;1;53;103;83;400;399;230;105;9;12.0;342.0;72.0;486;508;642;20;911;577;273;11;625.0
620510000;32;62;00752;62051;Auchy-les-Mines;ZZZZZZ;6205100;Z;5;1988;1867;4;117;1815;169;6;95;226;670;871;10;29;318;404;654;288;164;1865;29;572;289;469;233;274;1722;27;560;279;429;187;241;141;1;11;10;40;45;32;170;315;397;985;1102;732;395;33;44.0;1194.0;386.0;1410;1547;1858;25;2851;1815;1002;57;1803.0
