IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC;P17_NPER_RP_PROP;P17_NPER_RP_LOC;P17_NPER_RP_LOCHLMV;P17_NPER_RP_GRAT;P17_RP_SDB
627600000;32;62;62000;62760;Saint-Martin-d'Hardinghem;ZZZZZZ;6276000;Z;5;148;121;11;16;140;6;1;2;12;23;83;3;3;6;14;38;25;31;121;29;8;27;33;21;2;115;28;8;24;33;19;2;4;1;0;1;0;2;0;8;15;15;83;98;22;0;1;0.0;48.0;18.0;102;105;121;5;229;54;0;3;112.0
627610000;32;62;62000;62761;Saint-Martin-sur-Cojeul;ZZZZZZ;6276100;Z;5;83;80;0;3;83;0;0;0;4;9;67;0;0;0;8;24;24;24;78;0;22;6;33;12;5;78;0;22;6;33;12;5;0;0;0;0;0;0;0;3;7;5;65;74;6;0;0;3.0;45.0;17.0;72;77;80;0;189;21;0;0;78.0
627620000;32;62;62000;62762;Saint-Michel-sous-Bois;ZZZZZZ;6276200;Z;5;61;48;11;3;61;0;0;1;10;12;25;0;2;0;5;14;15;12;47;5;9;4;5;14;10;47;5;9;4;5;14;10;0;0;0;0;0;0;0;1;6;7;34;44;4;0;0;0.0;19.0;7.0;42;43;45;0;113;6;0;0;46.0
627630000;32;62;62209;62763;Saint-Michel-sur-Ternoise;ZZZZZZ;6276300;Z;5;425;390;7;28;420;5;0;13;61;125;191;2;1;14;70;116;110;78;388;13;45;149;129;29;22;384;13;45;146;128;29;22;4;0;0;3;1;0;0;31;54;60;244;298;87;0;5;5.0;242.0;68.0;328;354;393;5;655;213;0;10;385.0
627640101;32;62;62502;62764;Saint-Nicolas;ZZZZZZ;6276401;H;4;680;651;9;20;584;94;0;13;53;159;426;1;6;64;125;272;127;56;647;13;45;220;283;22;64;562;12;44;212;276;15;3;83;1;1;8;6;7;60;58;122;67;404;495;152;62;4;10.0;574.0;47.0;552;555;650;5;1060;362;152;8;635.0
627640102;32;62;62502;62764;Saint-Nicolas;ZZZZZZ;6276401;H;4;1544;1500;2;42;691;851;11;195;391;410;493;7;44;275;452;453;174;95;1472;10;112;383;616;110;241;666;9;99;138;301;43;76;804;0;13;245;315;67;164;177;416;287;620;552;937;774;11;710.0;684.0;72.0;781;1140;1500;75;1219;2005;1622;25;1441.0
627650101;32;62;62501;62765;Saint-Omer;ZZZZZZ;6276501;H;1;1497;1309;18;170;1342;155;21;76;183;327;701;13;72;157;290;395;203;177;1298;349;261;335;207;96;49;1169;298;251;315;183;87;35;129;51;9;20;24;10;14;181;252;186;690;853;422;32;33;8.0;964.0;141.0;787;1084;1287;25;1975;1100;78;60;1292.0
627650201;32;62;62501;62765;Saint-Omer;ZZZZZZ;6276502;H;1;1717;1513;11;194;744;960;87;167;287;438;535;66;129;329;417;304;148;120;1513;197;240;499;429;98;50;660;114;220;206;92;25;2;843;74;20;293;337;71;48;238;471;231;573;497;998;396;17;517.0;595.0;325.0;460;967;1427;38;1128;2259;1004;37;1469.0
627650301;32;62;62501;62765;Saint-Omer;ZZZZZZ;6276503;H;1;1855;1508;20;327;433;1413;209;412;374;233;279;204;196;400;250;232;85;141;1508;459;198;279;218;316;38;361;152;68;57;34;47;2;1139;307;130;222;184;260;36;392;443;244;428;285;1200;282;23;91.0;1013.0;381.0;357;926;1310;82;685;2062;535;51;1442.0
627650302;32;62;62501;62765;Saint-Omer;ZZZZZZ;6276503;H;1;2323;1915;29;379;568;1742;209;451;486;351;418;127;240;416;568;201;169;194;1897;462;251;407;547;193;36;476;214;84;115;47;14;3;1408;243;162;292;500;177;33;425;554;299;638;456;1434;450;25;55.0;1282.0;541.0;537;1224;1727;103;970;2531;810;30;1843.0
