IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
690010000;69;69000;69001;ZZZZZZ;6900100;Z;369;80;52;89;89;39;21;107;221;41;277;0;15;34;44;68;58;24;34;366;3;6;369;0
690020000;69;69000;69002;ZZZZZZ;6900200;Z;248;32;36;32;66;52;29;46;133;69;217;20;10;5;5;45;35;91;5;245;3;4;248;0
690030000;69;00758;69003;ZZZZZZ;6900300;Z;2880;507;395;489;542;380;567;660;1426;794;2428;5;93;276;317;331;182;898;326;2711;169;247;2402;478
690040000;69;69207;69004;ZZZZZZ;6900400;Z;763;168;86;149;131;108;121;211;359;193;636;0;45;79;69;94;40;230;79;751;12;22;672;91
690050000;69;00758;69005;ZZZZZZ;6900500;Z;578;110;115;99;142;86;26;155;342;81;498;15;30;35;118;79;69;104;49;537;41;51;578;0
690060101;69;69201;69006;ZZZZZZ;6900601;H;3091;534;461;443;585;595;473;704;1496;892;2503;5;91;71;237;449;404;971;277;2958;134;187;2957;134
690060102;69;69201;69006;ZZZZZZ;6900601;H;1885;300;270;318;438;380;180;407;1049;429;1611;40;50;101;187;197;267;525;244;1797;88;112;1796;89
690070000;69;00556;69007;ZZZZZZ;6900700;Z;2713;474;394;530;613;441;261;612;1551;550;2240;105;65;165;405;360;280;590;270;2668;45;93;2605;108
690080000;69;69000;69008;ZZZZZZ;6900800;Z;640;158;78;135;121;105;43;189;332;119;466;39;5;44;108;39;59;147;25;635;5;11;640;0
690090000;69;00758;69009;ZZZZZZ;6900900;Z;7178;1715;1109;1699;1220;862;572;2112;3963;1103;5494;15;202;572;1037;1053;643;1248;723;6758;420;555;6946;232
690100101;69;69303;69010;ZZZZZZ;6901001;H;3436;662;627;720;618;472;337;856;1952;628;2831;0;115;297;422;472;380;732;412;3262;174;248;3428;8
690100102;69;69303;69010;ZZZZZZ;6901001;H;2962;625;596;556;614;346;225;872;1677;413;2323;0;65;234;449;389;289;432;465;2633;330;387;2765;197
690120000;69;69000;69012;ZZZZZZ;6901200;Z;622;123;92;112;144;117;33;163;357;102;490;30;30;15;71;76;76;157;35;616;6;8;622;0
690130000;69;00758;69013;ZZZZZZ;6901300;Z;3778;770;531;725;776;630;346;988;2050;740;2995;0;160;315;515;465;355;855;330;3696;82;209;3645;133
690140000;69;69000;69014;ZZZZZZ;6901400;Z;1127;207;132;238;234;217;100;258;654;215;924;64;20;40;114;143;109;255;180;1118;9;14;969;158
690160000;69;69000;69016;ZZZZZZ;6901600;Z;120;18;23;15;24;28;13;34;53;34;119;0;0;0;15;15;25;45;20;120;0;4;120;0
690170000;69;69207;69017;ZZZZZZ;6901700;Z;731;138;108;115;167;138;65;197;372;162;590;20;60;50;60;55;60;195;90;708;23;37;726;5
690180000;69;69102;69018;ZZZZZZ;6901800;Z;2157;372;324;360;436;311;354;473;1124;560;1760;25;95;75;205;300;235;650;175;2077;80;99;1962;195
690190101;69;00451;69019;ZZZZZZ;6901901;H;3912;673;735;689;658;599;557;897;2057;958;3311;15;80;70;346;603;663;971;562;3508;404;515;3686;226
690190102;69;00451;69019;ZZZZZZ;6901901;H;4318;960;757;893;874;568;266;1255;2409;654;3289;5;141;276;502;643;527;668;527;4038;280;412;4318;0
690190201;69;00451;69019;ZZZZZZ;6901902;H;4741;1220;809;1150;780;511;271;1539;2623;579;3454;6;166;215;677;602;761;636;390;4501;240;392;4702;39
690200000;69;00758;69020;ZZZZZZ;6902000;Z;631;127;112;117;149;82;44;185;350;96;478;0;20;60;129;55;80;91;44;622;9;25;631;0
690210000;69;69000;69021;ZZZZZZ;6902100;Z;2293;430;335;408;478;399;243;567;1219;507;1829;20;83;161;337;254;220;547;208;2247;46;83;2204;89
690220000;69;69000;69022;ZZZZZZ;6902200;Z;575;140;86;134;115;66;34;175;328;72;443;25;20;35;40;106;81;100;35;573;2;7;575;0
690230000;69;69206;69023;ZZZZZZ;6902300;Z;1631;344;205;321;344;243;174;441;870;320;1280;40;110;110;195;185;145;375;120;1605;26;48;1557;74
690240000;69;69207;69024;ZZZZZZ;6902400;Z;4037;806;550;733;848;710;391;1034;2175;828;3173;61;129;378;543;388;220;1093;360;3969;68;106;3922;115
690260000;69;69207;69026;ZZZZZZ;6902600;Z;530;133;86;119;106;60;26;173;288;70;382;5;30;50;107;55;30;69;36;518;12;19;530;0
690270101;69;00758;69027;ZZZZZZ;6902701;A;145;27;23;20;53;6;15;50;77;18;117;1;0;4;23;21;17;21;31;142;3;9;114;31
690270102;69;00758;69027;ZZZZZZ;6902701;H;4363;820;678;739;980;774;370;1097;2374;891;3534;0;119;510;679;473;319;999;434;4207;156;322;4363;0
690270103;69;00758;69027;ZZZZZZ;6902701;H;1320;294;264;236;217;187;121;385;699;237;1026;0;0;40;75;118;254;270;268;995;325;464;1320;0
690270104;69;00758;69027;ZZZZZZ;6902701;H;3295;561;567;624;562;542;440;701;1779;815;2737;3;121;285;547;371;236;885;288;3136;159;284;3227;68
690270105;69;00758;69027;ZZZZZZ;6902701;H;2311;418;349;320;625;448;152;606;1253;452;1893;9;98;364;333;159;110;509;311;2253;58;127;2311;0
690280000;69;00758;69028;ZZZZZZ;6902800;Z;6174;1281;1005;1146;1417;960;365;1739;3455;980;4810;10;300;670;1010;615;380;1060;765;6001;173;262;6164;10
690290101;69;00758;69029;690011;6902901;H;1591;286;289;354;350;235;78;385;973;233;1297;0;24;151;204;285;97;245;289;1381;211;213;1273;318
690290102;69;00758;69029;690021;6902901;H;2572;519;445;581;436;331;259;659;1454;459;2054;0;95;220;343;378;225;506;287;2360;212;331;2572;0
690290103;69;00758;69029;690021;6902901;H;1709;241;254;272;329;345;268;319;896;495;1468;0;30;225;243;153;106;520;193;1644;65;137;1709;0
690290104;69;00758;69029;690021;6902901;H;2111;405;305;419;359;418;204;517;1096;498;1706;0;39;272;370;198;83;540;205;2072;39;117;2111;0
690290201;69;00758;69029;690031;6902902;H;2040;394;404;368;398;228;247;522;1098;419;1646;0;21;84;306;259;217;441;319;1831;209;306;2040;0
690290202;69;00758;69029;690031;6902902;H;1924;446;379;328;288;230;254;553;969;402;1482;0;32;60;150;250;185;414;391;1489;435;602;1908;16
690290203;69;00758;69029;690031;6902902;H;1495;327;358;337;224;201;49;421;900;174;1173;0;41;41;99;223;194;184;391;1110;384;499;1206;289
690290204;69;00758;69029;690031;6902902;H;2886;696;637;509;521;357;166;953;1555;379;2190;0;71;153;289;346;317;427;586;2354;532;728;2886;0
690290205;69;00758;69029;690041;6902902;H;2862;630;659;613;419;340;200;810;1639;413;2240;0;85;141;341;395;321;458;500;2358;504;717;2862;0
690290301;69;00758;69029;690041;6902903;H;7249;1355;2269;1400;1169;765;291;2076;4422;751;5882;0;162;1104;1128;1022;500;835;1131;6715;534;896;6523;726
690290401;69;00758;69029;690051;6902904;H;2396;324;625;398;434;360;254;541;1372;483;2071;0;50;244;361;305;164;528;420;2243;153;225;2396;0
690290402;69;00758;69029;690051;6902904;H;3937;729;849;732;707;549;372;1006;2203;729;3210;0;84;356;462;578;368;793;568;3543;394;585;3743;194
690290501;69;00758;69029;690051;6902905;H;2462;638;432;421;451;353;165;770;1317;375;1823;0;61;62;153;365;320;389;472;1707;755;900;2462;0
690290502;69;00758;69029;690041;6902905;H;2622;739;323;694;447;285;134;871;1465;286;1883;0;29;52;136;402;392;258;615;1747;875;1120;2622;0
690290601;69;00758;69029;690011;6902906;H;1874;256;466;348;341;251;213;416;1087;371;1619;0;73;219;275;248;112;378;314;1770;104;225;1865;9
690290602;69;00758;69029;690011;6902906;H;1813;288;218;322;337;300;348;351;885;577;1524;0;58;118;211;230;153;590;164;1669;144;246;1697;116
690300000;69;69000;69030;ZZZZZZ;6903000;Z;816;185;111;178;169;121;52;232;458;126;627;10;70;55;125;80;70;166;50;809;7;11;816;0
690310000;69;69000;69031;ZZZZZZ;6903100;Z;1376;347;218;336;279;135;60;453;770;153;1022;10;60;90;215;205;159;190;93;1356;20;34;1353;23
