IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC
122310000;76;12;12000;12231;Saint-Jean-du-Bruel;ZZZZZZ;1223100;Z;5;791;336;363;92;672;115;5;21;80;95;135;3;13;40;75;80;67;58;330;112;27;34;80;42;35;275;93;13;29;69;36;35;53;17;14;5;11;6;0;53;48;62;173;239;82;6;15;11.0;141.0;86.0;201;301;340;10
122320000;76;12;12000;12232;Saint-Jean-et-Saint-Paul;ZZZZZZ;1223200;Z;5;273;115;148;10;264;7;0;3;22;35;55;1;0;10;21;27;22;34;112;43;7;12;19;13;18;107;39;7;12;19;13;17;4;3;0;0;0;0;1;12;22;17;64;92;20;0;3;0.0;51.0;23.0;67;108;115;10
122330000;76;12;12000;12233;Saint-Juéry;ZZZZZZ;1223300;Z;5;188;119;61;9;182;5;3;9;17;18;72;9;5;8;20;29;20;29;111;56;4;7;16;22;7;108;56;4;7;16;21;5;2;0;0;0;0;1;1;6;16;13;84;105;7;0;7;1.0;58.0;14.0;83;108;119;5
122340000;76;12;12000;12234;Sainte-Juliette-sur-Viaur;ZZZZZZ;1223400;Z;5;295;248;23;24;285;10;0;7;20;86;136;0;1;14;24;69;62;77;233;53;15;23;40;51;52;224;52;13;20;40;51;50;9;1;2;4;0;0;2;16;31;52;149;218;27;6;3;2.0;108.0;68.0;212;238;249;0
122350000;76;12;12000;12235;Saint-Just-sur-Viaur;ZZZZZZ;1223500;Z;5;218;103;91;24;213;2;2;4;12;34;50;0;5;7;12;28;22;28;103;40;10;18;13;10;11;100;39;9;18;13;10;10;2;1;1;0;0;0;0;6;12;14;71;95;6;0;2;0.0;47.0;9.0;87;97;101;0
122360000;76;12;12000;12236;Saint-Laurent-de-Lévézou;ZZZZZZ;1223600;Z;5;142;71;64;6;134;8;0;1;10;17;43;0;0;2;11;20;19;19;68;28;4;8;7;17;4;65;25;4;8;7;17;4;3;3;0;0;0;0;0;6;7;12;46;57;13;0;1;0.0;39.0;10.0;53;70;70;0
122370000;76;12;12000;12237;Saint-Laurent-d'Olt;ZZZZZZ;1223700;Z;5;556;275;204;77;504;51;7;14;56;62;136;2;16;30;41;76;56;54;268;101;14;22;67;37;27;250;97;14;17;61;35;26;17;4;0;5;6;2;0;20;44;34;177;220;52;7;3;2.0;89.0;54.0;201;254;265;15
122380000;76;12;12000;12238;Saint-Léons;ZZZZZZ;1223800;Z;5;271;160;98;13;252;18;0;12;25;52;70;1;3;8;20;44;31;52;160;53;8;7;27;30;35;145;49;4;5;24;29;34;14;4;4;2;3;1;0;14;26;33;87;135;17;0;8;3.0;64.0;28.0;130;152;161;5
122390000;76;12;12000;12239;Saint-Martin-de-Lenne;ZZZZZZ;1223900;Z;5;232;131;76;24;217;12;0;5;32;28;67;0;3;3;26;45;31;24;125;19;14;10;28;26;28;116;18;14;9;26;25;24;9;1;0;1;2;1;4;15;22;22;72;105;26;0;1;1.0;57.0;36.0;101;129;134;0
122400000;76;12;12000;12240;Saint-Parthem;ZZZZZZ;1224000;Z;5;291;193;78;19;279;10;1;5;32;59;96;1;4;15;36;49;44;43;183;69;8;28;47;21;10;177;67;8;25;46;21;9;5;1;0;2;1;0;1;15;31;29;118;151;36;4;6;1.0;77.0;46.0;154;181;196;10
