IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
720010000;72;72701;72001;ZZZZZZ;7200100;Z;1659;362;261;319;433;228;56;492;997;170;1300;5;36;112;290;290;148;253;167;1650;9;20;1659;0
720020000;72;72000;72002;ZZZZZZ;7200200;Z;217;38;36;33;46;45;19;48;128;40;168;20;15;0;20;25;20;49;20;212;5;6;217;0
720030101;72;72701;72003;ZZZZZZ;7200301;H;3739;615;489;497;646;655;838;843;1623;1272;3123;12;47;59;294;424;442;1357;488;3676;63;178;3303;436
720030102;72;72701;72003;ZZZZZZ;7200301;H;1753;494;339;301;272;181;167;624;864;265;1259;0;10;10;82;214;278;298;367;1511;243;304;1753;0
720030103;72;72701;72003;ZZZZZZ;7200301;H;1523;249;250;199;349;328;148;318;830;376;1277;4;20;24;74;248;261;434;213;1417;107;217;1505;19
720030104;72;72701;72003;ZZZZZZ;7200301;H;1490;374;319;225;265;199;108;465;818;207;1116;0;6;5;74;242;287;268;234;1294;196;234;1490;0
720030105;72;72701;72003;ZZZZZZ;7200301;H;2593;338;457;434;622;529;212;503;1521;569;2251;7;35;70;219;440;392;643;444;2505;88;155;2334;259
720040000;72;72000;72004;ZZZZZZ;7200400;Z;566;154;83;146;92;59;33;186;314;66;385;10;10;40;60;70;56;84;55;564;2;4;565;1
720050000;72;72000;72005;ZZZZZZ;7200500;Z;949;206;108;184;169;201;80;261;480;208;734;30;15;35;76;132;132;253;61;945;4;6;949;0
720060000;72;00461;72006;ZZZZZZ;7200600;Z;1844;322;276;265;395;410;177;460;961;423;1520;5;30;80;266;256;155;530;199;1833;11;41;1769;75
720070000;72;72000;72007;ZZZZZZ;7200700;Z;486;121;71;106;82;81;25;151;272;63;321;0;5;15;56;66;76;83;20;478;8;6;486;0
720080101;72;72701;72008;ZZZZZZ;7200801;H;1555;274;237;244;318;339;143;372;799;384;1305;0;10;60;210;180;195;490;160;1516;39;64;1555;0
720080102;72;72701;72008;ZZZZZZ;7200801;H;3756;586;550;577;759;800;484;817;1942;997;3165;0;130;195;365;490;390;1175;420;3689;67;115;3696;60
720090000;72;72000;72009;ZZZZZZ;7200900;Z;392;94;57;89;82;54;15;126;221;45;298;22;0;0;54;54;49;87;32;392;0;1;392;0
720100000;72;72000;72010;ZZZZZZ;7201000;Z;406;78;52;76;98;74;28;102;232;73;332;15;10;10;66;50;65;77;39;400;6;13;406;0
720110000;72;72000;72011;ZZZZZZ;7201100;Z;913;182;142;161;190;154;83;242;487;184;741;45;30;0;106;101;136;237;86;908;5;10;913;0
720120000;72;72000;72012;ZZZZZZ;7201200;Z;518;98;82;101;109;82;46;125;301;92;413;21;37;37;48;69;48;117;37;516;2;4;501;17
720130000;72;72000;72013;ZZZZZZ;7201300;Z;2120;327;306;325;430;457;276;450;1087;583;1829;10;115;70;125;205;386;631;286;2102;18;22;2109;11
720150000;72;72000;72015;ZZZZZZ;7201500;Z;117;25;16;25;21;23;8;31;69;17;98;5;5;5;5;15;5;26;31;116;1;1;117;0
720160000;72;72000;72016;ZZZZZZ;7201600;Z;1473;302;227;265;284;232;163;412;770;291;1170;55;30;75;85;150;265;325;185;1462;11;23;1423;50
720170000;72;72000;72017;ZZZZZZ;7201700;Z;244;57;38;59;48;28;12;75;140;29;192;15;5;15;15;25;60;45;10;244;0;0;244;0
720180000;72;72000;72018;ZZZZZZ;7201800;Z;89;10;7;23;27;16;6;12;62;15;85;0;0;0;20;15;30;10;10;87;2;2;89;0
720190000;72;72000;72019;ZZZZZZ;7201900;Z;375;93;62;78;89;36;17;120;213;42;314;10;10;15;20;56;81;65;56;374;1;4;375;0
720200000;72;72000;72020;ZZZZZZ;7202000;Z;726;139;98;130;184;139;36;178;449;99;592;10;21;46;46;82;108;196;82;714;12;21;726;0
720210000;72;72000;72021;ZZZZZZ;7202100;Z;612;114;83;128;150;90;48;145;368;98;534;42;31;52;47;47;110;99;105;604;8;15;612;0
