IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;P17_RP_VOIT1;P17_RP_VOIT2P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC;P17_NPER_RP_PROP;P17_NPER_RP_LOC;P17_NPER_RP_LOCHLMV;P17_NPER_RP_GRAT;P17_RP_SDB
372210000;24;37;37000;37221;Saint-Hippolyte;ZZZZZZ;3722100;Z;5;407;307;62;38;400;7;0;12;53;78;164;0;1;18;60;100;70;59;302;139;34;24;61;23;21;296;138;34;24;60;20;20;6;1;0;0;1;3;1;28;35;43;201;265;36;0;6;2.0;154.0;76.0;246;291;133;158;317;5;554;61;0;13;299.0
372220000;24;37;37000;37222;Saint-Jean-Saint-Germain;ZZZZZZ;3722200;Z;5;397;326;39;32;392;2;1;17;49;88;170;1;4;34;52;82;67;85;323;119;25;25;53;43;57;321;118;24;25;53;43;57;2;1;1;0;0;0;0;29;44;68;185;272;52;0;2;3.0;135.0;79.0;248;308;126;182;311;0;618;102;0;4;319.0
372230000;24;37;37000;37223;Saint-Laurent-de-Lin;ZZZZZZ;3722300;Z;5;166;140;13;13;165;0;0;6;26;33;75;0;3;12;20;35;36;34;140;64;11;12;11;18;24;139;64;11;12;10;18;24;0;0;0;0;0;0;0;8;22;27;83;111;26;3;3;2.0;43.0;52.0;109;134;68;66;140;5;246;69;6;7;131.0
372240000;24;37;37000;37224;Saint-Laurent-en-Gâtines;ZZZZZZ;3722400;Z;5;412;376;18;18;392;19;0;23;52;97;205;2;4;29;45;109;80;107;372;116;19;24;102;69;43;356;108;19;23;101;63;43;16;8;0;1;1;6;0;33;62;66;215;284;87;29;5;1.0;106.0;133.0;326;352;117;235;371;10;757;181;55;10;368.0
372250000;24;37;37701;37225;Saint-Martin-le-Beau;ZZZZZZ;3722500;Z;5;1379;1218;39;122;1319;46;7;54;183;349;625;6;19;81;232;361;244;275;1211;176;63;131;410;196;236;1169;172;60;128;403;181;226;35;3;3;3;6;12;8;90;192;255;681;984;218;107;16;5.0;612.0;392.0;997;1156;451;705;1215;25;2483;527;284;40;1196.0
372260000;24;37;37109;37226;Sainte-Maure-de-Touraine;ZZZZZZ;3722600;Z;5;2185;1893;44;248;1786;389;21;139;346;626;759;24;73;180;403;603;306;302;1863;325;135;356;600;222;225;1548;298;107;280;451;195;217;309;26;26;76;147;25;8;206;360;299;1027;1236;634;262;22;54.0;984.0;577.0;1352;1635;876;759;1868;15;2727;1187;494;52;1863.0
372280000;24;37;37000;37228;Saint-Nicolas-de-Bourgueil;ZZZZZZ;3722800;Z;5;629;503;47;79;612;16;3;24;68;131;276;3;7;35;76;126;93;163;493;242;27;27;109;57;31;478;240;26;25;106;50;31;14;2;1;2;3;6;0;44;46;64;349;395;100;33;8;1.0;188.0;199.0;455;470;225;244;501;0;898;196;71;13;494.0
372290000;24;37;37000;37229;Saint-Nicolas-des-Motets;ZZZZZZ;3722900;Z;5;121;107;6;7;121;0;0;2;8;27;69;0;0;3;12;36;32;24;107;36;10;18;12;21;11;107;36;10;18;12;21;11;0;0;0;0;0;0;0;10;13;16;69;89;16;3;2;0.0;45.0;24.0;87;104;34;70;106;0;222;35;6;4;107.0
372300000;24;37;37701;37230;Saint-Ouen-les-Vignes;ZZZZZZ;3723000;Z;5;475;408;35;32;463;11;0;11;56;97;244;1;1;13;80;97;98;118;407;113;15;29;117;96;36;396;112;15;28;117;87;36;10;1;0;0;0;9;0;27;57;55;268;335;69;32;4;0.0;195.0;104.0;336;388;147;240;413;5;840;167;71;9;400.0
372310000;24;37;37102;37231;Saint-Paterne-Racan;ZZZZZZ;3723100;Z;5;884;756;44;84;815;64;1;55;156;237;307;0;16;71;207;199;137;126;753;223;80;126;157;87;80;695;219;70;103;140;85;78;55;3;10;23;15;2;2;72;111;131;442;557;194;88;5;14.0;250.0;288.0;555;673;335;338;750;0;1293;365;171;7;741.0
372320000;24;37;37000;37232;Coteaux-sur-Loire;ZZZZZZ;3723200;Z;5;1026;832;111;83;988;30;8;38;160;228;398;5;12;56;143;211;159;246;831;412;54;35;143;89;98;801;403;52;31;141;84;90;24;7;2;3;1;4;7;67;131;127;507;677;145;56;10;5.0;264.0;290.0;683;777;339;437;841;15;1589;310;127;27;809.0
372330101;24;37;37701;37233;Saint-Pierre-des-Corps;370191;3723301;H;1;1355;1224;15;116;1112;243;46;104;299;290;485;35;44;123;311;333;206;172;1215;177;298;315;112;136;176;1023;165;293;228;97;131;109;192;12;5;88;15;5;67;145;251;167;661;920;285;47;19;9.0;819.0;316.0;859;1090;661;429;1181;12;2184;570;115;23;1214.0
372330102;24;37;37701;37233;Saint-Pierre-des-Corps;370191;3723301;H;1;1146;1045;12;89;157;989;1;127;288;458;171;0;17;199;576;221;23;10;1045;18;29;207;772;14;5;147;13;25;58;47;0;5;898;5;4;149;726;14;0;122;163;135;625;599;442;303;4;874.0;106.0;57.0;401;769;619;150;1044;51;1127;946;668;4;1016.0
372330103;24;37;37701;37233;Saint-Pierre-des-Corps;370191;3723301;H;1;734;686;6;42;20;714;41;101;220;197;126;28;34;121;291;169;38;5;686;0;28;356;237;40;26;19;0;3;10;4;0;2;667;0;25;345;234;40;24;117;129;136;304;123;556;497;6;659.0;22.0;1.0;314;436;333;102;653;61;256;1354;1184;9;666.0
372330104;24;37;37701;37233;Saint-Pierre-des-Corps;370191;3723301;H;1;762;674;3;85;16;698;57;126;212;150;129;37;53;196;270;87;31;0;674;3;11;403;239;16;1;16;0;6;10;0;0;0;610;3;5;390;196;16;0;74;169;160;271;13;656;595;4;646.0;21.0;7.0;71;384;324;59;620;41;20;1508;1423;8;657.0
372330105;24;37;37701;37233;Saint-Pierre-des-Corps;370201;3723301;H;1;987;909;15;63;508;479;22;29;321;265;271;20;10;138;313;245;126;57;899;0;29;536;214;38;82;463;0;16;236;113;28;70;436;0;13;300;101;9;12;114;177;133;486;387;505;369;17;239.0;582.0;74.0;511;695;492;202;887;20;885;1004;717;30;883.0
