IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;P17_RP_VOIT1;P17_RP_VOIT2P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC;P17_NPER_RP_PROP;P17_NPER_RP_LOC;P17_NPER_RP_LOCHLMV;P17_NPER_RP_GRAT;P17_RP_SDB
372610204;24;37;37701;37261;Tours;370221;3726102;H;1;1760;1436;67;258;420;1331;225;364;260;201;386;245;155;290;263;134;178;171;1429;225;303;515;238;142;7;394;172;132;67;13;10;0;1026;52;171;445;222;129;7;404;399;202;431;628;780;14;27;297.0;775.0;360.0;540;1003;786;218;1223;22;1233;1097;17;50;1384.0
372610301;24;37;37701;37261;Tours;370231;3726103;H;1;2334;2018;61;256;577;1749;489;479;337;236;476;378;314;418;255;207;158;288;2007;414;220;616;365;360;33;518;252;142;89;6;22;7;1482;162;78;526;358;331;25;572;553;280;612;844;1124;74;49;567.0;765.0;651.0;882;1404;1043;361;1548;49;1748;1539;102;121;1960.0
372610401;24;37;37701;37261;Tours;370241;3726104;H;1;1966;1704;45;217;69;1885;412;487;365;279;162;286;288;482;332;236;51;29;1699;189;86;455;836;90;43;62;38;10;0;7;4;3;1624;147;76;449;830;83;40;432;525;248;499;251;1425;801;28;765.0;469.0;464.0;564;956;772;184;1321;83;442;2274;1410;31;1628.0
372610402;24;37;37701;37261;Tours;370241;3726104;H;1;1842;1653;33;156;161;1577;453;391;450;267;92;226;300;550;383;125;28;41;1601;215;127;339;533;316;71;157;67;44;26;9;6;6;1354;144;83;309;443;310;65;358;534;246;515;167;1450;917;35;862.0;446.0;340.0;501;855;700;155;1210;87;290;2237;1567;62;1595.0
372610501;24;37;37701;37261;Tours;370241;3726105;H;1;2094;1864;40;191;304;1775;301;539;459;363;202;266;167;533;473;236;112;77;1863;115;147;483;470;567;81;283;86;107;53;21;14;3;1564;29;37;423;449;547;78;465;554;293;552;625;1209;280;30;618.0;542.0;694.0;1138;1344;1055;289;1571;60;1114;1961;681;35;1813.0
372610502;24;37;37701;37261;Tours;370241;3726105;H;1;1674;1493;37;144;475;1170;266;301;384;278;264;252;179;298;350;250;64;99;1471;115;216;407;225;356;151;425;85;168;120;38;15;0;1018;26;49;284;184;327;148;367;480;227;418;513;934;198;46;340.0;681.0;471.0;751;1037;772;265;1243;43;1095;1524;391;57;1478.0
372610601;24;37;37701;37261;Tours;370241;3726106;H;1;1286;1181;17;88;135;1148;317;219;336;223;86;186;220;387;328;36;8;15;1181;22;100;592;369;56;42;128;16;91;6;4;11;1;1049;6;9;586;362;46;41;275;355;206;344;107;1027;570;47;960.0;184.0;29.0;207;719;639;80;878;81;186;1830;1255;80;1129.0
372610602;24;37;37701;37261;Tours;370251;3726106;H;2;1651;1499;10;143;108;1537;264;417;453;215;150;226;201;462;432;131;29;17;1477;10;73;376;396;379;244;95;7;53;23;10;3;0;1375;3;20;353;383;372;244;356;542;215;385;130;1361;864;8;803.0;322.0;370.0;538;970;798;172;1244;87;319;2390;1649;8;1439.0
372610701;24;37;37701;37261;Tours;370261;3726107;H;1;1809;1491;73;245;773;1029;216;308;279;177;510;209;162;285;194;166;201;273;1490;364;368;288;285;170;14;688;291;254;81;36;24;3;799;74;114;204;250;146;11;364;346;212;569;756;703;8;32;229.0;920.0;336.0;517;1107;765;342;1278;14;1705;1087;39;43;1436.0
372610702;24;37;37701;37261;Tours;370261;3726107;H;1;1538;1333;23;182;364;1167;169;305;403;252;204;135;163;338;336;210;81;70;1315;114;155;243;375;341;87;322;71;121;67;27;17;19;990;44;34;176;344;323;68;315;390;248;380;530;773;242;29;262.0;651.0;412.0;737;990;744;246;1171;31;1006;1287;425;32;1307.0
372610801;24;37;37701;37261;Tours;370261;3726108;H;1;1400;1236;30;134;486;914;75;309;270;323;260;59;121;292;375;189;122;78;1225;103;159;636;249;59;19;463;87;135;140;42;42;16;763;16;24;495;207;17;3;251;275;200;510;772;447;3;18;489.0;591.0;146.0;545;969;743;226;1170;31;1541;625;13;28;1205.0
372610802;24;37;37701;37261;Tours;370261;3726108;H;1;1703;1465;63;175;831;869;114;258;283;344;467;69;202;223;359;331;192;89;1458;93;390;421;376;140;37;743;85;348;134;107;39;31;711;8;43;287;269;97;7;276;352;256;581;764;539;105;161;328.0;899.0;213.0;691;1192;869;323;1358;42;1568;953;278;348;1432.0
372610901;24;37;37701;37261;Tours;370251;3726109;H;1;1303;1108;34;161;2;1297;25;86;310;349;338;19;18;98;469;366;111;26;1104;5;4;971;105;12;8;1;0;0;1;0;0;0;1100;5;4;967;105;12;8;123;217;148;619;864;228;5;16;1100.0;0.0;8.0;227;839;681;158;1084;11;1342;417;5;33;1061.0
372610902;24;37;37701;37261;Tours;370251;3726109;H;1;1079;1039;0;40;4;1075;13;88;133;471;333;9;49;93;551;275;63;0;1039;0;27;915;71;18;9;4;0;4;0;0;0;0;1035;0;22;915;71;18;9;72;302;191;475;31;1004;955;4;1026.0;9.0;4.0;89;723;559;165;1026;97;124;3055;2912;22;990.0
372611001;24;37;37701;37261;Tours;370231;3726110;H;1;2088;1683;196;209;175;1807;446;475;337;220;205;350;268;386;278;260;71;69;1643;96;118;340;753;325;11;149;70;33;30;10;3;3;1493;26;84;310;743;321;8;464;533;212;475;437;1226;317;20;598.0;439.0;646.0;838;1006;831;174;1255;50;751;1715;473;35;1654.0
372611002;24;37;37701;37261;Tours;370231;3726110;H;1;1280;1118;33;130;608;673;55;245;283;214;321;51;94;211;279;247;100;134;1118;169;294;332;194;117;11;565;159;261;103;27;11;3;553;10;33;229;167;106;7;191;231;191;504;702;389;3;27;106.0;772.0;230.0;572;911;644;267;1063;17;1429;652;3;36;1094.0
372611003;24;37;37701;37261;Tours;370231;3726110;H;1;1178;1051;14;113;553;625;55;154;321;265;257;45;93;225;283;213;116;77;1051;65;316;460;189;20;1;505;58;248;118;69;10;1;547;7;68;342;120;10;0;111;215;157;569;517;512;218;22;126.0;796.0;119.0;456;781;603;179;996;17;1101;877;361;25;1041.0
372611004;24;37;37701;37261;Tours;370231;3726110;H;2;1529;1309;45;175;467;1053;192;368;356;181;212;214;162;348;254;159;89;84;1306;153;208;393;159;325;69;438;122;108;137;22;44;6;859;31;100;255;137;272;63;370;331;198;411;581;716;79;12;172.0;703.0;420.0;582;950;726;225;1117;31;1093;1025;146;12;1265.0
372611101;24;37;37701;37261;Tours;370271;3726111;H;2;2005;1548;219;239;2;1978;487;275;525;201;59;531;156;576;238;37;2;8;1532;8;10;708;277;442;87;2;0;0;0;0;1;1;1509;8;10;704;273;431;84;458;501;288;301;57;1468;892;22;1024.0;79.0;445.0;235;570;514;56;1074;135;97;2582;1919;58;1453.0
372611102;24;37;37701;37261;Tours;370271;3726111;H;1;699;613;6;80;0;696;64;160;159;109;121;22;147;199;146;92;3;3;613;0;5;408;182;13;4;0;0;0;0;0;0;0;610;0;5;408;179;13;4;110;161;131;211;0;608;590;5;555.0;22.0;35.0;36;164;150;14;552;51;0;1417;1390;22;584.0
372611103;24;37;37701;37261;Tours;370271;3726111;H;2;1190;1056;21;112;57;1115;112;392;292;142;117;42;207;433;205;127;18;26;1055;11;49;572;395;28;0;53;4;32;14;3;0;0;985;7;14;544;392;28;0;174;201;217;465;177;869;638;11;557.0;470.0;26.0;339;501;448;54;948;74;305;1411;1090;18;1018.0
372611104;24;37;37701;37261;Tours;370271;3726111;H;2;1020;926;0;94;10;1010;50;184;421;191;80;7;92;330;373;104;3;17;926;0;21;758;129;14;3;10;0;0;10;0;0;0;915;0;21;748;129;14;3;84;210;226;406;21;901;872;3;888.0;28.0;7.0;87;368;309;59;876;52;45;1714;1660;10;853.0
372611105;24;37;37701;37261;Tours;370271;3726111;H;2;893;778;14;101;117;769;132;122;169;231;124;107;107;182;238;107;25;12;774;7;70;547;99;46;4;101;7;55;32;4;4;0;665;0;15;508;96;43;4;119;186;127;346;102;665;540;11;579.0;113.0;75.0;142;416;317;99;660;93;280;1567;1363;47;746.0
372611201;24;37;37701;37261;Tours;370281;3726112;H;1;1160;1017;28;115;412;748;59;186;315;282;175;45;91;262;328;152;72;67;1013;38;182;553;104;114;22;377;35;161;123;35;11;14;636;3;21;430;70;104;9;107;217;154;538;562;444;295;10;346.0;604.0;67.0;320;676;534;142;958;21;1093;788;510;14;992.0
372611202;24;37;37701;37261;Tours;370281;3726112;H;1;1427;1192;134;102;481;942;84;307;395;242;163;65;78;401;357;154;102;35;1186;67;158;543;90;97;231;434;43;138;211;27;8;8;747;23;20;328;63;89;223;283;261;122;525;372;809;464;10;462.0;639.0;84.0;556;901;754;147;1116;61;756;1424;903;13;1181.0
372611301;24;37;37701;37261;Tours;370281;3726113;H;1;1065;881;22;162;1;1062;95;219;194;276;97;70;87;156;233;265;68;1;880;0;8;312;540;14;5;1;0;0;0;1;0;0;877;0;8;311;538;14;5;126;175;144;436;370;509;440;2;865.0;13.0;3.0;277;554;458;96;793;55;584;917;792;3;794.0
372611401;24;37;37701;37261;Tours;370291;3726114;H;1;1900;1739;29;132;457;1436;153;417;543;355;271;69;193;469;520;301;91;95;1716;52;87;456;416;518;188;434;41;80;111;132;48;21;1275;10;7;345;280;469;164;313;529;332;564;757;954;375;28;387.0;683.0;640.0;1329;1415;1063;352;1608;77;1353;1690;740;42;1708.0
372611402;24;37;37701;37261;Tours;370291;3726114;H;1;2836;2509;44;283;850;1986;99;474;818;671;448;56;109;693;926;475;148;103;2202;26;62;750;369;274;720;777;26;55;361;164;118;53;1425;0;7;389;206;156;667;521;910;449;628;1058;1419;507;32;818.0;1247.0;409.0;1830;2069;1514;556;2415;93;2058;2871;1226;47;2461.0
372611403;24;37;37701;37261;Tours;370291;3726114;H;1;944;842;12;90;123;819;34;116;291;229;171;3;51;234;372;107;44;32;805;12;13;565;141;36;38;100;12;7;43;21;15;1;702;0;6;518;119;21;37;147;250;127;319;201;636;439;5;579.0;228.0;29.0;394;605;460;145;808;31;369;1352;986;24;819.0
372611404;24;37;37701;37261;Tours;370291;3726114;H;1;1763;1517;82;164;351;1365;134;408;394;317;264;46;217;415;368;238;144;91;1459;41;70;331;541;299;177;308;38;61;107;63;29;11;1147;3;8;225;475;270;166;280;463;274;501;580;920;371;18;224.0;813.0;480.0;1112;1140;907;233;1387;43;1110;1569;772;38;1499.0
372611405;24;37;37701;37261;Tours;370291;3726114;H;1;1579;1356;32;192;232;1323;248;444;276;198;190;222;205;375;238;184;67;66;1310;88;132;208;641;104;138;222;42;74;74;22;7;4;1065;43;59;134;600;96;134;332;488;214;322;314;1032;221;10;329.0;754.0;269.0;675;898;739;159;1118;30;615;1538;393;22;1314.0
372611503;24;37;37701;37261;Tours;370301;3726115;H;1;1981;1767;39;176;1030;951;85;322;467;433;460;61;132;323;481;413;154;203;1709;39;73;234;545;415;403;927;35;73;148;387;164;120;781;4;0;87;158;251;282;311;471;306;678;902;857;208;9;205.0;778.0;741.0;1543;1574;971;603;1690;43;2041;1573;424;20;1744.0
372611504;24;37;37701;37261;Tours;370301;3726115;H;1;1556;1422;22;112;666;887;89;300;331;272;430;48;108;356;324;218;165;204;1359;120;128;253;448;346;64;614;120;107;108;122;130;26;741;0;21;145;327;212;38;238;309;227;648;594;805;484;23;417.0;557.0;398.0;876;1202;781;421;1343;46;1345;1416;902;55;1375.0
372611601;24;37;37701;37261;Tours;370301;3726116;H;1;2041;1694;50;297;575;1447;273;449;362;241;369;229;209;377;321;199;154;205;1607;347;147;278;329;298;208;491;196;56;114;76;32;16;1104;151;87;163;250;262;191;425;519;214;535;718;938;67;38;194.0;731.0;745.0;922;1321;1027;294;1435;49;1447;1433;130;58;1643.0
372611701;24;37;37701;37261;Tours;370311;3726117;H;1;742;694;3;45;393;350;3;37;144;333;176;3;10;73;226;286;72;24;693;0;0;489;187;14;3;374;0;0;293;68;10;3;319;0;0;196;120;3;0;52;82;126;434;514;170;102;10;88.0;554.0;35.0;334;598;449;149;690;0;1018;306;163;17;691.0
372611702;24;37;37701;37261;Tours;370311;3726117;H;1;740;715;3;21;226;514;42;109;214;235;116;21;45;190;210;207;17;24;715;11;19;368;293;14;11;208;11;8;143;38;3;5;507;0;11;225;254;11;7;91;176;123;326;235;477;374;3;413.0;260.0;38.0;263;550;386;164;677;11;456;898;696;17;701.0
372611703;24;37;37701;37261;Tours;370311;3726117;H;1;1121;1053;15;53;74;898;244;293;259;174;83;114;224;368;246;79;16;5;1031;8;8;552;293;41;128;71;5;0;38;27;0;0;813;3;8;376;257;41;128;216;291;202;344;79;974;603;0;825.0;91.0;132.0;229;691;569;122;820;23;158;1428;939;0;1030.0
372611704;24;37;37701;37261;Tours;370311;3726117;H;1;820;784;0;36;19;790;65;124;263;228;103;29;54;186;372;89;46;7;783;0;22;484;248;22;7;18;0;0;4;4;4;7;754;0;18;473;244;18;0;94;158;153;379;7;769;717;7;746.0;30.0;7.0;24;445;349;96;718;25;25;1582;1494;15;751.0
372611705;24;37;37701;37261;Tours;370311;3726117;H;1;1676;1525;11;140;562;1107;110;309;471;418;218;33;111;337;541;403;75;25;1441;4;11;545;267;89;524;504;4;10;375;52;8;55;929;0;1;166;215;80;467;283;429;339;474;983;518;67;23;242.0;692.0;577.0;1296;1312;960;352;1434;28;1750;908;136;49;1515.0
372611706;24;37;37701;37261;Tours;370311;3726117;H;2;889;852;3;34;310;576;87;95;195;278;196;53;64;97;336;191;97;14;827;1;14;394;320;89;9;300;0;8;201;82;4;5;523;1;7;193;234;85;3;101;194;116;441;285;567;442;0;460.0;298.0;81.0;363;618;488;130;781;36;627;1244;1053;0;827.0
372611801;24;37;37701;37261;Tours;370301;3726118;H;1;588;575;0;13;576;12;0;3;35;261;275;0;0;8;48;388;109;21;574;0;0;20;542;8;3;565;0;0;20;533;8;3;9;0;0;0;9;0;0;16;51;59;449;537;30;0;7;4.0;552.0;3.0;486;514;279;234;575;7;1094;73;0;7;568.0
372611802;24;37;37701;37261;Tours;370301;3726118;H;1;985;910;4;71;600;385;35;126;197;257;296;2;46;140;201;392;95;34;895;3;0;28;651;140;73;580;3;0;20;524;33;0;315;0;0;8;126;108;73;144;173;121;471;446;453;311;11;184.0;651.0;62.0;628;792;497;295;875;24;952;1020;742;17;899.0
372611803;24;37;37701;37261;Tours;370301;3726118;A;3;19;13;0;6;19;0;0;0;0;9;4;0;0;0;9;4;0;0;13;0;0;9;5;0;0;13;0;0;9;5;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;0;0;0.0;9.0;5.0;13;13;13;0;13;0;27;0;0;0;13.0
372611901;24;37;37701;37261;Tours;370321;3726119;H;1;2083;1791;93;199;172;1835;653;166;287;406;279;686;54;164;515;304;39;29;1790;12;5;847;508;398;21;159;7;4;64;76;7;0;1567;4;1;781;404;359;17;513;508;200;570;722;1011;137;57;991.0;212.0;563.0;528;1270;1032;237;1156;38;1242;1345;255;106;1749.0
372612001;24;37;37701;37261;Tours;370321;3726120;H;1;1106;1014;12;81;7;1093;177;60;274;368;135;77;134;143;575;80;4;1;1014;4;13;730;193;73;1;7;0;0;7;0;0;0;1002;4;13;719;193;72;1;209;228;182;396;97;912;708;5;816.0;128.0;70.0;67;746;593;153;844;25;167;1725;1336;5;963.0
372612101;24;37;37701;37261;Tours;370331;3726121;H;1;1369;1207;22;140;7;1362;21;184;349;447;205;24;24;160;432;454;81;32;1207;0;3;152;1025;23;3;7;0;0;0;7;0;0;1200;0;3;152;1018;23;3;110;221;175;702;788;372;167;47;1200.0;3.0;4.0;982;1037;819;218;1190;32;1324;673;292;74;1193.0
372612102;24;37;37701;37261;Tours;370331;3726121;H;1;1425;1238;25;162;7;1365;94;534;505;79;26;21;226;563;413;13;1;2;1231;0;3;274;683;187;84;7;0;0;0;7;0;0;1174;0;3;225;675;187;84;266;449;236;287;139;1090;514;10;1044.0;11.0;184.0;313;883;764;119;1154;43;206;1497;682;15;1173.0
372612103;24;37;37701;37261;Tours;370331;3726121;H;1;1668;1559;9;99;0;1662;189;565;467;221;117;23;319;551;547;104;13;3;1555;6;9;451;1038;36;14;0;0;0;0;0;0;0;1549;6;9;448;1035;36;14;173;369;333;684;14;1542;1450;4;1537.0;18.0;4.0;106;794;693;101;1380;126;53;2741;2596;7;1420.0
372612201;24;37;37701;37261;Tours;370321;3726122;H;1;1794;1521;154;118;86;1662;313;455;489;209;56;307;80;462;475;139;46;12;1385;3;3;16;61;673;628;77;0;0;11;8;51;6;1272;3;3;4;50;597;614;550;650;232;90;245;1254;234;23;343.0;427.0;743.0;1224;1187;904;283;1216;48;412;1954;487;60;1478.0
372620000;24;37;37000;37262;Trogues;ZZZZZZ;3726200;Z;5;181;142;20;19;177;2;0;5;20;36;82;2;1;6;20;45;25;43;141;53;15;6;39;16;13;139;53;15;6;39;14;13;0;0;0;0;0;0;0;5;14;22;102;118;19;1;5;0.0;40.0;48.0;126;131;57;74;141;0;265;36;1;9;140.0
372630000;24;37;37204;37263;Truyes;ZZZZZZ;3726300;Z;5;1035;957;16;61;993;23;19;34;149;259;495;2;27;45;176;265;211;231;935;99;45;112;300;200;179;901;97;44;112;283;193;172;18;2;1;0;1;7;7;100;184;132;541;748;203;83;6;5.0;435.0;335.0;770;895;345;551;952;10;1945;430;199;8;946.0
372640000;24;37;37000;37264;Vallères;ZZZZZZ;3726400;Z;5;560;486;32;42;536;9;2;20;43;147;274;5;7;19;46;151;131;126;486;115;27;28;104;112;100;479;114;24;28;104;109;99;4;1;2;0;0;0;1;46;59;105;277;420;59;3;7;1.0;147.0;207.0;417;455;141;314;476;5;1103;128;9;13;478.0
372650000;24;37;37000;37265;Varennes;ZZZZZZ;3726500;Z;5;126;106;15;5;124;2;0;1;14;27;64;0;2;6;17;28;18;35;103;44;10;11;21;6;11;101;44;10;11;19;6;11;2;0;0;0;2;0;0;9;18;24;55;82;24;10;0;1.0;41.0;26.0;80;102;39;63;110;5;194;52;24;0;100.0
372660101;24;37;37701;37266;Veigné;ZZZZZZ;3726601;H;4;1263;1163;19;81;1122;136;18;76;144;288;638;10;27;85;197;321;218;305;1143;91;48;160;397;362;84;1020;86;38;148;337;345;65;119;5;10;12;57;17;19;110;142;204;707;856;297;152;10;6.0;555.0;454.0;945;1101;468;634;1113;15;2063;598;298;19;1140.0
372660102;24;37;37701;37266;Veigné;ZZZZZZ;3726601;H;4;1577;1449;41;87;1451;121;7;71;171;332;868;7;21;66;229;385;299;442;1311;110;68;199;416;238;281;1218;109;67;197;412;229;205;89;0;0;2;2;10;76;201;250;210;788;1115;320;95;14;4.0;803.0;470.0;1273;1404;563;841;1466;25;2687;763;215;33;1429.0
372670000;24;37;37107;37267;Véretz;ZZZZZZ;3726700;Z;5;1802;1699;37;67;1700;91;3;52;160;374;1109;5;15;63;228;496;406;486;1619;167;53;95;510;628;166;1533;152;51;86;490;593;160;84;14;2;9;19;35;6;151;232;314;1001;1405;285;103;8;5.0;752.0;672.0;1439;1642;536;1106;1699;30;3715;693;237;18;1669.0
372680000;24;37;37000;37268;Verneuil-le-Château;ZZZZZZ;3726800;Z;5;78;59;8;11;78;0;0;4;10;19;27;0;0;2;11;17;11;19;59;38;6;1;7;3;4;59;38;6;1;7;3;4;0;0;0;0;0;0;0;6;5;6;42;52;6;3;1;0.0;31.0;12.0;53;57;25;32;64;0;108;13;6;5;56.0
372690000;24;37;37000;37269;Verneuil-sur-Indre;ZZZZZZ;3726900;Z;5;308;228;39;42;287;18;6;19;36;63;103;4;7;28;50;73;32;33;228;121;16;15;26;31;19;214;110;15;14;26;31;19;12;11;0;1;0;0;0;17;31;48;132;162;62;8;4;15.0;77.0;62.0;169;209;105;105;219;5;353;118;18;9;215.0
372700000;24;37;37701;37270;Vernou-sur-Brenne;ZZZZZZ;3727000;Z;5;1292;1147;54;91;1170;116;21;94;189;282;561;17;40;105;207;258;220;300;1138;277;86;189;248;250;87;1029;247;78;173;218;234;79;104;27;8;14;30;16;8;108;191;179;669;836;281;66;29;5.0;578.0;339.0;899;1020;460;561;1140;10;1992;575;139;53;1133.0
372710000;24;37;37000;37271;Villaines-les-Rochers;ZZZZZZ;3727100;Z;5;535;448;25;62;524;11;4;38;88;124;195;3;14;37;99;138;92;66;448;172;37;40;108;39;53;438;166;36;39;107;38;53;10;6;1;1;1;1;0;37;67;70;274;365;78;13;5;2.0;127.0;155.0;364;423;179;244;446;26;901;159;33;7;443.0
372720000;24;37;37000;37272;Villandry;ZZZZZZ;3727200;Z;5;527;451;35;41;505;16;2;32;54;110;253;3;9;29;53;122;88;148;435;144;29;33;90;91;46;423;139;29;32;88;91;43;10;5;1;1;1;0;2;38;68;86;260;380;57;6;15;4.0;203.0;129.0;335;444;159;285;452;0;958;121;14;35;438.0
372730000;24;37;37701;37273;La Ville-aux-Dames;ZZZZZZ;3727300;Z;5;2369;2255;34;80;1929;385;38;164;373;736;945;22;57;214;505;788;405;264;2217;76;58;276;962;450;395;1832;75;55;261;821;336;284;356;1;1;11;138;96;110;212;434;345;1264;1612;635;317;8;47.0;1452.0;562.0;1870;2102;1057;1045;2238;66;4007;1447;674;15;2213.0
372740000;24;37;37000;37274;Villebourg;ZZZZZZ;3727400;Z;5;175;123;23;29;174;1;0;10;19;32;62;0;3;10;16;38;26;30;120;61;18;6;13;12;10;120;61;18;6;13;12;10;0;0;0;0;0;0;0;11;23;21;68;98;23;0;2;0.0;45.0;30.0;91;118;46;72;120;0;233;61;0;4;119.0
372750000;24;37;37000;37275;Villedômain;ZZZZZZ;3727500;Z;5;83;59;17;6;81;0;0;5;16;17;22;1;1;4;15;15;12;13;59;37;9;4;5;4;1;58;37;8;4;5;3;1;0;0;0;0;0;0;0;4;5;17;34;50;8;0;2;0.0;24.0;11.0;38;56;33;22;63;0;90;20;0;5;56.0
372760000;24;37;37000;37276;Villedômer;ZZZZZZ;3727600;Z;5;607;535;23;48;586;17;2;19;57;143;314;4;9;20;70;163;130;139;530;124;44;43;156;105;58;516;122;43;40;155;98;58;11;1;0;3;1;6;0;42;87;90;317;432;96;19;7;6.0;237.0;141.0;410;518;197;321;541;5;1053;218;47;23;518.0
372770000;24;37;37000;37277;Villeloin-Coulangé;ZZZZZZ;3727700;Z;5;350;242;60;48;345;2;0;9;39;72;122;1;2;19;56;70;42;52;241;115;23;21;50;20;12;239;114;23;20;50;20;12;2;1;0;1;0;0;0;16;31;39;156;192;46;18;4;1.0;112.0;70.0;212;220;127;93;240;5;418;91;39;6;239.0
372780000;24;37;37000;37278;Villeperdue;ZZZZZZ;3727800;Z;5;448;407;13;28;406;41;6;19;42;109;231;9;6;27;70;120;93;82;391;68;27;39;123;84;50;356;66;27;37;110;69;47;35;2;0;2;13;15;3;51;60;69;227;296;109;4;2;1.0;102.0;169.0;317;382;125;257;400;5;790;234;8;6;402.0
372790000;24;37;37000;37279;Villiers-au-Bouin;ZZZZZZ;3727900;Z;5;370;312;19;38;342;26;2;14;55;80;161;0;2;24;59;115;58;54;309;90;19;48;78;26;48;297;90;19;38;76;26;48;12;0;0;10;2;0;0;21;49;53;189;223;86;38;3;4.0;156.0;74.0;264;291;143;148;305;0;566;176;65;7;300.0
372800000;24;37;37000;37280;Vou;ZZZZZZ;3728000;Z;5;138;90;29;19;136;1;0;8;20;18;45;0;2;6;14;20;21;28;90;60;10;7;5;5;4;89;60;10;7;4;5;4;1;0;0;0;1;0;0;4;9;14;64;77;11;0;2;3.0;31.0;20.0;61;85;43;42;93;5;162;31;0;6;87.0
372810000;24;37;37701;37281;Vouvray;ZZZZZZ;3728100;Z;5;1562;1370;60;132;1271;285;20;115;261;304;669;12;42;143;264;296;244;370;1357;332;117;190;385;197;137;1094;315;99;165;298;141;77;258;15;17;24;87;56;60;160;264;183;763;946;395;119;29;27.0;732.0;445.0;970;1257;588;669;1353;15;2269;771;209;68;1343.0
372820000;24;37;37000;37282;Yzeures-sur-Creuse;ZZZZZZ;3728200;Z;5;924;717;115;92;869;54;9;54;141;213;300;4;21;73;137;221;132;129;703;171;68;139;188;71;66;665;168;59;125;180;71;62;38;3;9;14;8;0;4;63;98;114;442;524;180;47;13;10.0;290.0;239.0;533;635;356;279;710;10;1041;321;91;18;694.0
