dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-03T12:43:29.000Z|66017|I1203|CDD|E||Mensuel de 1700 Euros sur 12 mois|Temps plein||5|55||66017|
2021-03-03T12:39:11.000Z|66017|A1203|CDD|E||Mensuel de 1700,00 Euros sur 12 mois|Temps plein||5|55||66017|
2021-03-02T17:47:45.000Z|66017|G1703|CDI|E||Mensuel de 1800,00 Euros sur 12 mois|Temps plein||6|55|38219|66017|
2021-01-11T13:27:47.000Z|66017|G1703|CDD|D|NEO SPHERE||Temps plein||5|85|18324|66017|
2021-03-10T15:28:22.000Z|66017|K2503|CDD|D|YZOPE PROTECTION|Mensuel de 1559,48 Euros à 1666,34 Euros sur 12 mois|Temps plein||6|80|10556|66017|
2021-03-03T15:14:36.000Z|66017|G1204|SAI|E||Mensuel de 1808,00 Euros sur 12 mois|Temps plein||6|55|19586|66017|
2021-01-23T10:30:28.000Z|66017|G1401|SAI|E|||Temps plein||||18849|66017|
2021-03-16T11:12:03.000Z|66017|K1302|CDI|D|Azaé Perpignan|Horaire de 10,30 Euros|Temps partiel||||11453|66017|
2021-03-15T14:27:41.000Z|66017|G1602|SAI|E|LES ARTS PLAGE|Mensuel de 2000,00 Euros à 3000,00 Euros sur 12 mois|Temps plein||6|93|13861|66017|
2021-03-12T16:16:15.000Z|66017|G1802|SAI|E||Mensuel de 1800,00 Euros sur 12 mois|Temps plein||5|56|18850|66017|
2021-03-12T15:20:20.000Z|66017|K1302|CDI|E||Horaire de 10,25 Euros|Temps partiel||6|88|11453|66017|
2021-03-10T03:00:11.000Z|66017|G1602|SAI|E|||Temps plein||||19354|66017|
2021-03-03T15:18:01.000Z|66017|G1204|SAI|E||Mensuel de 1920,00 Euros sur 12 mois|Temps plein||6|55||66017|
2021-03-03T13:49:48.000Z|66017|I1203|CDD|E||Mensuel de 1700,00 Euros sur 12 mois|Temps plein||5|55||66017|
2021-02-18T09:05:22.000Z|66017|A1406|SAI|D|BERGES JOSEPH|Mensuel de 1800,00 Euros sur 12 mois|Temps plein||6|03|11668|66017|
2021-01-23T10:25:30.000Z|66017|G1801|SAI|E|||Temps plein||||18661|66017|
2021-01-13T17:13:39.000Z|66017|K1302|CDI|E|||Temps plein||||11453|66017|
2021-03-15T12:20:32.000Z|66017|G1602|CDI|E|RESTAURANT LA PINEDE||Temps plein||5|56|12756|66017|
2021-03-15T09:40:27.000Z|66017|G1601|CDI|E|RESTAURANT LA PINEDE||Temps plein||6|56|12110|66017|
2021-03-10T03:00:36.000Z|66017|G1601|SAI|E|||Temps plein||||12110|66017|
2021-02-21T16:59:52.000Z|66017|J1202|CDD|D|||Temps plein|||64|17676|66017|
2021-02-19T15:21:23.000Z|66017|F1603|CDD|E||Mensuel de 1700,00 Euros sur 12 mois|Temps plein||6|55|17837|66017|
2021-03-11T14:42:48.000Z|66017|F1607|MIS|E|66 SOIXANTE SIX INTERIM|Horaire de 10,50 Euros à 11,00 Euros sur 12 mois|Temps plein||3|78|16612|66017|
2021-02-26T03:50:20.000Z|66017|J1406|CDD|D|||Temps plein|||64|17367|66017|
