dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-15T09:04:30.000Z|72132|G1603|CDI|D|MCDO|Horaire de 10,25 Euros|Temps partiel||6|56||72132|
2021-03-12T12:34:12.000Z|72132|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|72132|
2021-03-12T01:33:00.000Z|72132|M1502|CDI|S|ADEQUAT 142|Mensuel de 1650 Euros à 2250 Euros sur 12 mois|Temps plein||5|78|11863|72132|
2021-03-11T08:17:29.000Z|72132|K1801|CDD|E|||Temps plein||6|84||72132|
2021-03-09T06:11:19.000Z|72132|H3302|MIS|D|Randstad||Temps plein|||78||72132|
2021-03-08T10:21:23.000Z|72132|H3301|CDD|D||Horaire de 10,25 Euros|Temps plein||3|22|17110|72132|
2021-03-05T16:14:20.000Z|72132|D1211|CDI|E|Le relais Habitat et services jeunes|Horaire de 10,25 Euros à 11,00 Euros sur 12 mois|Temps plein||6|55|20592|72132|
2021-03-05T11:50:08.000Z|72132|K2204|CDD|D|CHALLANCIN NETTOYAGE SERVICES|Horaire de 10,44 Euros à 10,56 Euros sur 12 mois|Temps partiel||5|81|10571|72132|
2021-02-23T15:58:13.000Z|72132|H3302|CDD|D||Horaire de 10,25 Euros|Temps plein||2|46||72132|
2021-02-23T10:46:26.000Z|72132|K1601|CDD|D|RECTORAT DIPE 5|Mensuel de 1719,77 Euros à 2122,77 Euros sur 12 mois|Temps plein||9|84|14511|72132|
2021-02-19T10:28:55.000Z|72132|H3302|MIS|D|ADWORK'S TRAVAIL TEMPORAIRE|Horaire de 10,25 Euros à 10,25 Euros sur 12 mois|Temps plein||5|78||72132|
2021-02-08T14:54:29.000Z|72132|K1801|CDD|E|||Temps plein||6|88|13436|72132|
2021-01-04T10:24:38.000Z|72132|G1603|CDI|E|BOULANGERIE DE MARIE BLACHERE|Mensuel de 1554,62 Euros sur 12 mois|Temps plein||5|47|18046|72132|
2021-03-15T13:33:36.000Z|72132|E1301|CDD|D||Horaire de 10,25 Euros|Temps plein||3|22|11547|72132|
2021-03-05T11:29:52.000Z|72132|M1603|CDI|D|DAILY PRESS SERVICES|Horaire de 10,25 Euros|Temps partiel||6|53|14502|72132|
2021-03-04T16:57:43.000Z|72132|A1416|CDD|E|||Temps plein||||17399|72132|
2021-02-28T03:10:08.000Z|72132|M1502|CDI|E|Artus||Temps plein||||11939|72132|
2021-02-26T11:11:06.000Z|72132|H1502|CDI|D|SIMPAK||Temps plein||6|46|38137|72132|
2021-02-17T15:44:59.000Z|72132|A1407|CDD|E|||Temps plein|||||72132|
2021-01-27T03:04:48.000Z|72132|D1502|CDI|D|||Temps plein||||12284|72132|
2020-11-20T11:03:12.000Z|72132|C1102|CDD|E|||Temps plein||6|66||72132|
2021-03-15T15:13:05.000Z|72132|K1902|CDI|E|L'agence Sbc||Temps plein||||12666|72132|
2021-03-15T11:30:09.000Z|72132|N1101|MIS|E|RAS TRANSPORT LE MANS|Horaire de 10,25 Euros sur 12 mois|Temps plein||1|78|11679|72132|
2021-03-15T05:12:49.000Z|72132|I1302|CDI|E|Proman Le Mans Universite||Temps plein||8|||72132|
2021-03-15T05:05:38.000Z|72132|M1302|CDI|E|Associatesest||Temps plein||||38588|72132|
2021-03-12T11:01:42.000Z|72132|D1208|CDD|E|PARFUMERIE BEAUTY SUCCESS|Horaire de 10,25 Euros à 10,25 Euros|Temps plein||6|96|14890|72132|
2021-03-09T06:11:57.000Z|72132|M1202|CDI|E||Annuel de 50000,00 Euros ï¿½ 55000,00 Euros|Temps plein|||69||72132|
2021-03-09T06:06:03.000Z|72132|M1202|CDI|E||Annuel de 27000,00 Euros ï¿½ 33000,00 Euros|Temps plein|||69||72132|
2021-03-09T06:01:28.000Z|72132|N1101|MIS|D|Randstad||Temps plein|||78|11679|72132|
2021-03-08T15:42:47.000Z|72132|H2101|CDI|E|SOS DESOSS|Annuel de 27000,00 Euros à 31000,00 Euros sur 12 mois|Temps plein||2|78|14011|72132|
2021-03-08T11:25:37.000Z|72132|I1401|CDI|E|BERGER LEVRAULT|Mensuel de 1700,00 Euros à 1800,00 Euros sur 12 mois|Temps plein||7|58||72132|
2021-03-08T10:10:03.000Z|72132|N4101|CDI|E|TREMBLAYE LOCATION P.L.|Horaire de 10,6 Euros à 10,81 Euros sur 12 mois|Temps plein||2|49|13231|72132|
2021-03-07T20:52:39.000Z|72132|D1208|CDD|E|FERTE NATURE|Horaire de 11,50 Euros sur 12 mois|Temps partiel||6|47|14890|72132|
2021-03-05T15:17:10.000Z|72132|N4103|CDI|D|VOYAGES MAUGER|Horaire de 10,80 Euros à 11,10 Euros sur 12 mois|Temps partiel||3|49|13157|72132|
2021-03-05T09:41:26.000Z|72132|M1502|CDD|E|PREMI'HOMME||Temps plein||6|78|11858|72132|
2021-03-03T16:29:41.000Z|72132|J1303|CDI|D|SAS JUROMA|Mensuel de 1776,00 Euros à 1776,00 Euros sur 12 mois|Temps plein||5|70|11193|72132|
2021-03-02T12:15:04.000Z|72132|K2107|CDD|D|OGEC DES ETABLISSEMENTS SAINT JEAN NOT||Temps partiel||9|85||72132|
2021-02-26T14:58:11.000Z|72132|H2906|CDI|D|||Temps plein|||||72132|
2021-02-25T13:55:40.000Z|72132|M1204|CDI|D|Artus Intérim||Temps plein||||13597|72132|
2021-02-25T13:49:51.000Z|72132|F1107|CDI|D|Artus Interim La Ferte Bernard||Temps plein||||15262|72132|
2021-02-24T14:57:27.000Z|72132|H2504|CDI|D|ARTUS INTERIM LA FERTE BERNARD|Mensuel de 1700,00 Euros à 2000,00 Euros sur 12 mois|Temps plein||7|78||72132|
2021-02-22T16:28:43.000Z|72132|I1305|MIS|E|ARTUS INTERIM LA FERTE BERNARD|Horaire de 10,50 Euros à 11,00 Euros sur 12 mois|Temps plein||5|78|18493|72132|
2021-02-19T16:51:58.000Z|72132|D1504|FRA|D|ELYSEE CONCEPT||Temps plein||9|70|14259|72132|
2021-02-18T09:53:32.000Z|72132|M1302|FRA|D|ELYSEE CONCEPT||Temps plein||9|70||72132|
2021-02-16T09:20:14.000Z|72132|D1208|CDI|E|DOUCE HEURE||Temps plein||6|96|14894|72132|
2021-02-16T02:50:23.000Z|72132|K1304|CDI|D||Horaire de 10,25 Euros|Temps plein|||70|10857|72132|
2021-02-15T16:55:44.000Z|72132|I1401|CDI|E|RANDSTAD|Annuel de 24600,00 Euros sur 12 mois|Temps plein||5|78||72132|
