dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-01-29T09:41:01.000Z|29216|D1209|CDI|D|SAS HERVE BEREHOUC|Horaire de 10,25 Euros|Temps plein||6|01|15095|29216|
2021-01-13T10:17:07.000Z|29216|F1703|MIS|D|GEMO (INTERIM)|Mensuel de 1622 Euros à 2000 Euros sur 12 mois|Temps plein||2|78|38217|29216|
2021-03-09T01:39:01.000Z|29216|H1210|CDI|S|ADEQUAT INTERIM|Mensuel de 1650 Euros à 2250 Euros sur 12 mois|Temps plein||5|78|11344|29216|
2021-03-04T05:51:17.000Z|29216|F1607|MIS|D|Temporis||Temps plein|||78|17920|29216|
2021-03-03T15:40:34.000Z|29216|N4101|MIS|E|GEMO (INTERIM)|Mensuel de 1560 Euros à 1680 Euros sur 12 mois|Temps plein||3|78||29216|
2021-03-02T22:26:38.000Z|29216|F1607|MIS|S|TEMPORIS||Temps plein|||78|17920|29216|
2021-02-16T16:18:38.000Z|29216|A1203|CDD|E| JEAN-PAUL OUVRANS|Mensuel de 1554,58 Euros à 1554,58 Euros sur 12 mois|Temps plein||4|81|38077|29216|
2021-02-03T13:51:36.000Z|29216|N4101|CDI|E|Start People|Mensuel de 1800,00 Euros ï¿½ 2000,00 Euros|Temps plein|||78|13132|29216|
2021-01-12T17:18:07.000Z|29216|N4101|MIS|D|GEMO (INTERIM)|Mensuel de 1622 Euros à 2000 Euros sur 12 mois|Temps plein||2|78||29216|
2021-03-16T09:06:35.000Z|29216|H1102|MIS|E|GERINTER QUIMPER||Temps plein||9|78||29216|
2021-03-11T01:37:10.000Z|29216|F1701|MIS|S|ADEQUAT INTERIM|Mensuel de 1555,00 Euros à 1650,00 Euros sur 12 mois|Temps plein||5|78|12680|29216|
2021-02-06T12:56:29.000Z|29216|F1610|CDI|E|Randstad||Temps plein||||13822|29216|
2020-12-05T06:46:40.000Z|29216|F1610|MIS|E|Randstad||Temps plein|||78|13822|29216|
2021-03-16T09:08:16.000Z|29216|H2914|MIS|E|GERINTER QUIMPER|Horaire de 11 Euros à 14 Euros sur 12 mois|Temps plein||3|78|20488|29216|
