dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-09T10:22:37.000Z|95306|M1607|MIS|S|RANDSTAD|Horaire de 10,25 Euros sur 12 mois|Temps plein||6|78|19364|95306|
2021-03-06T21:01:33.000Z|95306|N1103|MIS|E|Start People|Horaire de 10,25 Euros ï¿½ 10,50 Euros|Temps plein|||78|17993|95306|
2021-02-25T17:01:16.000Z|95306|D1401|MIS|E|||Temps plein|||78|11188|95306|
2021-02-15T14:48:31.000Z|95306|D1214|CDI|E|EQUIP'A|Mensuel de 2000,00 Euros à 2000,00 Euros sur 12 mois|Temps plein||5|46|20566|95306|
2021-02-12T14:37:28.000Z|95306|D1408|CDI|E|SAS ALLIANCE ECO|Horaire de 10,25 Euros sur 12 mois|Temps plein||5|35|20303|95306|
2021-03-15T15:16:40.000Z|95306|K1304|CDI|D|||Temps plein||||14771|95306|
2021-03-12T13:15:21.000Z|95306|D1212|CDI|D|TALENTPEOPLE|Annuel de 20000,00 Euros à 35000,00 Euros sur 12 mois|Temps plein||6|70|20523|95306|
2021-03-10T10:41:34.000Z|95306|D1402|CDI|D|RANDSTAD|Annuel de 18660,00 Euros sur 12 mois|Temps plein||6|78||95306|
2021-03-08T03:51:32.000Z|95306|M1203|CDI|E|Kolibri Consulting||Temps plein||||10871|95306|
2021-03-04T16:03:20.000Z|95306|K1304|CDI|E|Centre Services Enghien Les Bains|Horaire de 10,50 Euros|Temps partiel|||96|14771|95306|
2021-03-04T16:01:24.000Z|95306|K1304|CDI|E|OXIVIA Boissy|Horaire de 10,15 Euros|Temps partiel|||96|14771|95306|
2021-02-23T12:56:12.000Z|95306|D1212|CDI|S|Concepteur Vendeur||Temps plein||||20523|95306|
2021-02-22T13:20:17.000Z|95306|D1104|CDI|D|WINTRADE|Mensuel de 1600,00 Euros à 2000,00 Euros sur 12 mois|Temps plein||5|47|10885|95306|
2021-02-17T05:59:12.000Z|95306|K1207|CDI|D|||Temps plein||||16740|95306|
||||||||||||95306|
2021-02-02T12:08:36.000Z|95306|D1212|CDI|E|CUISINE PLUS|Mensuel de 1555,00 Euros sur 12 mois|Temps plein||6|47|20523|95306|
2021-01-16T17:20:21.000Z|95306|J1305|CDI|D|AMBULANCES LANGLOIS|Horaire de 11 Euros à 12 Euros sur 12 mois|Temps plein||3|86|10927|95306|
2021-03-16T02:53:43.000Z|95306|M1701|CDI|E|Adéquat Interim||Temps plein|||||95306|
2021-03-15T15:17:59.000Z|95306|G1502|CDI|E||Horaire de 10,66 Euros|Temps partiel||6|55||95306|
2021-03-15T05:14:48.000Z|95306|H1401|CDI|E|||Temps plein||7||15855|95306|
2021-03-12T16:29:46.000Z|95306|I1604|CDI|E|PARIS PONTOISE POIDS LOURDS||Temps plein||6|45||95306|
2021-03-12T03:54:31.000Z|95306|N1302|CDI|E|Groupe Synergie||Temps plein||7||14329|95306|
2021-03-12T02:55:29.000Z|95306|F1604|CDI|E|||Temps plein||||17917|95306|
2021-03-12T12:55:53.000Z|95306|K1302|CDI|E|||Temps plein||||11456|95306|
2021-03-12T12:44:29.000Z|95306|F1202|CDI|E|||Temps plein||||12090|95306|
2021-03-12T12:44:24.000Z|95306|F1202|CDI|E|||Temps plein||||12090|95306|
2021-03-12T12:44:21.000Z|95306|F1202|CDI|E|||Temps plein||||12090|95306|
2021-03-12T08:20:42.000Z|95306|I1604|CDI|E||Mensuel de 2000,00 Euros ï¿½ 2300,00 Euros|Temps plein|||49||95306|
2021-03-11T14:51:08.000Z|95306|K1302|CDI|E|FAMILLES-SERVICES|Horaire de 10,30 Euros à 10,73 Euros sur 12 mois|Temps plein||6|88|11453|95306|
2021-03-11T10:31:57.000Z|95306|D1210|CDI|E||Horaire de 10,25 Euros|Temps plein||5|47|20617|95306|
2021-03-11T11:29:24.000Z|95306|F1202|CDI|E|||Temps plein||||12090|95306|
2021-03-11T11:29:23.000Z|95306|F1202|CDI|E|||Temps plein||||12090|95306|
2021-03-11T11:29:20.000Z|95306|F1202|CDI|E|||Temps plein||||12090|95306|
2021-03-11T07:14:53.000Z|95306|I1309|MIS|D|Aquila Rh||Temps plein|||78|14680|95306|
2021-03-10T21:22:57.000Z|95306|A1416|MIS|E|CONNECTT PARIS|Horaire de 16,00 Euros à 17,00 Euros sur 12 mois|Temps plein||2|78|38880|95306|
2021-03-10T09:55:15.000Z|95306|H1404|CDI|E|Ergalis||Temps plein||||20194|95306|
2021-03-10T03:08:25.000Z|95306|H1210|CDI|D|||Temps plein||||20054|95306|
2021-03-10T03:07:52.000Z|95306|K1801|CDI|D|||Temps plein||||13474|95306|
2021-03-10T03:00:24.000Z|95306|D1401|CDI|E|||Temps plein||||12748|95306|
2021-03-09T16:21:14.000Z|95306|I1603|CDI|E|SAVIMAT|Annuel de 29700 Euros sur 13 mois|Temps plein||6|46||95306|
2021-03-09T11:15:09.000Z|95306|I1310|CDI|E|GROUPE  KILOUTOU|Annuel de 21000,00 Euros à 25000,00 Euros sur 12 mois|Temps plein||6|70||95306|
2021-03-09T05:51:08.000Z|95306|H2909|MIS|D|||Temps plein|||78|11175|95306|
2021-03-08T12:29:30.000Z|95306|K2110|CDD|D|DUO PERMIS|Mensuel de 1900 Euros à 2300 Euros sur 12 mois|Temps plein||6|85||95306|
2021-03-08T01:36:12.000Z|95306|H2909|CDI|S|ADEQUAT INTERIM|Mensuel de 2250 Euros à 2750 Euros sur 12 mois|Temps plein||7|78||95306|
