dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-02-16T14:59:06.000Z|56078|G1803|SAI|E|LA MOULE QUI SAOULE|Mensuel de 1923 Euros sur 12 mois|Temps plein||6|56|19427|56078|
2020-12-23T13:12:24.000Z|56078|H2402|MIS|D|Randstad||Temps plein|||78|17197|56078|
2021-03-16T11:24:59.000Z|56078|K1304|CDI|D|OASIS SERVICES||Temps partiel||||10805|56078|
2021-02-16T14:45:24.000Z|56078|G1602|SAI|E|LA MOULE QUI SAOULE|Mensuel de 1750,00 Euros sur 12 mois|Temps plein||5|56|12756|56078|
2021-03-11T11:59:25.000Z|56078|H2502|CDI|E|AXILONE PLASTIQUE|Mensuel de 1700,00 Euros à 1800,00 Euros sur 12 mois|Temps plein||4|22|12185|56078|
2021-03-09T16:31:18.000Z|56078|G1604|CDI|E|TY BEACH||Temps plein||6|56|17807|56078|
2021-03-07T04:59:34.000Z|56078|K1302|CDD|E|Espace & Vie|Horaire de 10,25 Euros ï¿½ 10,25 Euros|Temps plein||6||11453|56078|
2021-03-02T07:47:00.000Z|56078|H2903|CDI|E|Randstad|De 31000,00 Euros|Temps plein||||20383|56078|
2021-02-28T09:19:58.000Z|56078|K1303|CDI|E|BABYCHOU Lorient|Horaire de 10,25 Euros|Temps partiel|||||56078|
2021-02-26T15:41:23.000Z|56078|H2102|CDI|E|GRILLERO|Horaire de 10,25 Euros|Temps plein||6|10||56078|
2021-02-26T14:57:51.000Z|56078|H2102|CDI|D|||Temps plein|||||56078|
2021-02-23T14:39:36.000Z|56078|K1302|CDI|E|ASSAP CLARPA|Horaire de 10,72 Euros à 10,73 Euros sur 12 mois|Temps partiel||6|88|11453|56078|
2021-02-19T08:10:57.000Z|56078|H2901|CDI|E||Annuel de 30000,00 Euros|Temps plein||||16481|56078|
2021-02-17T08:55:49.000Z|56078|J1507|FRA|D|ELYSEE CONCEPT||Temps plein||9|70|18242|56078|
2021-02-16T15:04:06.000Z|56078|G1602|SAI|E|LA MOULE QUI SAOULE|Mensuel de 1800,00 Euros sur 12 mois|Temps plein||6|56|19354|56078|
2021-02-16T14:01:44.000Z|56078|D1102|CDI|E||Mensuel de 1990,00 Euros sur 12 mois|Temps plein||4|10|11573|56078|
2021-03-14T16:50:18.000Z|56078|N4103|CDI|E|Groupement Les Mousquetaires||Temps plein||||13307|56078|
2021-02-20T08:45:45.000Z|56078|C1504|LIB|D|||Temps plein||||10362|56078|
2021-02-17T03:56:58.000Z|56078|C1504|LIB|D|||Temps plein||||13464|56078|
2021-02-15T16:17:21.000Z|56078|C1504|LIB|D|||Temps plein||||10362|56078|
2021-02-05T12:05:54.000Z|56078|M1203|MIS|D|Randstad||Temps plein|||78|12786|56078|
2021-03-15T17:07:11.000Z|56078|F1608|CDI|D|||Temps plein||||11690|56078|
2021-03-03T16:24:53.000Z|56078|I1606|CDI|E|NEW RECRUTEMENT|Mensuel de 1800,00 Euros à 2500,00 Euros sur 12 mois|Temps plein||6|78|11701|56078|
2021-02-19T08:49:45.000Z|56078|J1506|CDD|D|MADAME MAGALI HEURDIER||Temps partiel||6|86|15553|56078|
2021-02-18T17:52:37.000Z|56078|I1304|CDI|D|RANDSTAD|Annuel de 30000,00 Euros sur 12 mois|Temps plein||6|78|19870|56078|
2020-11-23T12:59:08.000Z|56078|I1310|CDI|E|Randstad|De 28000,00 Euros|Temps plein||||16477|56078|
