dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-08T12:09:16.000Z|60103|M1606|MIS|E|IZIWORK|Horaire de 10,25 Euros sur 12 mois|Temps plein||6|78|17160|60103|
2021-03-01T16:40:36.000Z|60103|D1106|CDI|E|INTERMARCHE|Horaire de 10,25 Euros à 10,25 Euros sur 12 mois|Temps plein||1|47|20564|60103|
2021-01-28T11:33:48.000Z|60103|C1206|MIS|E|MANPOWER CONSEIL RECRUTEMENT||Temps plein||6|78|13387|60103|
2021-03-10T07:00:49.000Z|60103|N1101|CDD|D||Mensuel de 1540,00 Euros ï¿½ 1950,00 Euros|Temps plein|||47|11685|60103|
2021-03-09T10:43:07.000Z|60103|I1307|CDI|D|CJTECH|Mensuel de 1600,00 Euros à 2000,00 Euros sur 12 mois|Temps plein||6|43||60103|
2021-03-04T10:58:03.000Z|60103|K1302|CDI|E|Ak Soins et services à domicile||Temps partiel||6|88|11453|60103|
2021-03-01T14:25:34.000Z|60103|A1504|CDI|D|WIVETIX SERVICES|Mensuel de 2800 Euros à 4500 Euros sur 12 mois|Temps plein||9|46|20672|60103|
2021-02-16T07:52:06.000Z|60103|N1303|CDD|E|Groupe Fed||Temps plein||||12360|60103|
2021-03-15T16:36:40.000Z|60103|F1702|CDD|D|ENTREPRISE DEGAUCHY DIDIER|Horaire de 11,00 Euros à 12,00 Euros sur 12 mois|Temps plein||2|43|16257|60103|
2021-02-18T09:22:03.000Z|60103|D1403|CDI|D|PICARDIE RENOVATION|Annuel de 22000,00 Euros à 60000,00 Euros sur 12 mois|Temps plein||7|43|12738|60103|
2021-03-04T15:11:03.000Z|60103|N4101|CDI|D|ECO RECYCLING|Mensuel de 2500,00 Euros sur 12 mois|Temps plein||6|38|11989|60103|
2021-03-04T11:10:08.000Z|60103|N4101|MIS|E|Randstad||Temps plein|||78|13132|60103|
2021-03-03T15:51:36.000Z|60103|N4101|MIS|E|RANDSTAD|Mensuel de 2150 Euros sur 12 mois|Temps plein||3|78|13132|60103|
2021-02-22T13:39:41.000Z|60103|F1202|CDI|E|ENTREPRISE DEGAUCHY DIDIER||Temps plein||6|43|12093|60103|
2021-02-17T21:58:20.000Z|60103|F1302|CDI|E|Manpower Recrutement||Temps plein|||||60103|
