dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-10T15:21:28.000Z|44114|M1607|CDD|D|LOGODIN||Temps plein||6|43|11183|44114|
2021-03-10T13:56:11.000Z|44114|M1609|CDD|E|HOPITAL A DOMICILE DE NANTES ET REGION|Mensuel de 1755,00 Euros à 1755,00 Euros sur 12 mois|Temps plein||6|86|19397|44114|
2021-03-09T10:26:32.000Z|44114|D1214|CDD|E|LG|Horaire de 10,25 Euros à 10,25 Euros sur 12 mois|Temps partiel||5|18|20556|44114|
2021-03-09T10:24:10.000Z|44114|I1604|MIS|D|SAMSIC INTERIM NANTES|Horaire de 10,25 Euros sur 12 mois|Temps plein||5|78|18016|44114|
2021-03-09T10:19:51.000Z|44114|D1212|CDI|D|SAMSIC INTERIM NANTES|Horaire de 10,25 Euros sur 12 mois|Temps plein||5|78|20561|44114|
2021-03-09T09:22:33.000Z|44114|D1507|MIS|D|SAMSIC INTERIM NANTES|Horaire de 10,25 Euros sur 12 mois|Temps plein||5|78|14769|44114|
2021-03-09T06:10:51.000Z|44114|K1303|MIS|D|Appel Medical||Temps plein|||78|11180|44114|
2021-03-08T18:10:51.000Z|44114|D1205|CDI|D|PRESSING RPV|Mensuel de 1580,00 Euros sur 12 mois|Temps plein||6|96|14777|44114|
2021-03-08T17:57:57.000Z|44114|K1403|CDD|E|ADAR-SIEGE|Mensuel de 1975,00 Euros à 1975,00 Euros sur 12 mois|Temps plein||6|88||44114|
2021-03-06T13:17:53.000Z|44114|N1103|MIS|D|Randstad||Temps plein|||78|16287|44114|
2021-03-06T03:08:56.000Z|44114|N1103|CDD|D|||Temps plein||||10580|44114|
2021-03-05T16:57:43.000Z|44114|D1507|CDD|E|STOKOMANI|Mensuel de 1554,58 Euros à 1600,00 Euros sur 12 mois|Temps plein||6|47|14811|44114|
2021-03-02T15:10:48.000Z|44114|H2102|CDI|D|SAMSIC INTERIM NANTES|Horaire de 10,25 Euros à 10,25 Euros sur 12 mois|Temps plein||5|78||44114|
2021-03-02T15:03:55.000Z|44114|N1103|CDI|D|SAMSIC INTERIM NANTES|Horaire de 10,25 Euros à 10,25 Euros sur 12 mois|Temps plein||5|78|17993|44114|
2021-02-28T18:37:26.000Z|44114|G1203|CDI|E|AXEO SERVICES PARTICULIERS|Horaire de 10,44 Euros sur 12 mois|Temps partiel||8|88||44114|
2021-02-26T04:51:54.000Z|44114|D1408|CDD|D|||Temps plein||||13353|44114|
2021-02-23T19:33:44.000Z|44114|M1704|CDD|D||Mensuel de 500,00 Euros ï¿½ 1300,00 Euros|Temps plein|||35|38792|44114|
2021-02-23T12:55:31.000Z|44114|D1212|CDI|S|Concepteur Vendeur||Temps plein||||20523|44114|
2021-02-16T15:28:18.000Z|44114|D1401|CDD|E|TITI FLORIS|Horaire de 12,50 Euros à 13,00 Euros sur 12 mois|Temps plein||6|49||44114|
2021-02-16T11:01:51.000Z|44114|K1403|CDI|E|ADAR-SIEGE|Mensuel de 1975,00 Euros à 1975,00 Euros sur 12 mois|Temps plein||6|88||44114|
2021-02-12T16:37:02.000Z|44114|D1212|CDD|E|STOZZI||Temps partiel||6|46|20523|44114|
2021-01-26T12:25:56.000Z|44114|D1212|CDD|D|ALTERNANCE PAYS DE LOIRE|Mensuel de 1500,00 Euros sur 12 mois|Temps plein||6|85|20604|44114|
2021-03-16T11:19:12.000Z|44114|K1304|CDI|D|Petits-Fils Nantes Orvault||Temps plein|||88|10805|44114|
2021-03-16T09:45:05.000Z|44114|K1304|CDI|E|MENAGE ET COMPAGNIE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||5|96|10857|44114|
2021-03-15T11:32:08.000Z|44114|K1304|CDI|D|ASSOCIATION COLOCATION SENIORS SERVICES|Horaire de 10,25 Euros sur 12 mois|Temps partiel||6|94|10805|44114|
2021-03-15T11:15:07.000Z|44114|K1304|CDI|D|ATLANTIC-ASSISTANCE|Horaire de 10,25 Euros à 11,25 Euros sur 12 mois|Temps partiel||5|88|10857|44114|
2021-03-12T15:50:05.000Z|44114|F1704|CDI|D|FONDASOL|Mensuel de 1700,00 Euros à 1800,00 Euros sur 12 mois|Temps plein||1|71|16357|44114|
2021-03-11T13:46:55.000Z|44114|K1304|CDI|E|ONELA Nantes||Temps plein||||10805|44114|
2021-03-10T19:39:24.000Z|44114|I1203|CDI|D|ORTEC ENVIRONNEMENT|Annuel de 20000,00 Euros à 25000,00 Euros sur 13 mois|Temps plein||2|37||44114|
2021-03-10T16:30:05.000Z|44114|K2301|CDI|D|ORTEC ENVIRONNEMENT|Annuel de 22000,00 Euros à 25000,00 Euros sur 13 mois|Temps plein||2|37||44114|
2021-03-10T09:01:43.000Z|44114|M1101|CDD|E|Randstad||Temps plein||7||10242|44114|
2021-03-09T17:20:32.000Z|44114|N4103|CDI|D|TRANSPORTS BRODU||Temps plein||4|49|12898|44114|
2021-03-09T06:04:20.000Z|44114|K1202|MIS|D|Appel Medical||Temps plein|||78|14586|44114|
2021-03-08T13:42:52.000Z|44114|K1201|CDD|E|SERVICE SOC INTERENTR OUEST|Mensuel de 2000,00 Euros à 2080,00 Euros sur 12 mois|Temps plein||6|88|11338|44114|
2021-03-07T21:04:38.000Z|44114|D1401|CDI|E|||Temps plein||||12748|44114|
2021-03-05T10:21:36.000Z|44114|N1103|MIS|E|RANDSTAD LOGISTIQUE|Horaire de 11,25 Euros sur 12 mois|Temps plein||3|78|16277|44114|
2021-03-03T18:09:33.000Z|44114|D1401|CDI|S|TEMPORIS||Temps plein||||11210|44114|
2021-03-02T16:36:41.000Z|44114|K1304|CDI|D|AXEO SERVICES PARTICULIERS|Horaire de 10,25 Euros sur 12 mois|Temps plein||6|88|10857|44114|
2021-02-28T17:52:49.000Z|44114|A1203|CDI|E|AXEO SERVICES PARTICULIERS|Mensuel de 1700,00 Euros à 1950,00 Euros sur 12 mois|Temps plein||6|88|16069|44114|
2021-02-24T21:05:30.000Z|44114|D1504|CDI|E|INTERSPORT||Temps plein|||||44114|
2021-02-20T16:59:01.000Z|44114|D1401|CDI|D|||Temps plein||||12748|44114|
2021-02-19T11:09:34.000Z|44114|F1606|MIS|E|Start People|Horaire de 10,50 Euros ï¿½ 10,80 Euros|Temps plein|||78|17617|44114|
