dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-09T17:18:50.000Z|86281|K1303|CDD|E|LES PTITS PITRES|Mensuel de 720,00 Euros à 750,00 Euros sur 12 mois|Temps partiel||6|94|11180|86281|
2021-03-07T03:08:20.000Z|86281|K2107|CDD|E|Anacours Vienne||Temps plein||||38345|86281|
2021-03-05T10:31:00.000Z|86281|K2107|CDD|D|ANACOURS|Horaire de 19 Euros à 20 Euros sur 12 mois|Temps partiel||8|85|38345|86281|
2021-03-02T11:35:05.000Z|86281|J1501|CDD|D|EHPAD RESIDENCE LA FONTAINE||Temps plein||6|87|10891|86281|
2021-03-02T11:32:48.000Z|86281|J1501|CDD|D|EHPAD RESIDENCE LA FONTAINE||Temps plein||6|87|10891|86281|
2021-03-08T10:05:45.000Z|86281|F1607|MIS|E|FUTUR EMPLOI|Horaire de 10,25 Euros à 11,50 Euros sur 12 mois|Temps plein||3|78|16625|86281|
2021-03-02T11:29:18.000Z|86281|J1102|CDD|D|EHPAD RESIDENCE LA FONTAINE||Temps partiel||9|87|16567|86281|
