dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-02-17T10:49:57.000Z|2B123|D1507|CDI|D|SPAR GHISONACCIA|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||5|70|14769|2B123|
2021-02-04T11:59:49.000Z|2B123|J1307|CDI|E||De 900,00 Euros ï¿½ 1524,00 Euros|Temps plein|||47|10888|2B123|
2021-03-15T14:38:07.000Z|2B123|K2110|CDI|D|AUTO ECOLE S'TOP PERMIS|Mensuel de 1665 Euros à 1920 Euros sur 12 mois|Temps plein||6|85||2B123|
2021-03-15T12:13:46.000Z|2B123|G1602|SAI|D|L AVENUE|Mensuel de 1555,00 Euros sur 12 mois|Temps plein||6|56|12756|2B123|
2021-03-12T14:52:47.000Z|2B123|G1803|SAI|D|L'AVENUE|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||5|56|19427|2B123|
2021-03-10T08:47:53.000Z|2B123|F1703|CDD|D|BATI-CO-RE|Mensuel de 1600,00 Euros à 2000,00 Euros sur 12 mois|Temps plein||1|43|16267|2B123|
2021-02-19T17:18:48.000Z|2B123|K2302|CDI|E|COMMUNAUTE DE COMMUNES DE FIUM'ORBU CAST|Mensuel de 2066,00 Euros sur 12 mois|Temps plein||9|84|18688|2B123|
2021-02-18T09:53:16.000Z|2B123|J1202|CDI|E|||Temps plein||||17676|2B123|
2021-02-17T10:54:47.000Z|2B123|D1507|CDI|E|SPAR GHISONACCIA|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|70|38118|2B123|
2021-02-17T10:48:22.000Z|2B123|D1507|CDI|E|SPAR GHISONACCIA|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|70|38117|2B123|
2021-02-17T10:46:17.000Z|2B123|D1301|CDI|E|SPAR GHISONACCIA|Annuel de 24000,00 Euros sur 12 mois|Temps plein||8|70|18781|2B123|
2021-01-29T11:32:22.000Z|2B123|A1504|CDD|E|VASSEUR DOROTHEE||Temps partiel||6|75|20672|2B123|
2021-01-06T17:48:14.000Z|2B123|F1106|CDI|E|CORSE RECRUTEMENT|Mensuel de 2600,00 Euros|Temps plein||9|70||2B123|
2021-03-10T17:05:31.000Z|2B123|F1604|CDD|E|A.H. SERVICES|Mensuel de 2200 Euros sur 12 mois|Temps plein||3|43|17821|2B123|
2021-02-25T06:52:31.000Z|2B123|C1504|LIB|D|||Temps plein||||13464|2B123|
