dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-15T07:13:09.000Z|93027|N1103|MIS|D|Mistertemp'||Temps plein|||78|17993|93027|
2021-03-12T13:01:31.000Z|93027|J1303|CDI|E|||Temps plein||||11265|93027|
2021-03-11T11:51:27.000Z|93027|M1607|CDI|E|R.a.s. Intérim||Temps plein||||11183|93027|
2021-03-08T17:40:47.000Z|93027|K1201|CDI|E|AMICALE DU NID|Mensuel de 1660,00 Euros à 2436,00 Euros sur 12 mois|Temps plein||6|87|11253|93027|
2021-03-04T11:09:33.000Z|93027|M1602|MIS|E|Randstad||Temps plein|||78|10349|93027|
2021-03-02T17:50:13.000Z|93027|M1609|CDI|E|Page Personnel Santé||Temps plein||||19397|93027|
2021-03-01T11:17:00.000Z|93027|D1212|CDI|D|Groupe Saint Gobain|Mensuel de 1600,00 Euros à 1750,00 Euros sur 12 mois|Temps plein||6|46|20561|93027|
2021-02-24T10:14:43.000Z|93027|D1212|CDI|D|Groupe Saint Gobain|Mensuel de 1600,00 Euros à 1750,00 Euros sur 12 mois|Temps plein||6|46|20561|93027|
2021-02-20T15:01:30.000Z|93027|D1401|MIS|D|||Temps plein|||78|11210|93027|
2021-02-19T15:35:18.000Z|93027|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14847|93027|
||||||||||||93027|
2021-03-15T21:51:34.000Z|93027|J1307|CDI|D||De 1732,00 Euros ï¿½ 2217,00 Euros|Temps plein|||47||93027|
2021-03-15T16:37:22.000Z|93027|J1307|CDI|D|||Temps plein||||18027|93027|
2021-03-15T15:18:28.000Z|93027|I1203|MIS|E||Annuel de 30000,00 Euros ï¿½ 35000,00 Euros|Temps plein|||78|20217|93027|
2021-03-15T05:14:21.000Z|93027|C1206|CDI|E|||Temps plein||7||13387|93027|
2021-03-11T11:50:52.000Z|93027|N1303|CDI|E|||Temps plein||||11097|93027|
2021-03-11T09:39:29.000Z|93027|M1203|MIS|E|Randstad||Temps plein|||78|11234|93027|
2021-03-09T14:43:56.000Z|93027|K1403|CDD|E|MAIRIE LA COURNEUVE||Temps plein||6|84||93027|
2021-03-07T21:04:45.000Z|93027|D1401|CDI|E|||Temps plein||||12748|93027|
2021-03-05T17:14:42.000Z|93027|D1401|CDI|E|IDEAL SOURCING|Mensuel de 2000,00 Euros à 2100,00 Euros sur 12 mois|Temps plein||6|70|11188|93027|
2021-03-02T17:48:27.000Z|93027|N1303|CDI|E|||Temps plein||||11097|93027|
2021-02-26T13:05:48.000Z|93027|M1203|CDI|E|||Temps plein||||11213|93027|
2021-02-26T13:04:51.000Z|93027|M1203|CDI|E|||Temps plein||||11213|93027|
2021-02-23T06:01:28.000Z|93027|N1303|CDI|E|||Temps plein||||11097|93027|
2021-02-15T13:59:27.000Z|93027|J1307|CDI|D||De 1939,00 Euros ï¿½ 2424,00 Euros|Temps plein|||47||93027|
2020-11-19T17:55:59.000Z|93027|K2601|CDI|E|ENTREPRISE GOLD MARBRERIE|Mensuel de 1555,00 Euros à 1840,00 Euros|Temps plein||6|96|11995|93027|
2021-03-16T11:33:34.000Z|93027|K1301|CDI|E|AUXI'LIFE 93||Temps plein|||88|10856|93027|
2021-03-15T21:52:45.000Z|93027|J1407|CDI|E|||Temps plein||||17370|93027|
2021-03-15T21:51:48.000Z|93027|H1206|CDI|E|Michael Page Ingénieurs||Temps plein|||||93027|
2021-03-15T21:11:25.000Z|93027|D1101|CDI|E|||Temps plein||||11564|93027|
2021-03-15T20:58:41.000Z|93027|A1303|CDI|E|||Temps plein|||||93027|
2021-03-15T20:55:41.000Z|93027|J1102|CDI|E|Santech La Clinique||Temps plein||||12625|93027|
2021-03-15T20:50:12.000Z|93027|J1102|CDI|E|||Temps plein||||14825|93027|
2021-03-15T20:49:12.000Z|93027|I1304|CDI|E|||Temps plein|||||93027|
2021-03-15T20:48:34.000Z|93027|J1102|CDI|E|||Temps plein||||16987|93027|
2021-03-15T20:48:12.000Z|93027|J1102|CDI|E|||Temps plein||||14825|93027|
2021-03-15T20:42:22.000Z|93027|I1604|CDI|E|Ergalis||Temps plein||||16528|93027|
2021-03-15T17:57:27.000Z|93027|N1303|CDI|E|GROUPE SOVITRAT|Mensuel de 2200,00 Euros à 2800,00 Euros sur 12 mois|Temps plein||5|78|20189|93027|
2021-03-15T15:13:02.000Z|93027|M1805|CDD|E|Partnaire Paris Tertiaire||Temps plein||||15823|93027|
2021-03-15T11:33:48.000Z|93027|H2502|CDI|E|GROUPE SOVITRAT|Mensuel de 2000,00 Euros à 2500,00 Euros sur 12 mois|Temps plein||6|78||93027|
2021-03-15T09:30:40.000Z|93027|M1605|CDI|D|||Temps plein||||11204|93027|
2021-03-15T09:25:29.000Z|93027|K2502|CDI|D|||Temps plein||||19174|93027|
2021-03-15T08:59:11.000Z|93027|D1407|CDI|E|RABONI|Mensuel de 2200,00 Euros à 2500,00 Euros sur 12 mois|Temps plein||8|46|11402|93027|
2021-03-15T05:10:02.000Z|93027|M1503|CDI|E|||Temps plein||8||18942|93027|
2021-03-14T16:43:11.000Z|93027|M1805|CDI|E|Paprec||Temps plein|||||93027|
2021-03-12T02:59:07.000Z|93027|H1101|CDI|D|||Temps plein||||20276|93027|
2021-03-12T13:50:36.000Z|93027|J1301|CDI|E|||Temps plein||||10611|93027|
2021-03-12T12:56:47.000Z|93027|M1805|CDI|E|||Temps plein||||38095|93027|
2021-03-12T12:55:59.000Z|93027|M1402|CDI|E|||Temps plein||||12242|93027|
2021-03-12T12:54:14.000Z|93027|G1204|CDI|E|||Temps plein||||11067|93027|
