dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-16T11:17:46.000Z|54498|K1304|CDI|D|Domicile clean Nancy|Horaire de 10,25 Euros|Temps plein|||88|14771|54498|
2021-03-10T11:24:00.000Z|54498|M1203|CDI|E|Kolibri Consulting||Temps plein||||12786|54498|
2021-03-10T10:09:34.000Z|54498|M1203|CDI|E|Kolibri Consulting||Temps plein||||12786|54498|
2021-03-10T10:09:29.000Z|54498|M1203|CDI|E|Kolibri Consulting||Temps plein||||11213|54498|
2021-03-11T09:57:38.000Z|54498|K2503|CDD|D|MK SECURITE|Horaire de 10,59 Euros|Temps plein||6|80|10370|54498|
2021-01-14T11:02:20.000Z|54498|K1302|CDD|E|ADAPA|Horaire de 10,25 Euros à 10,25 Euros sur 12 mois|Temps partiel||5|88|11459|54498|
2021-03-09T18:02:11.000Z|54498|J1506|CDI|D|LES ELIEUX||Temps plein||7|86|15544|54498|
