dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-02-05T23:33:38.000Z|97121|J1304|CDD|E|ASSOCIATION NAITRE ET GRANDIR|Horaire de 10,51 Euros sur 12 mois|Temps plein||6|70|11448|97121|
2021-03-15T21:54:38.000Z|97121|H2206|CDD|D||Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|43|16611|97121|
