dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-03T10:09:40.000Z|2B042|N4105|CDD|E|TRANSPORT CAPOROSSI|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||5|49|11999|2B042|
2021-02-26T08:17:38.000Z|2B042|D1212|CDD|E|DIFFUSION ELECTRIQUE CORSE|Mensuel de 1800 Euros sur 12 mois|Temps plein||6|46|20561|2B042|
2021-02-08T14:19:24.000Z|2B042|K2111|CDD|D|CENTRE FORMATION PROF PROMO AGRICOLE|Annuel de 22000 Euros à 22000 Euros sur 12 mois|Temps plein||6|85|15123|2B042|
2021-03-11T10:50:14.000Z|2B042|K1301|CDI|E|STRADA VECCHIA|Mensuel de 1348,00 Euros sur 12 mois|Temps partiel||6|87|10856|2B042|
2021-03-09T14:17:51.000Z|2B042|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2B042|
2021-03-05T09:30:15.000Z|2B042|M1205|CDI|E|CORSE RECRUTEMENT||Temps plein||9|70||2B042|
2021-02-26T17:59:00.000Z|2B042|A1203|CDD|D|CORSE PAYSAGE|Mensuel de 1565,00 Euros|Temps plein||1|81|16067|2B042|
2021-02-05T11:59:17.000Z|2B042|N1103|CDD|E|ETTI DE LA CORSE|Horaire de 10,25 Euros à 11,00 Euros sur 12 mois|Temps plein||6|78|16277|2B042|
2021-03-15T11:35:44.000Z|2B042|G1602|CDD|E|C F T|Mensuel de 2100,00 Euros à 2500,00 Euros sur 12 mois|Temps plein||6|82|19354|2B042|
2021-03-11T14:38:40.000Z|2B042|D1403|CDI|E|CORSE RECRUTEMENT||Temps plein||6|70|12738|2B042|
2021-03-10T16:01:29.000Z|2B042|N4103|CDD|D|BORGO VOYAGES|Mensuel de 2180 Euros sur 12 mois|Temps plein||6|49|12896|2B042|
2021-03-09T10:55:27.000Z|2B042|I1301|CDI|E||Mensuel de 1800,00 Euros à 2000,00 Euros sur 12 mois|Temps plein||7|25||2B042|
2021-03-09T10:32:00.000Z|2B042|M1203|CDI|E|||Temps plein||6|43|12801|2B042|
2021-03-08T11:00:41.000Z|2B042|I1203|CDD|E|DIAN' ARTE MUSEUM |Mensuel de 1554,58 Euros sur 12 mois|Temps plein||5|90|15058|2B042|
2021-03-08T09:11:05.000Z|2B042|F1605|CDI|E|CORSICA RETE TECHNOLOGIE|Mensuel de 1930,00 Euros|Temps plein||7|42|38136|2B042|
2021-03-05T11:13:55.000Z|2B042|I1606|CDI|D|SARL BORGO CARROSSERIE|Mensuel de 1923,08 Euros|Temps plein||3|45|17621|2B042|
2021-03-04T16:00:28.000Z|2B042|F1703|CDI|E|TPBAT|Mensuel de 2700 Euros à 3100 Euros sur 12 mois|Temps plein||3|43||2B042|
2021-03-04T15:16:52.000Z|2B042|K2301|CDD|D|CORSE PAYSAGE|Mensuel de 1555,00 Euros sur 12 mois|Temps plein||6|81||2B042|
2021-03-04T11:46:51.000Z|2B042|C1206|CCE|E|||Temps plein||6|66|38957|2B042|
2021-03-04T10:13:17.000Z|2B042|K1304|CDD|D|ASSOCIATION ADMR DE LA MARANA|Mensuel de 1066,00 Euros sur 12 mois|Temps partiel||5|88|10805|2B042|
2021-03-02T20:04:19.000Z|2B042|F1605|CDI|D|BA HAMMOU & FILS|Mensuel de 1950,00 Euros à 2050,00 Euros sur 12 mois|Temps plein||1|43|38136|2B042|
2021-02-25T15:22:07.000Z|2B042|N4105|MIS|D|EUREKA|Horaire de 10,25 Euros|Temps plein||2|78|12001|2B042|
2021-02-25T14:25:21.000Z|2B042|E1205|CDD|E|STORES INDUSTRIE SERVICES|Mensuel de 1750,00 Euros à 2200,00 Euros sur 12 mois|Temps plein||6|13|38714|2B042|
2021-02-25T13:04:11.000Z|2B042|I1308|CDI|E|||Temps plein||||19837|2B042|
2021-02-25T06:00:50.000Z|2B042|C1504|LIB|D|||Temps plein||||16963|2B042|
2021-02-22T15:00:27.000Z|2B042|N4103|CDD|D|BORGO VOYAGES|Mensuel de 1900 Euros sur 12 mois|Temps plein||6|49|13157|2B042|
2021-02-18T15:36:16.000Z|2B042|F1201|CDI|E|ORF CONSEIL|Mensuel de 3500 Euros à 4600 Euros sur 12 mois|Temps plein||8|78|13214|2B042|
2021-02-18T14:52:53.000Z|2B042|F1108|CDI|D|C.C.B.T.P|Mensuel de 1600 Euros sur 12 mois|Temps plein||6|43|16652|2B042|
2021-02-18T10:59:07.000Z|2B042|D1213|CDD|E||Mensuel de 1556,00 Euros sur 12 mois|Temps plein||6|46|20517|2B042|
2021-01-28T09:28:44.000Z|2B042|F1606|CDD|E|||Temps plein||3|43||2B042|
2021-01-28T05:46:17.000Z|2B042|F1603|CDI|E|||Temps plein||7||11981|2B042|
2021-02-18T14:41:03.000Z|2B042|F1703|CDI|E|C.C.B.T.P|Mensuel de 2000 Euros sur 12 mois|Temps plein||4|43|16250|2B042|
2021-02-18T14:35:58.000Z|2B042|F1704|CDI|D|C.C.B.T.P|Mensuel de 1600,00 Euros sur 12 mois|Temps plein||1|43|16352|2B042|
2021-01-15T08:57:02.000Z|2B042|I1307|CDI|E|TECHNIC ALARM||Temps plein||4|43||2B042|
2021-03-12T10:07:56.000Z|2B042|J1506|CDI|D|SOCIETE NOUVELLE REAL||Temps plein||6|87|38222|2B042|
2021-03-11T16:35:14.000Z|2B042|I1603|CDD|E||Mensuel de 1554,58 Euros sur 12 mois|Temps plein||4|45|16445|2B042|
2021-03-11T15:49:16.000Z|2B042|I1606|CDD|E||Mensuel de 1554,58 Euros sur 12 mois|Temps plein||4|45|11701|2B042|
2021-03-11T11:54:12.000Z|2B042|G1602|CDI|E|||Temps plein||6|56|12196|2B042|
2021-03-08T10:06:02.000Z|2B042|N4101|CDI|D|SOC ENTREPOSAGE TRANSPORT DE MARCHANDI||Temps plein||6|49|11989|2B042|
2021-03-05T12:27:10.000Z|2B042|I1606|CDI|D|SARL BORGO CARROSSERIE|Mensuel de 1924,00 Euros sur 12 mois|Temps plein||3|45|11701|2B042|
2021-03-04T03:04:26.000Z|2B042|C1504|LIB|D|||Temps plein||||13464|2B042|
2021-03-03T03:57:54.000Z|2B042|C1504|LIB|D|||Temps plein||||13464|2B042|
2021-03-01T15:06:07.000Z|2B042|I1606|CDI|E|MACB|Mensuel de 1800 Euros à 2200 Euros sur 13 mois|Temps plein||3|70|11701|2B042|
2021-02-25T06:52:55.000Z|2B042|C1504|LIB|D|||Temps plein||||13464|2B042|
