dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-02-24T09:13:41.000Z|31022|K1303|CDD|E|MAIRIE AUCAMVILLE|Horaire de 10,25 Euros|Temps partiel||6|84|38633|31022|
2021-02-19T11:50:08.000Z|31022|K2204|CDD|E|ONET SERVICES|Horaire de 10,44 Euros|Temps plein||5|81|10571|31022|
2021-02-11T18:13:17.000Z|31022|D1401|CDD|E|SOMEPOSE|Mensuel de 1800 Euros à 2000 Euros sur 12 mois|Temps plein||6|43|11188|31022|
2021-03-15T16:01:36.000Z|31022|M1203|CDD|E||Horaire de 10,25 Euros|Temps partiel||6|78|10871|31022|
2021-03-10T06:46:54.000Z|31022|K2204|CDI|E|||Temps plein||||16971|31022|
2021-03-04T14:19:36.000Z|31022|G1203|CDD|D|MAIRIE AUCAMVILLE|Horaire de 10,25 Euros sur 12 mois|Temps partiel||5|84||31022|
2021-02-26T10:34:39.000Z|31022|C1504|CDI|D|BOURSE DE L'IMMOBILIER|Mensuel de 1655,00 Euros à 1655,00 Euros sur 12 mois|Temps plein||5|68|16967|31022|
2021-03-16T11:32:21.000Z|31022|G1603|CDI|E|Marie Blachère||Temps plein|||||31022|
2021-03-15T15:20:11.000Z|31022|D1503|CDI|E|||Temps plein||||12275|31022|
2021-03-05T14:10:47.000Z|31022|F1201|CDI|E|INTERIM 31 SUD||Temps plein||4||12381|31022|
2021-03-05T11:07:23.000Z|31022|F1610|MIS|D|STAFFMATCH|Horaire de 10,25 Euros à 10,30 Euros sur 12 mois|Temps plein||1|78|38499|31022|
2021-03-05T06:02:24.000Z|31022|H3401|CDI|D|Aquila Rh||Temps plein||||15426|31022|
2021-03-01T16:29:56.000Z|31022|D1407|CDI|E|CREATIONS CLAUDE NAURA||Temps plein||6|31|20291|31022|
2021-02-23T11:36:26.000Z|31022|N1101|MIS|E|ATI TOULOUSE SERRES|Horaire de 10,50 Euros à 11,50 Euros sur 12 mois|Temps plein||2|78||31022|
2021-02-20T08:51:02.000Z|31022|C1504|CDI|D|||Temps plein||||13464|31022|
2021-02-09T12:26:26.000Z|31022|I1304|MIS|E|48085055100015||Temps plein||4|78||31022|
2021-01-19T14:22:55.000Z|31022|J1304|CDD|E|||Temps plein||6|84|11448|31022|
2020-09-15T15:05:58.000Z|31022|F1501|MIS|E|INTERIM31||Temps plein||3|78|11965|31022|
2021-03-12T02:56:45.000Z|31022|N4101|CDI|D|||Temps plein||||13132|31022|
2021-03-04T17:07:45.000Z|31022|F1703|MIS|E|Réseau Alliance|Horaire de 12,00 Euros ï¿½ 14,00 Euros|Temps plein||5|78|16250|31022|
2021-02-25T18:30:59.000Z|31022|D1202|MIS|E|Reseau Alliance|Horaire de 10,25 Euros ï¿½ 12,00 Euros|Temps plein||6|78|12688|31022|
2021-02-10T11:36:18.000Z|31022|F1607|CDD|E|ALU DESIGNS||Temps plein||6|43|16638|31022|
2021-02-08T11:23:43.000Z|31022|D1202|CDD|E|STEPHY COIFFURE||Temps plein||4|96|12688|31022|
2021-02-01T05:04:44.000Z|31022|H2206|MIS|E|INTERIM 31 NORD||Temps plein||6|78|16613|31022|
2021-02-01T05:04:43.000Z|31022|F1703|MIS|E|INTERIM 31 NORD||Temps plein||6|78|16250|31022|
2021-03-16T09:22:43.000Z|31022|F1607|MIS|E|WELLJOB|Horaire de 12,06 Euros à 13,01 Euros sur 12 mois|Temps plein||4|78|16612|31022|
2021-03-05T13:28:02.000Z|31022|K1303|CDD|E|Kinougarde Toulouse|Horaire de 10,25 Euros|Temps plein|||||31022|
2021-02-25T12:53:50.000Z|31022|K1303|CDD|D|||Temps plein|||||31022|
2021-02-08T04:49:30.000Z|31022|K1303|CDD|D|Particulier Employeur||Temps plein|||97||31022|
2021-01-21T12:10:49.000Z|31022|H2206|CDI|E|SOMEPOSE|Mensuel de 2100 Euros à 2450 Euros sur 12 mois|Temps plein||4|43||31022|
