dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-02-10T16:16:39.000Z|2A247|G1605|SAI|E|HOTEL BELVEDERE ****|Mensuel de 2051,28 Euros sur 12 mois|Temps plein||3|56|17846|2A247|
2021-02-10T14:40:12.000Z|2A247|G1501|SAI|E||Mensuel de 1859,00 Euros sur 12 mois|Temps plein||6|55|20500|2A247|
2021-02-08T19:57:01.000Z|2A247|G1501|CDD|E|CHIAR DI LUNA|Mensuel de 1800,00 Euros à 2200,00 Euros sur 12 mois|Temps plein||5|68||2A247|
2021-02-05T15:41:54.000Z|2A247|G1501|SAI|E|Hôtel Les Roches Blanches|Mensuel de 1859,00 Euros|Temps plein||6|55|20500|2A247|
2021-02-05T10:03:05.000Z|2A247|G1501|CDD|E|HOTEL SHEGARA||Temps plein||5|55|20500|2A247|
2021-02-05T09:56:36.000Z|2A247|I1203|SAI|E|HOTEL SHEGARA|Mensuel de 1800,00 Euros sur 12 mois|Temps plein||3|55|15058|2A247|
2021-01-29T11:55:10.000Z|2A247|G1501|CDD|D|HOTEL ROC E FIORI ****|Mensuel de 1830,00 Euros à 1850,00 Euros sur 12 mois|Temps plein||5|55|20500|2A247|
2021-01-28T14:38:01.000Z|2A247|G1501|CDD|E|SARL VILLA VIP|Mensuel de 2250,00 Euros à 2251,00 Euros sur 12 mois|Temps plein||5|81|20500|2A247|
2021-01-27T15:14:02.000Z|2A247|K2501|SAI|D|GOLFO DI SOGNO **** 105 BUNGALOWS|Mensuel de 1818,60 Euros sur 12 mois|Temps plein||5|55|15212|2A247|
2021-01-26T06:47:54.000Z|2A247|G1503|CDD|E|||Temps plein||||15388|2A247|
2021-01-19T15:37:37.000Z|2A247|J1303|CDI|E||Mensuel de 1920,00 Euros sur 12 mois|Temps plein||6|86|11265|2A247|
2021-01-15T15:35:45.000Z|2A247|A1203|CDI|D|BARCELO JEAN-FRANCOIS||Temps plein||3|81|17480|2A247|
2021-01-15T12:53:42.000Z|2A247|I1203|CDI|D||Mensuel de 1750 Euros|Temps plein||3|37|15058|2A247|
2021-01-15T10:36:36.000Z|2A247|N1103|CDD|E|DIELCO|Mensuel de 1800,00 Euros sur 12 mois|Temps plein||6|46|16290|2A247|
2020-12-04T15:45:29.000Z|2A247|N1105|CDI|E|SARL CORSIL|Mensuel de 2051,28 Euros à 2307,69 Euros sur 12 mois|Temps plein||2|77|16361|2A247|
2020-12-04T14:23:41.000Z|2A247|N1103|CDI|E|SARL CORSIL|Mensuel de 2080,00 Euros à 2307,69 Euros sur 12 mois|Temps plein||6|77|16276|2A247|
2020-11-18T10:44:31.000Z|2A247|D1507|CDD|D|Chambre de Métiers et de l'Artisanat|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|94|14769|2A247|
2020-10-16T08:56:40.000Z|2A247|D1507|CDD|D|Chambre de Métiers et de l'Artisanat|Mensuel de 1554,58 Euros|Temps plein||2|94|14769|2A247|
2020-10-16T08:35:22.000Z|2A247|N1103|CDD|D|Chambre de Métiers et de l'Artisanat|Mensuel de 1554,58 Euros|Temps plein||2|94|16290|2A247|
2020-10-13T09:16:08.000Z|2A247|A1203|CDD|D|Chambre de Métiers et de l'Artisanat|Mensuel de 1554,58 Euros|Temps plein||2|94|16067|2A247|
2020-10-13T09:00:14.000Z|2A247|M1607|CDD|D|Chambre des Métiers et de l'Artisanat|Mensuel de 1554,58 Euros|Temps plein||6|94|19364|2A247|
2021-03-16T09:21:01.000Z|2A247|G1803|SAI|E|Golden Tulip Porto-Vecchio|Mensuel de 1733,00 Euros à 1733,00 Euros sur 12 mois|Temps plein||6|55|19430|2A247|
2021-03-15T14:07:47.000Z|2A247|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2A247|
2021-03-15T09:44:05.000Z|2A247|G1803|SAI|E|||Temps plein||6|55|19430|2A247|
2021-03-15T09:38:20.000Z|2A247|G1802|SAI|E|||Temps plein||6|55|18850|2A247|
2021-03-12T16:40:30.000Z|2A247|D1212|CDI|E|WIZBII|Mensuel de 1800,00 Euros à 3000,00 Euros sur 12 mois|Temps plein||6|62|20523|2A247|
2021-03-12T11:13:04.000Z|2A247|G1602|SAI|E|L'HOTELIERE DU SUD|Mensuel de 1733,00 Euros à 1733,00 Euros sur 12 mois|Temps plein||6|55|12756|2A247|
2021-03-12T10:19:55.000Z|2A247|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2A247|
2021-03-11T09:53:24.000Z|2A247|G1602|CDI|E|GUEST BURGER|Mensuel de 1923,00 Euros sur 12 mois|Temps plein||6|56|12756|2A247|
2021-03-10T16:19:51.000Z|2A247|N1105|CDD|D|TOUSSAINT ASSAINISSEMENT|Mensuel de 1732,25 Euros sur 12 mois|Temps plein||5|37|16355|2A247|
2021-03-10T12:32:38.000Z|2A247|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2A247|
2021-03-09T17:51:34.000Z|2A247|G1803|SAI|E|CAMPING LAVETTA|Mensuel de 1780,00 Euros sur 12 mois|Temps plein||6|55|19427|2A247|
2021-03-09T14:15:46.000Z|2A247|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2A247|
2021-03-09T11:30:36.000Z|2A247|F1704|CDI|D|AMENGUAL SARL|Mensuel de 2078 Euros sur 12 mois|Temps plein||3|43|16352|2A247|
2021-03-08T09:06:04.000Z|2A247|F1605|CDI|E|CORSICA RETE TECHNOLOGIE|Mensuel de 1930,00 Euros|Temps plein||7|42|38136|2A247|
2021-03-07T20:55:41.000Z|2A247|G1602|CDD|E|SELECTION|Mensuel de 2200 Euros à 2300 Euros sur 12 mois|Temps plein||6|70|12756|2A247|
2021-03-05T09:42:24.000Z|2A247|A1203|CDD|E|COTE JARDIN|Mensuel de 1333,00 Euros à 2000,00 Euros sur 12 mois|Temps partiel||2|81|17515|2A247|
2021-03-02T17:51:43.000Z|2A247|F1704|CDI|D|ETANCHEITE DU GOLFE|Mensuel de 1775,00 Euros à 1800,00 Euros sur 12 mois|Temps plein||1|43|16352|2A247|
2021-03-01T15:24:30.000Z|2A247|D1212|CDD|E||Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|46||2A247|
2021-03-01T10:35:21.000Z|2A247|D1403|CCE|D|MOVE HEALTH||Temps plein||5|47|13489|2A247|
2021-03-01T10:14:31.000Z|2A247|M1203|CDI|E|CABINET COMPTABLE MAGLIOLO||Temps plein||6|69|12786|2A247|
2021-02-19T10:06:06.000Z|2A247|N1105|CDD|E|||Temps plein||||16355|2A247|
2021-02-18T17:20:26.000Z|2A247|A1203|CDD|D|SARL GARDEN SERVICE|Mensuel de 1780,00 Euros à 1940,00 Euros sur 12 mois|Temps plein||2|81|17515|2A247|
2021-02-16T19:08:56.000Z|2A247|D1301|CDI|E|||Temps plein||6|47||2A247|
2021-02-14T21:12:37.000Z|2A247|K1304|CDD|D|Particulier Employeur||Temps plein|||97|10857|2A247|
2021-02-07T02:49:21.000Z|2A247|K1304|CDD|D|Particulier Employeur||Temps plein|||97|10857|2A247|
2021-02-02T12:16:15.000Z|2A247|K1304|CDD|D|Particulier Employeur||Temps plein|||97|10857|2A247|
2021-01-22T14:58:03.000Z|2A247|G1801|CDD|E|TROPICANA|Mensuel de 1580,00 Euros à 1650,00 Euros sur 12 mois|Temps plein||1|55|11494|2A247|
2021-01-18T16:22:07.000Z|2A247|G1801|SAI|E|LE MARIOSA|Mensuel de 2175,00 Euros sur 12 mois|Temps plein||6|55|11494|2A247|
2021-01-14T10:55:02.000Z|2A247|I1307|CDI|D|||Temps plein||6|42||2A247|
2021-01-08T17:39:40.000Z|2A247|F1704|CDI|E|AGOSTINI G ET CIE|Mensuel de 1670 Euros sur 12 mois|Temps plein||1|42|16352|2A247|
2021-01-05T16:15:18.000Z|2A247|F1704|CDD|D|VERNET AGENCEMENT||Temps plein||1|43|16352|2A247|
2020-11-25T14:33:29.000Z|2A247|F1704|CDD|E|PISCINES DE FRANCE||Temps plein||3|43|16352|2A247|
