dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-06T06:59:52.000Z|95229|J1502|CDD|E|DomusVi||Temps plein|||70|15551|95229|
2021-03-04T04:05:52.000Z|95229|G1803|CDI|D|||Temps plein|||56|12274|95229|
2021-02-22T04:03:07.000Z|95229|I1401|CDI|D|Aquila Rh||Temps plein|||||95229|
2021-02-04T04:55:54.000Z|95229|J1502|CDI|E|DomusVi||Temps plein|||70|15551|95229|
2021-02-02T06:01:18.000Z|95229|J1502|CDD|E|DomusVi||Temps plein|||70|15551|95229|
2020-12-08T14:45:34.000Z|95229|K1207|CDI|D||Mensuel de 1800,00 Euros à 2200,00 Euros sur 12 mois|Temps plein||6|88|14597|95229|
2021-02-19T14:08:06.000Z|95229|K2107|CDD|D|Complétude|Horaire de 17,62 Euros ï¿½ 22,62 Euros|Temps partiel||5|85|18109|95229|
2021-02-02T06:01:25.000Z|95229|J1501|CDI|E|DomusVi||Temps plein|||70|10891|95229|
2021-01-20T04:49:04.000Z|95229|J1501|CDD|E|DomusVi||Temps plein|||70|10891|95229|
2021-03-11T10:37:46.000Z|95229|F1603|CDI|E||Mensuel de 2000,00 Euros à 2500,00 Euros sur 12 mois|Temps plein||1|43|17838|95229|
2021-02-26T02:57:17.000Z|95229|C1504|LIB|D|||Temps plein||||10362|95229|
