dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-01T10:37:07.000Z|66088|G1603|CDD|E|LA HALLE AUX PAINS|Horaire de 10,25 Euros|Temps partiel||6|10|18045|66088|
2021-01-26T03:03:37.000Z|66088|K1304|CDI|D|||Temps plein||||10805|66088|
2021-03-15T05:07:18.000Z|66088|M1801|CDI|E|||Temps plein||7||10316|66088|
2021-02-20T08:51:49.000Z|66088|C1504|CDI|D|||Temps plein||||13464|66088|
2021-03-04T15:32:42.000Z|66088|F1107|CDI|E|GPO COSTE&VANETTI|Mensuel de 1750 Euros à 2000 Euros sur 12 mois|Temps plein||7|71|15265|66088|
2020-12-03T15:07:36.000Z|66088|I1603|CDI|E|EXPLOIT ETABLISSEMENT XAMBILI||Temps plein||6|46|16445|66088|
2021-03-15T15:20:21.000Z|66088|K1303|CDI|D|||Temps plein|||||66088|
