dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-15T17:53:08.000Z|92026|K1303|CDD|D||Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|88|11180|92026|
2021-03-15T11:20:01.000Z|92026|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|92026|
2021-03-15T07:14:03.000Z|92026|K1303|MIS|D|Vitalis Médical Paris Sud||Temps plein|||78|11180|92026|
2021-03-14T13:21:09.000Z|92026|D1401|MIS|E|||Temps plein|||78|11188|92026|
2021-03-12T16:22:22.000Z|92026|D1401|CDI|D|VIDEO PLUS|Mensuel de 1800,00 Euros à 2500,00 Euros sur 13 mois|Temps plein||6|77|11210|92026|
2021-03-12T14:01:42.000Z|92026|M1601|CDI|D|GR WELCOME SERVICES|Horaire de 10,50 Euros à 11,00 Euros sur 12 mois|Temps partiel||6|82||92026|
2021-03-12T11:09:41.000Z|92026|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|92026|
2021-03-12T08:16:18.000Z|92026|M1502|CDI|D|||Temps plein|||80|11863|92026|
2021-03-11T15:02:50.000Z|92026|D1401|MIS|E|TIM FRANCE + GIF|Annuel de 28000,00 Euros à 30000,00 Euros sur 12 mois|Temps plein||6|78|11188|92026|
2021-03-11T10:23:56.000Z|92026|D1401|CDI|E|Interim Nation||Temps plein||7||11210|92026|
2021-03-11T11:32:40.000Z|92026|E1103|CDI|E|||Temps plein||||11780|92026|
2021-03-11T02:51:56.000Z|92026|M1609|LIB|D|||Temps plein||||19397|92026|
2021-03-10T06:45:52.000Z|92026|K1801|CDI|D|||Temps plein||||11867|92026|
2021-03-10T08:54:20.000Z|92026|M1605|CDI|E|||Temps plein||||11230|92026|
2021-03-09T21:59:47.000Z|92026|M1604|CDI|E|Expectra||Temps plein||||11227|92026|
2021-03-09T16:45:24.000Z|92026|M1502|CDD|E|FRAMATOME|Annuel de 30000,00 Euros à 40000,00 Euros sur 12 mois|Temps plein||9|46|11863|92026|
2021-03-09T05:47:06.000Z|92026|D1401|CDI|E|||Temps plein||||11188|92026|
2021-03-09T04:50:51.000Z|92026|K1303|CDI|D|||Temps plein||||11180|92026|
2021-03-07T15:00:17.000Z|92026|E1103|CDI|D|||Temps plein||||11780|92026|
2021-03-06T11:05:06.000Z|92026|M1604|CDI|D|||Temps plein|||80|11227|92026|
2021-03-05T10:14:24.000Z|92026|D1401|CDD|D|TUV RHEINLAND FRANCE||Temps plein||6|71|11210|92026|
2021-03-05T09:45:40.000Z|92026|M1601|CDI|D|FIDUCIAL ACCUEIL ET SERVICES|Mensuel de 1700,00 Euros à 1701,00 Euros sur 12 mois|Temps plein||6|80||92026|
2021-03-04T10:49:19.000Z|92026|M1502|CDD|D|UCC EXPERTS|Mensuel de 1700,00 Euros à 1750,00 Euros sur 12 mois|Temps plein||6|71|11863|92026|
2021-03-04T11:15:11.000Z|92026|M1604|MIS|E|Expectra||Temps plein|||78|11227|92026|
2021-03-03T17:52:13.000Z|92026|M1604|MIS|S|SELECT T T|Annuel de 35000 Euros sur 12 mois|Temps plein||8|78|11227|92026|
2021-03-02T17:31:31.000Z|92026|D1401|CDI|E|RANDSTAD|Annuel de 25000 Euros sur 12 mois|Temps plein||6|78|11266|92026|
2021-03-02T07:08:24.000Z|92026|M1704|CDD|E||Annuel de 26000,00 Euros ï¿½ 26000,00 Euros|Temps plein|||82|38792|92026|
2021-03-01T16:29:24.000Z|92026|M1502|CDD|E||Mensuel de 2400,00 Euros à 2600,00 Euros sur 12 mois|Temps plein||8|43|11863|92026|
2021-03-01T10:17:17.000Z|92026|D1401|CDI|E|Expectra|De 38000,00 Euros|Temps plein||||11188|92026|
2021-02-27T05:13:31.000Z|92026|D1401|CDI|D|||Temps plein||||11266|92026|
2021-02-25T10:59:01.000Z|92026|C1201|CDI|E|Walters People|Annuel de 26000,00 Euros ï¿½ 27000,00 Euros|Temps plein|||64|38079|92026|
2021-02-22T09:58:26.000Z|92026|M1601|CDI|D|FIDUCIAL ACCUEIL & SERVICES|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|80||92026|
2021-02-18T09:06:53.000Z|92026|D1401|CDI|E|Walters People||Temps plein||||11210|92026|
2021-02-18T09:03:45.000Z|92026|E1103|MIS|E|Orange||Temps plein|||78|11780|92026|
2021-02-16T09:31:45.000Z|92026|M1607|CDD|S|RANDSTAD|Annuel de 21600,00 Euros sur 12 mois|Temps plein||6|78|19364|92026|
2021-02-15T14:32:54.000Z|92026|K2111|MIS|E|CRIT INTERIM|Annuel de 31000,00 Euros sur 12 mois|Temps plein||6|78|11797|92026|
2021-02-15T07:54:36.000Z|92026|E1103|CDI|E|||Temps plein||8||11780|92026|
2021-02-12T15:46:01.000Z|92026|K1303|CDI|D||Horaire de 10,25 Euros|Temps plein||6|88|11180|92026|
2021-02-11T07:54:07.000Z|92026|D1408|MIS|E|Expectra||Temps plein|||78|20299|92026|
2021-02-09T14:12:18.000Z|92026|D1401|CDI|E|DGE/SYSTEA Interim, assistance technique|Annuel de 28000,00 Euros à 32000,00 Euros sur 13 mois|Temps plein||6|78|11181|92026|
2021-02-09T06:03:54.000Z|92026|D1401|CDI|E|Groupe Fed||Temps plein||||11266|92026|
2021-02-05T10:45:37.000Z|92026|D1408|CDI|E||Mensuel de 1555 Euros sur 12 mois|Temps plein||6|43|20299|92026|
2021-01-29T04:03:28.000Z|92026|D1401|CDI|E|||Temps plein|||82||92026|
2021-01-19T12:39:09.000Z|92026|C1102|CDI|E|FRANCE AUTO ASSURANCE F.A.A.|Mensuel de 2166,00 Euros à 2291,00 Euros sur 12 mois|Temps plein||6|66|13354|92026|
2021-01-06T13:00:05.000Z|92026|M1609|CDD|D|E.S.A.S.|Mensuel de 900,00 Euros à 1539,00 Euros sur 12 mois|Temps plein||6|85|19397|92026|
2021-03-15T20:53:58.000Z|92026|D1401|CDI|E|||Temps plein||||12748|92026|
