type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;v;75018;;0;111;;5;2070000;;;8539;0;0;0;0;;48.89047;2.33182;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75118;6907;751186907;H;75
pr;a;l;75017;;0;131;;5;4200;;;0;0;0;0;0;;48.87716;2.28985;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75117;6502;751176502;H;75
pr;a;l;75010;;0;50;;1;1200;;;0;0;0;0;0;;48.87771;2.36527;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75110;4008;751104008;H;75
pr;a;v;75018;;0;70;;3;910000;;;3775;0;0;0;0;;48.89096;2.32874;Non;;;;;0;;;;;;;;;12.0;;;;;a;;a;2020-04;75118;6906;751186906;H;75
pr;a;l;75018;;0;25;;1;900;;;0;0;0;0;B;;48.88526;2.35658;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;75118;7104;751187104;H;75
pr;a;l;75018;;0;26;;1;800;;;0;0;0;0;B;;48.88526;2.35658;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;75118;7104;751187104;H;75
pr;a;l;75006;;0;50;;2;3000;;;0;0;0;0;0;;48.85378;2.33685;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75106;2402;751062402;H;75
pr;a;l;75006;;0;146;;4;8500;;;0;0;0;0;E;306;48.85624;2.33642;Non;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;75106;2402;751062402;H;75
pr;a;l;75008;;0;40;;1;1600;;;0;0;0;0;D;;48.87261;2.30464;Non;;;;;0;F;;;;;;;;;;;;;a;;a;2020-04;75108;3004;751083004;A;75
pr;a;l;75014;;0;52;;3;2000;;;0;0;0;0;0;;48.84225;2.32465;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75114;5307;751145307;H;75
pr;a;l;75008;;0;27;;1;1400;;;0;0;0;0;D;154;48.8722;2.30883;Non;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;75108;3004;751083004;A;75
pr;a;l;75014;;0;31;;1;900;;;0;0;0;0;0;;48.8355;2.31674;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75114;5618;751145618;H;75
pr;a;l;75011;;0;14;;1;700;;;0;0;0;0;E;;48.85638;2.38805;Non;;;;;0;F;;;;;;;;;;;;;a;;a;2020-04;75111;4302;751114302;H;75
pr;a;v;75004;;0;37;;1;410000;;;1719;0;0;0;F;414;48.85343;2.35828;Non;;;;;0;D;;;;;;;;;;;;;a;;a;2020-04;75104;1401;751041401;H;75
pr;a;v;75004;;0;120;;5;120000;;;504;0;0;0;0;;48.85561;2.35446;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75104;1401;751041401;H;75
pr;a;l;75005;;0;24;;1;1100;;;0;0;0;0;G;506;48.85226;2.34609;Non;;;;;0;D;;;;;;;;;;;;;a;;a;2020-04;75105;2003;751052003;H;75
pr;a;l;75005;;0;15;;1;1000;;;0;0;0;0;A;;48.85304;2.34537;Non;;;;;0;A;;;;;;;;;;;;;a;;a;2020-04;75105;2003;751052003;H;75
pr;a;l;75020;;0;35;;1;1100;;;0;0;0;0;E;324;48.86626;2.38556;Non;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;75120;7906;751207906;H;75
pr;a;l;75018;;0;26;;1;900;;;0;0;0;0;0;;48.88585;2.34862;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75118;7001;751187001;H;75
pr;a;l;75012;;0;112;;4;2800;;;0;0;0;0;0;;48.84254;2.40482;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75112;4506;751124506;H;75
pr;a;l;75014;;0;50;;1;1600;;;0;0;0;0;0;;48.83159;2.33762;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75114;5406;751145406;H;75
pr;a;l;75020;;0;20;;1;900;;;0;0;0;0;0;;48.85261;2.40714;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75120;8007;751208007;H;75
pr;l;v;33000;;0;261;;5;980000;;;4080;0;0;0;0;;48.84555;2.38299;Non;;;;;0;;;;;;;;;;;;;;a;;l;2020-04;75112;4801;751124801;H;75
pr;a;v;75002;;0;29;;2;360000;;;1519;0;0;0;0;;48.86583;2.34941;Oui;;;;;0;;;;;;;;;54.0;;;;;a;;a;2020-04;75102;0803;751020803;H;75
pr;a;l;75011;;0;59;;3;2200;;;0;0;0;0;E;283;48.85328;2.37053;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;75111;4311;751114311;H;75
pr;a;l;75017;;0;25;;2;1000;;;0;0;0;0;E;256;48.88809;2.32235;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75117;6802;751176802;H;75
pr;a;l;75015;;0;26;;1;800;;;0;0;0;0;E;267;48.83512;2.30778;Non;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;75115;5720;751155720;H;75
pr;a;l;75019;;0;61;;3;1300;;;0;0;0;0;0;;48.89832;2.38467;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75119;7401;751197401;H;75
pr;a;v;75007;;0;22;;1;310000;;;1286;0;0;0;F;347;48.85974;2.30845;Non;;;;;0;C;;;;;;;;38.0;;;;;a;;a;2020-04;75107;2804;751072804;H;75
pr;a;v;75007;;0;45;;2;490000;;;2028;0;0;0;E;301;48.8583;2.30242;Oui;;;;;0;F;;;;;;;;20.0;;;;;a;;a;2020-04;75107;2805;751072805;H;75
pr;a;l;75020;;0;16;;1;800;;;0;0;0;0;E;234;48.8665;2.40612;Non;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;75120;7806;751207806;H;75
pr;a;l;75017;;0;45;;3;1300;;;0;0;0;0;0;;48.8926;2.32507;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75117;6808;751176808;H;75
pr;a;l;75016;;0;39;;2;1900;;;0;0;0;0;G;505;48.86345;2.28509;Non;;;;;0;D;;;;;;;;;;;;;a;;a;2020-04;75116;6301;751166301;H;75
pr;a;l;75007;;0;48;;2;2300;;;0;0;0;0;D;157;48.85765;2.33247;Non;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;75107;2506;751072506;H;75
pr;a;l;75008;;0;53;;2;2800;;;0;0;0;0;0;;48.87535;2.29778;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75108;3001;751083001;H;75
pr;a;l;75017;;0;208;;7;4700;;;0;0;0;0;0;;48.88315;2.28505;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75117;6506;751176506;H;75
pr;a;l;75017;;0;34;;2;1800;;;0;0;0;0;0;;48.87463;2.2935;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75117;6501;751176501;H;75
pr;a;l;75017;;0;15;;1;800;;;0;0;0;0;D;230;48.87536;2.29451;Non;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;75117;6501;751176501;H;75
pr;a;l;75007;;0;46;;2;1900;;;0;0;0;0;G;634;48.85282;2.32914;Non;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;75107;2501;751072501;H;75
pr;a;l;75017;;0;41;;3;1400;;;0;0;0;0;0;;48.89638;2.32468;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75117;6815;751176815;H;75
pr;a;l;75013;;0;17;;1;900;;;0;0;0;0;0;;48.82325;2.36044;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75113;5104;751135104;H;75
pr;a;v;75011;;0;16;;1;200000;;;833;0;0;0;0;;48.86304;2.38116;Non;;;;;0;;;;;;;;;15.0;;;;;a;;a;2020-04;75111;4203;751114203;H;75
pr;a;l;75020;;0;24;;2;800;;;0;0;0;0;F;450;48.85998;2.40664;Non;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;75120;8023;751208023;H;75
pr;a;l;75011;;0;50;;3;2400;;;0;0;0;0;0;;48.85571;2.37119;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75111;4313;751114313;H;75
pr;a;v;75010;;0;15;;1;180000;;;752;0;0;0;E;294;48.87196;2.3723;Non;;;;;0;B;;;;;;;;164.0;;;;;a;;a;2020-04;75110;4002;751104002;H;75
pr;a;l;75006;;0;27;;1;1200;;;0;0;0;0;E;231;48.8465;2.31921;Non;;;;;0;F;;;;;;;;;;;;;a;;a;2020-04;75106;2308;751062308;H;75
pr;a;l;75019;;0;60;;2;1300;;;0;0;0;0;0;;48.8978;2.37667;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75119;7413;751197413;A;75
pr;a;l;75019;;0;82;;4;2000;;;0;0;0;0;0;;48.89772;2.37489;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75119;7413;751197413;A;75
pr;a;l;75018;;0;53;;3;1700;;;0;0;0;0;0;;48.89394;2.3322;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75118;6916;751186916;H;75
pr;a;l;75017;;0;40;;2;1300;;;0;0;0;0;0;;48.88648;2.29961;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;75117;6612;751176612;H;75
