type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;m;l;0;81;;4;865;;;0;0;0;1;E;293.0;47.47076;0.70818;0;0.0;;0.0;False;0;C;;;1.0;;;;;;;Électrique;;Individuel;a;n;m;2020-04;37054;0000;370540000;Z;37;24.0
pr;a;l;1;57;;3;665;;;0;1;1;0;B;59.9;48.45417;1.47218;0;3.0;;1.0;;Sud;C;;;;;False;;True;;;Gaz;;Collectif;a;n;a;2020-04;28229;0102;282290102;H;28;24.0
pr;a;l;1;60;;3;674;;;0;0;0;1;B;72.4;48.45417;1.47218;0;;;;;0;C;;;;;False;;False;;;;;;a;n;a;2020-04;28229;0102;282290102;H;28;24.0
pr;m;l;0;94;;4;700;;;0;0;0;1;E;234;47.11133;2.39533;0;;;;False;0;C;2006.0;;;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-04;18033;1501;180331501;H;18;24.0
pr;m;l;0;78;;4;600;;;0;0;0;1;E;272;48.08301;1.33366;0;;;;;0;F;;4.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-04;28088;0101;280880101;H;28;24.0
pr;a;l;0;82;;4;830;;;0;0;0;1;D;;47.34007;0.64784;0;;;0.0;;0;C;;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;37122;0902;371220902;H;37;24.0
pr;a;l;0;44;20.4;2;598;;;0;0;0;1;A;38.0;46.80935;1.69258;0;;;2.0;;0;B;;1.0;;;;;;;;;;;a;n;a;2020-04;36044;0101;360440101;H;36;24.0
pr;a;l;0;48;;2;425;;;0;0;0;0;VI;;46.81133;1.69158;0;;;;True;0;VI;;;;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;36044;0101;360440101;H;36;24.0
pr;a;l;2;87;;4;935;;;0;0;0;1;D;198.0;47.90204;1.92181;0;4.0;;1.0;True;0;B;2003.0;1.0;;;;;True;;;Électrique;;Individuel;a;n;a;2020-04;45234;0501;452340501;H;45;24.0
pr;a;l;6;22;;1;400;;;0;1;0;1;VI;;47.38914;0.67801;0;8.0;;;True;0;A;;;;;True;;True;;;Gaz;;Collectif;a;n;a;2020-04;37261;0104;372610104;H;37;24.0
