type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;m;v;55170;55010;0;250;925.0;6;232000;;;0;0;0;0;D;157;48.62458;5.01351;Non;;;;;0;E;;;;;False;;;;;;;;m;n;m;2020-03;55010;0000;550100000;Z;55
pr;m;v;55700;;0;169;;6;80000;;;359;0;0;0;0;;49.49244;5.18738;Oui;;;;;0;;;;;;;;;;;;;;a;n;m;2020-03;55502;0000;555020000;Z;55
pr;m;v;55700;55502;0;150;;6;183000;;;0;0;1;1;D;;49.48479;5.18672;Non;;;;;0;C;;;;;;;;;;;;;a;n;m;2020-03;55502;0000;555020000;Z;55
pr;m;v;55700;55502;0;190;900.0;6;320000;;;0;0;0;0;D;171;49.49156;5.18406;Oui;2.0;;;False;0;B;;;;;False;;;;;Gaz;;;m;n;m;2020-03;55502;0000;555020000;Z;55
pr;m;v;55500;55291;0;90;;3;108000;;;0;0;1;0;D;163;48.68181;5.33142;Non;3.0;;0.0;False;0;A;1948.0;;0.0;;;;;;;Électrique;Convecteur;;a;n;m;2020-03;55291;0000;552910000;Z;55
pr;m;v;55500;55291;0;80;1314.0;3;30000;;;0;0;0;0;0;;48.68496;5.3306;Non;1.0;;0.0;False;0;;;;0.0;;;;;;;;;;a;n;m;2020-03;55291;0000;552910000;Z;55
pr;m;v;55500;55291;0;300;946.0;11;95000;;;0;0;0;4;0;;48.69205;5.32056;Non;;;8.0;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-03;55291;0000;552910000;Z;55
pr;m;v;55500;55291;0;295;4720.0;10;330000;;;0;0;5;0;D;213;48.60735;5.26283;Oui;2.0;;1.0;False;0;E;;;1.0;;;;;;;;Radiateur;;a;n;m;2020-03;55291;0000;552910000;Z;55
pr;m;v;55230;55053;0;145;;4;45000;;;0;0;0;0;VI;;49.33171;5.57631;Oui;;;;False;0;VI;;;;;False;;;;;;;;m;n;m;2020-03;55053;0000;550530000;Z;55
pr;m;v;55270;55346;0;129;773.0;4;48000;;;0;0;1;1;VI;;49.27547;5.14272;Non;1.0;;;;0;;;1.0;;;False;;;;;Fioul;;Individuel;m;n;m;2020-03;55346;0000;553460000;Z;55
pr;m;v;55000;55366;0;147;1565.0;6;123000;;;0;0;1;0;E;305;48.80314;5.07137;Oui;1.0;;1.0;True;0;C;;1.0;;;;;;;;Électrique;;;m;n;m;2020-03;55366;0000;553660000;Z;55
pr;m;v;55120;55416;0;120;625.0;5;20000;;;0;0;0;1;0;;49.07666;5.12482;Oui;;;2.0;;0;;;;;;;;;;;;;;a;n;m;2020-03;55416;0000;554160000;Z;55
pr;a;v;55100;55545;2;142;;7;220000;;;0;0;1;1;E;321;49.16529;5.38439;Oui;3.0;;1.0;;0;F;;1.0;;;True;;True;;;;;Collectif;m;n;a;2020-03;55545;0102;555450102;H;55
pr;a;l;55160;;0;72;;3;500;;;0;0;0;0;0;;49.09525;5.6313;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;55198;0000;551980000;Z;55
