type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;m;l;0;70;;3;800;;;0;0;0;0;0;;42.49302;9.43864;Non;;;;;0;;;;;;;;;;;;;;a;;m;2020-04;2B346;0000;2B3460000;Z;2B;94.0
pr;a;l;2;34;;1;480;;;0;0;0;0;C;112;42.68019;9.42777;0;0.0;;1.0;;0;D;1911.0;;;;;;False;;;;;;a;n;a;2020-04;2B033;0201;2B0330201;H;2B;94.0
pr;a;l;4;54;;3;590;;;0;0;0;0;C;136;42.68136;9.43787;0;0.0;;;;0;A;1956.0;;;;;;False;;;;;;a;n;a;2020-04;2B033;0301;2B0330301;H;2B;94.0
pr;a;l;5;90;;3;1011;;;0;0;0;1;0;;41.93023;8.73897;0;5.0;;;;0;;;;;;;;;;;;;Individuel;a;n;a;2020-04;2A004;0102;2A0040102;H;2A;94.0
pr;a;l;0;57;;2;500;;;0;0;0;0;E;271;42.55127;9.41824;Non;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;2B042;0101;2B0420101;H;2B;94.0
pr;a;l;2;43;;2;595;;;0;0;0;0;C;144.38;42.67229;9.43388;0;0.0;;1.0;;0;C;1911.0;;;;;;False;;;;;;a;n;a;2020-04;2B033;0502;2B0330502;H;2B;94.0
pr;a;l;0;53;;2;730;;;0;0;0;0;C;146;42.30639;9.15567;0;;;;False;0;A;2011.0;;;;;;True;;;;;;a;n;a;2020-04;2B096;0102;2B0960102;H;2B;94.0
pr;a;l;1;59;;3;1180;;;0;0;1;0;A;1.0;41.87069;8.9636;0;1.0;;;;0;A;;;2.0;;False;;False;;;;;Individuel;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;94.0
pr;a;l;0;45;;2;800;;;0;0;0;0;0;;41.64158;8.93379;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A272;0000;2A2720000;Z;2A;94.0
pr;m;l;0;200;;6;1525;;;0;0;1;1;E;280.0;41.62361;8.97584;0;;;;;0;D;;2.0;1.0;;;;;;;Électrique;;Individuel;a;n;m;2020-03;2A272;0000;2A2720000;Z;2A;94.0
pr;m;l;0;155;;5;1880;;;0;0;0;0;D;185;42.70082;9.44494;0;0.0;;;False;0;E;1950.0;;;;;;;;;;;;a;n;m;2020-03;2B033;0604;2B0330604;H;2B;94.0
pr;a;l;0;65;;4;1000;;;0;0;0;0;B;60;42.55347;8.78971;Non;;;;;0;B;;;;;;;;;;;;;a;n;a;2020-03;2B050;0102;2B0500102;H;2B;94.0
pr;a;l;1;77;;3;735;;;0;0;0;1;E;266;42.69264;9.44404;0;6.0;;1.0;;0;F;;;;;;;True;;;;;Individuel;a;n;a;2020-03;2B033;0202;2B0330202;H;2B;94.0
pr;a;l;2;23;;1;498;;;0;0;0;0;E;287;42.31303;9.14991;0;4.0;;;;0;C;;;;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-03;2B096;0102;2B0960102;H;2B;94.0
pr;a;l;0;51;;3;580;;;0;0;0;0;C;136;42.31566;9.14821;0;;;;;0;A;;;;;;;;;;Électrique;Climatisation révérsible;Individuel;a;n;a;2020-03;2B096;0102;2B0960102;H;2B;94.0
pr;a;l;0;26;;1;500;;;0;0;0;0;E;327;42.29699;9.15876;0;;;;;0;C;;;;;;;;;;Électrique;;Individuel;a;n;a;2020-03;2B096;0102;2B0960102;H;2B;94.0
pr;a;l;0;52;;2;750;;;0;0;1;0;VI;;41.9301;8.7373;0;6.0;;1.0;True;0;NS;1970.0;1.0;1.0;;True;;True;;;;;Individuel;a;n;a;2020-03;2A004;0102;2A0040102;H;2A;94.0
pr;a;l;2;40;;2;698;;;0;0;0;1;NS;;41.92841;8.73669;0;2.0;;;False;0;;;1.0;;;;;False;;;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A;94.0
pr;a;l;0;88;;4;1000;;;0;0;0;0;0;;41.93273;8.73719;0;;;0.0;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A;94.0
