type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;v;39200;39478;1;93;;4;74990;;;0;0;0;0;E;240.0;46.38618;5.86273;Non;6.0;;;;Est-Ouest;F;;;;;False;;False;30.0;2640.0;;;;m;n;a;2020-03;39478;0102;394780102;H;39
pr;a;v;39200;39478;1;119;;3;30000;;;0;0;1;0;D;165;46.38665;5.86445;Oui;3.0;;2.0;True;0;D;;;;;False;;False;25.0;300.0;Gaz;;Individuel;m;n;a;2020-03;39478;0102;394780102;H;39
pr;m;v;39200;39478;0;200;600.0;10;299000;;;0;0;1;1;E;259.88;46.38736;5.86591;Non;1.0;;;;Est-Ouest;E;;2.0;;;False;;;;;Gaz;;;m;n;m;2020-03;39478;0102;394780102;H;39
pr;a;v;39000;39300;4;98;;4;90000;;;0;0;0;1;E;245;46.67159;5.56836;Non;4.0;;;;Sud;E;;1.0;;;False;;False;9.0;2000.0;Gaz;;Individuel;m;n;a;2020-03;39300;0103;393000103;H;39
pr;a;l;39170;;0;85;;3;700;;;0;0;0;0;C;140;46.40014;5.79447;Non;;;;;0;D;;;;;;;;;;;;;a;n;a;2020-03;39491;0000;394910000;Z;39
pr;m;v;39130;39154;0;200;342.0;6;209000;;;0;0;1;3;D;163.0;46.56953;5.75658;Non;2.0;;;;0;E;;3.0;;;False;;;;;Fioul;;Individuel;m;n;m;2020-03;39154;0000;391540000;Z;39
pr;m;v;39120;39022;0;86;1500.0;5;130000;;;0;0;0;1;VI;;46.92516;5.37753;Oui;;;;;0;VI;;1.0;1.0;;;;;;;Électrique;;;a;n;m;2020-03;39022;0000;390220000;Z;39
pr;m;v;39700;39190;0;96;1987.0;5;199000;;;0;0;0;1;A;;47.16102;5.74061;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39190;0000;391900000;Z;39
pr;mn;v;39700;;0;96;1987.0;5;199000;144000.0;55000.0;0;0;0;0;0;;47.16475;5.74408;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39190;0000;391900000;Z;39
pr;mn;v;39700;;0;89;943.0;5;217900;157900.0;60000.0;0;0;1;0;0;;47.16475;5.74408;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39190;0000;391900000;Z;39
pr;mn;v;39700;;0;130;2000.0;6;359700;;;0;0;0;0;0;;47.16475;5.74408;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39190;0000;391900000;Z;39
pr;m;v;39220;39441;0;300;2000.0;14;432000;;;0;0;0;0;C;115;46.45334;6.04909;Non;;;;;0;D;;;;;False;;;;;;;;m;n;m;2020-03;39441;0000;394410000;Z;39
pr;a;l;39110;;0;144;;5;700;;;0;0;0;0;0;;46.95255;5.81867;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;39006;0000;390060000;Z;39
pr;m;v;39100;39198;0;75;800.0;2;79000;;;0;0;0;0;D;219;47.105;5.51284;0;;;;;Est-Ouest;B;;;;;;;;;;Électrique;Climatisation révérsible;Individuel;a;n;m;2020-03;39198;0103;391980103;H;39
pr;m;v;39100;39198;0;94;750.0;4;210000;;;0;0;0;1;A;;47.09563;5.49647;0;1.0;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0103;391980103;H;39
pr;m;v;39200;39460;0;210;1500.0;7;299000;;;0;0;1;0;E;326.0;46.46185;5.88712;Non;2.0;;;;0;D;;;;;False;;;;;;;;m;n;m;2020-03;39460;0000;394600000;Z;39
pr;mn;v;39150;;0;91;754.0;6;185610;158466.0;27144.0;0;0;0;0;0;;46.60594;5.90504;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39131;0000;391310000;Z;39
