type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;m;v;0;226;1587.0;6;550000;;;0;1;2;1;NS;;4.92252;-52.28673;Non;;;5.0;;Est-Ouest;;;3.0;;;False;;;;;;;;m;n;m;2020-04;97309;0102;973090102;H;973;3.0;;;;12.02;3.0;0.059;2433.63
pr;a;v;2;45;;2;135000;;;0;0;1;0;VI;;4.92339;-52.31346;Non;;;2.0;;0;;;1.0;;;;;;36.0;;;;;a;n;a;2020-04;97302;0121;973020121;H;973;3.0;14.7;4.0;0.059;16.28;132.0;0.065;3000.0
pr;m;v;0;138;;5;339900;;;0;0;0;0;0;;4.90006;-52.27444;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;97309;0106;973090106;H;973;3.0;14.29;2.0;0.07;14.29;9.0;0.07;2463.04
pr;m;v;0;109;;5;303000;;;0;0;0;0;0;;4.91948;-52.38453;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;97305;0102;973050102;H;973;3.0;9.6;1.0;0.041;9.6;1.0;0.041;2779.82
pr;m;v;0;89;;4;269000;;;0;0;0;0;0;;4.91948;-52.38453;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;97305;0102;973050102;H;973;3.0;11.55;5.0;0.046;11.55;5.0;0.046;3022.47
pr;m;v;0;97;;4;235000;;;0;0;0;0;0;;4.91291;-52.37557;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;97305;0102;973050102;H;973;3.0;11.55;5.0;0.057;11.55;5.0;0.057;2422.68
pr;m;v;0;93;;4;276000;;;0;0;0;0;0;;4.91948;-52.38453;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;97305;0102;973050102;H;973;3.0;11.55;5.0;0.047;11.55;5.0;0.047;2967.74
pr;m;v;0;97;;4;275000;;;0;0;0;0;0;;4.89125;-52.30306;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;97309;0103;973090103;H;973;3.0;14.13;7.0;0.06;14.4;27.0;0.061;2835.05
pr;a;v;0;49;;2;149900;;;0;0;0;0;0;;4.91763;-52.2953;Non;;;;;0;;;;;;;;;;;;;;ca;;a;2020-04;97302;0113;973020113;H;973;3.0;10.0;1.0;0.039;16.28;132.0;0.064;3059.18
pr;a;v;0;57;;3;179900;;;0;0;0;0;0;;4.91763;-52.2953;Non;;;;;0;;;;;;;;;;;;;;ca;;a;2020-04;97302;0113;973020113;H;973;3.0;14.38;1.0;0.055;13.44;82.0;0.051;3156.14
