REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
53;29;29019;pr;a;a;pi;2;D;44.5;95000.0;2118.3;10.75;0.064;0.0;0.0;0.0;2
53;29;29019;pr;a;a;pi;3;D;55.0;140000.0;2545.45;8.86;0.042;0.0;0.0;0.0;1
53;29;29019;pr;a;a;v;1;0;31.0;75600.0;2438.71;14.13;0.07;0.0;1.0;0.0;1
53;29;29019;pr;a;a;v;1;B;26.0;83500.0;3211.54;14.13;0.053;0.0;1.0;0.0;1
53;29;29019;pr;a;a;v;1;C;18.0;49275.0;2737.5;14.13;0.062;0.0;1.0;0.0;1
53;29;29019;pr;a;a;v;1;D;19.0;66185.0;3622.16;14.13;0.065;0.0;0.5;0.5;4
53;29;29019;pr;a;a;v;1;E;26.5;69720.0;2371.56;14.13;0.077;0.17;0.5;0.33;6
53;29;29019;pr;a;a;v;1;F;25.0;49150.0;2114.0;14.13;0.084;0.5;0.0;1.0;2
53;29;29019;pr;a;a;v;1;NS;44.0;99600.0;2793.6;14.13;0.068;0.0;0.5;0.0;2
53;29;29019;pr;a;a;v;1;VI;21.0;69000.0;3308.9;14.13;0.052;0.0;0.5;0.0;2
53;29;29019;pr;a;a;v;2;0;48.0;88326.0;1598.18;10.75;0.076;0.12;0.5;0.38;8
53;29;29019;pr;a;a;v;2;A;55.0;189000.0;3362.04;10.75;0.039;1.0;1.0;0.5;2
53;29;29019;pr;a;a;v;2;C;52.0;186375.0;3584.13;10.75;0.036;0.0;0.0;1.0;1
53;29;29019;pr;a;a;v;2;D;49.0;90500.0;1791.67;10.75;0.068;0.12;0.29;0.71;17
53;29;29019;pr;a;a;v;2;E;42.0;71690.0;1706.9;10.75;0.075;0.18;0.55;0.36;11
53;29;29019;pr;a;a;v;2;F;42.0;86400.0;1794.0;10.75;0.072;0.43;0.71;0.14;7
53;29;29019;pr;a;a;v;2;G;51.5;75075.0;1447.36;10.75;0.094;0.0;0.0;0.5;2
53;29;29019;pr;a;a;v;2;NS;42.0;69000.0;1642.86;10.75;0.079;1.0;0.0;1.0;1
53;29;29019;pr;a;a;v;2;VI;39.5;67750.0;1869.0;10.75;0.071;0.25;0.5;0.5;4
53;29;29019;pr;a;a;v;3;0;67.0;119500.0;1636.87;8.86;0.064;0.19;0.24;0.29;21
53;29;29019;pr;a;a;v;3;A;73.0;295000.0;3907.45;8.86;0.032;0.0;0.62;0.38;8
53;29;29019;pr;a;a;v;3;B;62.5;169400.0;2736.36;8.86;0.039;0.33;0.5;0.33;6
53;29;29019;pr;a;a;v;3;C;72.0;135000.0;1985.29;8.86;0.06;0.67;0.56;0.33;9
53;29;29019;pr;a;a;v;3;D;64.0;106000.0;1665.48;8.86;0.063;0.38;0.49;0.49;39
53;29;29019;pr;a;a;v;3;E;61.0;91375.0;1631.7;8.86;0.068;0.36;0.36;0.55;11
