REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
27.0;21;21002;pr;m;m;v;4;D;90.0;98000.0;1088.89;;;0.0;1.0;0.0;1
27.0;21;21003;pr;a;a;v;2;E;34.0;63500.0;1867.65;14.72;0.095;0.0;1.0;1.0;1
27.0;21;21003;pr;a;a;v;3;0;62.0;130000.0;2096.77;10.52;0.06;0.0;0.0;1.0;1
27.0;21;21003;pr;a;a;v;3;E;60.0;130000.0;2166.67;10.52;0.058;1.0;0.0;1.0;1
27.0;21;21003;pr;a;m;v;5;NS;100.0;339000.0;3390.0;;;0.0;0.0;1.0;1
27.0;21;21003;pr;a;m;v;6;D;162.5;380500.0;2371.24;;;0.0;1.5;1.0;2
27.0;21;21003;pr;a;m;v;7;0;200.0;537000.0;2685.0;;;0.0;0.0;3.0;1
27.0;21;21003;pr;cm;mn;v;6;0;130.0;472000.0;3630.77;;;0.0;0.0;0.0;1
27.0;21;21003;pr;m;a;v;1;VI;25.0;80000.0;3200.0;;;0.0;0.0;0.0;1
27.0;21;21004;pr;a;m;pi;6;0;177.0;84800.0;479.1;;;0.0;0.0;0.0;1
27.0;21;21004;pr;a;m;v;3;0;60.0;27400.0;456.67;;;0.0;0.0;0.0;1
27.0;21;21004;pr;a;m;v;4;NS;83.0;67680.0;815.42;;;0.0;0.0;0.0;1
27.0;21;21004;pr;a;m;v;5;0;125.0;97000.0;776.0;;;0.0;1.0;0.0;1
27.0;21;21004;pr;a;m;v;6;G;207.0;150000.0;724.64;;;0.0;2.0;1.0;1
27.0;21;21004;pr;a;m;v;7;0;162.0;127200.0;785.19;;;0.0;0.0;1.0;1
27.0;21;21004;pr;a;m;v;7;G;230.0;160000.0;695.65;;;0.0;0.0;0.0;1
27.0;21;21005;pr;a;m;v;4;F;122.0;150000.0;1229.51;;;0.0;1.0;0.0;1
27.0;21;21005;pr;a;m;v;5;0;172.0;210000.0;1220.93;;;0.0;0.0;0.0;1
27.0;21;21005;pr;a;m;v;5;B;180.0;272000.0;1511.11;;;0.0;1.0;1.0;2
27.0;21;21005;pr;a;m;v;5;D;113.0;229900.0;2034.51;;;0.0;0.0;0.0;1
27.0;21;21005;pr;a;m;v;6;B;133.0;259000.0;1947.37;;;0.0;0.0;0.0;1
27.0;21;21005;pr;a;m;v;7;B;134.0;265000.0;1977.61;;;0.0;0.0;1.0;1
27.0;21;21005;pr;cm;mn;v;4;0;76.0;161148.0;2120.37;;;0.0;1.0;0.0;1
27.0;21;21006;pr;a;m;v;7;D;190.0;340000.0;1789.47;;;0.0;1.0;0.0;1
27.0;21;21007;pr;a;m;v;3;0;90.0;118000.0;1311.11;;;0.0;1.0;0.0;2
27.0;21;21009;pr;a;m;v;4;0;70.0;75000.0;1071.43;;;0.0;0.0;1.0;1
27.0;21;21009;pr;a;m;v;5;0;125.0;39000.0;312.0;;;0.0;0.0;1.0;1
27.0;21;21009;pr;a;m;v;5;D;175.0;55000.0;314.29;;;0.0;0.0;0.0;1
27.0;21;21009;pr;a;m;v;6;0;320.0;20000.0;66.66;;;0.0;0.0;0.0;2
27.0;21;21010;pr;a;m;v;10;D;250.0;470000.0;1880.0;;;0.0;0.0;0.0;1
27.0;21;21013;pr;a;m;v;3;G;60.0;79500.0;1325.0;;;0.0;0.0;1.0;1
27.0;21;21013;pr;a;m;v;4;0;152.0;189000.0;1243.42;;;0.0;0.0;1.0;1
27.0;21;21013;pr;a;m;v;6;0;145.0;189900.0;1309.66;;;0.0;0.0;1.0;1
27.0;21;21014;pr;a;m;v;4;0;69.0;86000.0;1246.38;;;0.0;0.0;1.0;1
27.0;21;21016;pr;a;m;v;1;NS;63.0;74000.0;1174.6;;;0.0;0.0;0.0;1
27.0;21;21016;pr;a;m;v;6;0;230.0;389000.0;1691.3;;;0.0;1.0;2.0;1
27.0;21;21016;pr;a;m;v;6;C;162.0;395000.0;2438.27;;;0.0;1.0;1.0;1
27.0;21;21016;pr;a;m;v;7;C;262.0;349000.0;1332.06;;;0.0;0.0;2.0;3
27.0;21;21016;pr;a;m;v;7;D;175.0;399000.0;2280.0;;;0.0;1.0;1.0;1
27.0;21;21020;pr;a;m;v;2;0;92.5;35000.0;475.0;;;0.0;0.0;0.0;2
27.0;21;21020;pr;a;m;v;6;E;240.0;230000.0;958.33;;;0.0;0.0;1.0;2
27.0;21;21020;pr;a;m;v;7;E;233.0;230000.0;987.12;;;0.0;0.0;1.0;1
27.0;21;21020;pr;a;m;vp;12;0;320.0;265000.0;828.12;;;0.0;2.0;0.0;1
27.0;21;21020;pr;m;m;v;2;NS;45.0;34000.0;755.56;;;0.0;0.0;0.0;1
27.0;21;21021;pr;a;m;v;1;NS;63.0;74000.0;1174.6;;;0.0;0.0;0.0;1
27.0;21;21021;pr;a;m;v;5;C;127.0;239000.0;1881.89;;;0.0;0.0;0.0;1
27.0;21;21021;pr;a;m;v;6;D;250.0;350000.0;1400.0;;;0.0;1.0;1.0;1
27.0;21;21021;pr;a;m;v;7;D;160.0;250000.0;1562.5;;;0.0;0.0;0.0;1
27.0;21;21021;pr;cm;mn;v;3;0;63.0;197857.0;3140.59;7.43;0.028;0.0;1.0;0.0;1
27.0;21;21021;pr;cm;mn;v;4;0;81.0;213278.0;2586.74;;;0.0;1.0;0.0;8
27.0;21;21021;pr;cm;mn;v;5;0;94.0;229600.0;2442.55;;;0.0;1.0;0.0;1
27.0;21;21022;pr;a;m;v;4;E;99.0;190000.0;1919.19;;;0.0;1.0;0.0;1
27.0;21;21022;pr;a;m;v;5;E;119.0;210000.0;1764.71;;;1.0;1.0;1.0;1
27.0;21;21023;pr;a;a;v;4;D;83.0;65000.0;783.13;5.68;0.087;0.0;0.0;1.0;1
27.0;21;21023;pr;a;m;v;10;0;320.0;399000.0;1246.88;;;0.0;6.0;0.0;1
27.0;21;21023;pr;a;m;v;10;E;225.0;279000.0;1240.0;;;0.0;0.0;1.0;1
27.0;21;21023;pr;a;m;v;10;VI;250.0;106000.0;424.0;;;0.0;1.0;2.0;1
27.0;21;21023;pr;a;m;v;12;E;329.5;374450.0;1136.31;;;0.0;6.5;1.0;2
27.0;21;21023;pr;a;m;v;2;VI;154.0;30000.0;537.91;;;0.0;0.0;0.0;3
27.0;21;21023;pr;a;m;v;3;0;90.0;50000.0;555.56;;;0.0;1.0;0.0;1
27.0;21;21023;pr;a;m;v;3;E;50.0;35000.0;700.0;;;0.0;1.0;0.0;1
27.0;21;21023;pr;a;m;v;3;F;61.0;69000.0;1131.15;;;0.0;0.0;1.0;1
27.0;21;21023;pr;a;m;v;3;VI;100.0;89000.0;890.0;;;0.0;2.0;0.0;1
27.0;21;21023;pr;a;m;v;4;VI;80.0;75750.0;939.8;;;0.0;0.0;1.0;4
27.0;21;21023;pr;a;m;v;5;0;71.0;44500.0;626.76;;;0.0;0.67;0.67;3
27.0;21;21023;pr;a;m;v;5;C;115.0;229000.0;1991.3;;;0.0;1.0;1.0;1
27.0;21;21023;pr;a;m;v;5;D;88.0;141000.0;1119.05;;;0.0;0.67;0.33;3
27.0;21;21023;pr;a;m;v;5;E;170.0;169000.0;994.12;;;0.0;1.0;1.0;1
27.0;21;21023;pr;a;m;v;5;VI;100.0;79000.0;686.96;;;0.0;0.33;0.67;3
27.0;21;21023;pr;a;m;v;6;C;135.0;139000.0;1009.16;;;0.0;0.5;1.0;2
27.0;21;21023;pr;a;m;v;6;D;205.0;169750.0;828.05;;;0.0;1.0;1.33;3
27.0;21;21023;pr;a;m;v;6;E;125.0;86000.0;688.0;;;0.0;1.0;0.0;1
27.0;21;21023;pr;a;m;v;6;VI;161.0;235000.0;1400.0;;;0.0;0.67;1.0;3
27.0;21;21023;pr;a;m;v;7;VI;170.0;169000.0;1018.07;;;0.0;0.67;0.67;3
27.0;21;21023;pr;a;m;v;8;E;230.0;289000.0;1256.52;;;0.0;0.0;1.0;2
27.0;21;21023;pr;a;m;v;8;F;130.0;83000.0;638.46;;;0.0;1.0;0.0;1
