type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;v;73620;;0;27;;2;160000;;;672;0;0;0;E;326;45.7492;6.57959;Non;;;;;0;C;;;;;;;;99.0;;;;;a;;a;2020-04;73132;0000;731320000;Z;73
pr;a;v;73620;;0;33;;2;180000;;;759;0;0;0;F;419;45.75676;6.53977;Non;;;;;0;D;;;;;;;;63.0;;;;;a;;a;2020-04;73132;0000;731320000;Z;73
pr;a;v;73620;;0;36;;2;220000;;;916;0;0;0;G;934;45.75598;6.54176;Non;;;;;0;E;;;;;;;;32.0;;;;;a;;a;2020-04;73132;0000;731320000;Z;73
pr;m;v;73530;;0;100;;5;475000;;;0;0;0;0;0;;45.22026;6.235;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;73280;0000;732800000;Z;73
pr;m;v;73530;;0;82;;4;400000;;;0;0;0;0;0;;45.22026;6.235;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;73280;0000;732800000;Z;73
pr;a;l;73000;;0;46;;2;500;;;0;0;0;0;B;78;45.56901;5.92054;Non;;;;;0;F;;;;;;;;;;;;;a;;a;2020-04;73065;0903;730650903;H;73
pr;a;pi;73140;;0;30;;3;60000;;;297;0;0;0;F;442;45.21003;6.53407;Oui;;;;;0;D;;;;;;;;;;;;;a;;a;2020-04;73194;0000;731940000;Z;73
pr;mn;v;73470;;0;90;670.0;4;238800;182800.0;56000.0;0;0;0;0;0;;45.61449;5.78118;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73152;0000;731520000;Z;73
pr;mn;v;73470;;0;100;670.0;4;263500;207500.0;56000.0;0;0;0;0;0;;45.61449;5.78118;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73152;0000;731520000;Z;73
pr;mn;v;73800;;0;85;480.0;4;250000;;;0;0;1;0;0;;45.53368;6.09187;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73096;0000;730960000;Z;73
pr;mn;v;73610;;0;95;1226.0;4;298000;;;0;0;1;0;0;;45.54111;5.81724;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73001;0000;730010000;Z;73
pr;mn;v;73310;;0;105;1074.0;5;250000;;;0;0;1;0;0;;45.80474;5.80246;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73073;0000;730730000;Z;73
pr;mn;v;73800;;0;85;330.0;4;284000;;;0;0;1;0;0;;45.49534;5.98518;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73151;0000;731510000;Z;73
pr;mn;v;73110;;0;107;812.0;4;288000;;;0;0;2;0;0;;45.50484;6.15177;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73302;0000;733020000;Z;73
pr;mn;v;73110;;0;90;812.0;4;238500;;;0;0;1;0;0;;45.50484;6.15177;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73302;0000;733020000;Z;73
pr;mn;v;73170;;0;85;1014.0;4;210000;;;0;0;1;0;0;;45.76145;5.7964;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73149;0000;731490000;Z;73
pr;a;v;73000;;0;76;;3;220000;;;918;0;0;0;D;196;45.5646;5.91778;Oui;;;;;0;D;;;;;;;;26.0;;;;;a;;a;2020-04;73065;0901;730650901;H;73
pr;m;l;73000;;0;130;;5;2300;;;0;0;0;0;A;1;45.52335;5.92521;Non;;;;;0;A;;;;;;;;;;;;;a;;m;2020-04;73160;0000;731600000;Z;73
pr;mn;v;73160;;0;105;1000.0;5;460000;220000.0;240000.0;0;0;0;0;0;;45.53856;5.85612;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73326;0000;733260000;Z;73
pr;mn;v;73160;;0;100;1000.0;5;450000;210000.0;240000.0;0;0;0;0;0;;45.53856;5.85612;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73326;0000;733260000;Z;73
pr;mn;v;73160;;0;90;360.0;4;279000;;;0;0;2;0;0;;45.53856;5.85612;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73326;0000;733260000;Z;73
pr;mn;v;73190;;0;91;1000.0;4;425000;;;0;0;0;0;0;;45.52972;5.94688;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;73225;0000;732250000;Z;73
pr;m;v;73550;;0;346;;6;5500000;;;0;0;0;0;0;;45.41638;6.56395;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;73015;0000;730150000;Z;73
