DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
90;90001;pr;a;m;v;4;C;156.0;449000.0;2878.21;;;0.0;1.0;1.0;1
90;90001;pr;a;m;v;5;C;110.0;249100.0;2264.55;7.04;0.037;0.0;0.0;1.0;1
90;90001;pr;a;m;v;7;E;120.0;156000.0;1300.0;;;0.0;1.0;1.0;2
90;90002;pr;a;m;v;6;D;110.0;212000.0;1927.27;;;0.0;1.0;1.0;1
90;90002;pr;m;m;v;6;A;112.0;303000.0;2705.36;;;0.0;0.0;0.0;1
90;90002;pr;m;m;v;6;B;113.0;295000.0;2610.62;;;0.0;0.0;0.0;1
90;90003;pr;a;m;v;5;C;111.0;229000.0;2063.06;;;0.0;0.0;1.0;1
90;90003;pr;a;m;v;7;C;230.0;520000.0;2260.87;;;0.0;0.0;3.0;1
90;90003;pr;a;m;v;8;C;213.0;348000.0;1633.8;;;0.0;1.0;1.0;1
90;90003;pr;m;m;v;7;D;200.0;280800.0;1404.0;;;0.0;1.0;1.0;1
90;90004;pr;cm;mn;v;4;0;81.0;173350.0;2140.12;;;0.0;0.0;0.0;1
90;90006;pr;a;m;v;3;0;80.0;108001.0;1350.01;;;0.0;1.0;0.0;1
90;90008;pr;a;a;v;3;D;68.0;153075.0;2251.1;;;0.5;0.0;1.0;2
90;90008;pr;a;a;v;4;0;75.0;168500.0;2246.67;;;0.0;1.0;0.0;1
90;90008;pr;a;m;v;5;0;110.0;210000.0;1909.09;;;0.0;0.0;2.0;1
90;90008;pr;a;m;v;8;D;150.0;187000.0;1246.67;;;0.0;1.0;1.0;1
90;90008;pr;ca;a;v;2;0;42.0;120000.0;2857.14;;;0.0;0.0;0.0;1
90;90008;pr;ca;a;v;3;0;64.5;178000.0;2759.38;;;0.0;0.0;0.0;2
90;90008;pr;ca;an;v;2;0;47.0;125000.0;2659.57;;;0.0;0.0;0.0;1
90;90008;pr;cm;mn;v;6;0;160.0;559179.0;3494.87;;;0.0;0.0;0.0;1
90;90008;pr;m;m;v;10;E;185.0;259000.0;1400.0;;;0.0;1.0;1.0;1
90;90008;pr;m;m;v;5;D;140.0;242000.0;1728.57;;;0.0;0.0;0.0;1
90;90008;pr;m;m;v;5;E;102.0;238000.0;2333.33;;;0.0;0.0;1.0;1
90;90008;pr;m;m;v;5;NS;110.0;229000.0;2081.82;;;0.0;0.0;1.0;1
90;90008;pr;m;m;v;7;D;152.0;187500.0;1233.55;;;1.0;0.0;1.0;1
90;90009;pr;a;a;v;2;E;52.5;52500.0;1003.17;9.07;0.108;0.0;0.0;1.0;2
90;90009;pr;a;a;v;3;VI;55.0;82500.0;1500.0;8.36;0.067;0.0;0.0;1.0;1
90;90009;pr;a;a;v;4;C;81.5;100000.0;1195.46;;;0.0;0.0;0.5;2
90;90009;pr;a;a;v;4;F;83.0;139900.0;1685.54;;;1.0;0.0;1.0;1
90;90009;pr;a;a;v;4;VI;63.0;99975.0;1586.9;;;0.0;1.0;0.0;1
90;90009;pr;a;a;v;5;VI;130.0;127200.0;978.46;;;0.0;0.0;1.0;1
90;90009;pr;a;m;v;3;G;69.0;65000.0;942.03;;;0.0;1.0;0.0;1
90;90009;pr;a;m;v;4;E;76.0;116600.0;1534.21;;;0.0;1.0;0.0;1
90;90009;pr;a;m;v;5;G;90.0;108000.0;1200.0;;;0.0;1.0;0.0;1
90;90009;pr;a;m;v;6;F;185.0;215575.0;1165.27;;;0.0;0.0;2.0;1
90;90009;pr;m;m;v;11;VI;295.0;145000.0;491.53;;;0.0;0.0;1.0;1
90;90010;pr;a;a;pi;2;D;45.0;50000.0;1111.11;10.0;0.108;0.0;0.0;0.0;1
90;90010;pr;a;a;v;1;0;22.0;30000.0;1363.64;13.42;0.118;0.0;1.0;0.0;2
90;90010;pr;a;a;v;1;E;43.0;68000.0;1581.4;13.42;0.102;0.0;0.0;1.0;1
90;90010;pr;a;a;v;1;VI;26.0;39000.0;1500.0;13.42;0.107;0.0;1.0;0.0;1
90;90010;pr;a;a;v;10;VI;224.0;248000.0;1107.14;;;0.0;1.0;1.0;1
90;90010;pr;a;a;v;2;0;56.0;64250.0;1410.71;10.0;0.098;0.0;0.3;0.6;10
90;90010;pr;a;a;v;2;A;29.5;63000.0;2136.2;10.0;0.056;0.0;1.0;0.0;2
90;90010;pr;a;a;v;2;C;41.0;55000.0;1507.14;10.0;0.089;0.5;0.0;0.75;4
90;90010;pr;a;a;v;2;D;45.5;82250.0;1716.9;10.0;0.074;0.25;0.5;0.5;8
90;90010;pr;a;a;v;2;E;46.0;62500.0;1327.66;10.0;0.086;0.2;0.5;0.4;10
90;90010;pr;a;a;v;2;F;34.0;66000.0;1941.18;10.0;0.073;0.67;0.33;0.67;3
90;90010;pr;a;a;v;2;G;33.5;53750.0;1604.5;10.0;0.075;0.0;0.0;1.0;2
90;90010;pr;a;a;v;2;NS;55.0;61000.0;1000.0;10.0;0.117;0.0;0.6;0.6;5
90;90010;pr;a;a;v;2;VI;52.5;60000.0;1222.38;10.0;0.108;0.0;0.5;0.5;2
90;90010;pr;a;a;v;3;0;59.0;64750.0;974.26;9.09;0.116;0.2;0.3;0.6;10
90;90010;pr;a;a;v;3;C;71.0;130000.0;1830.99;9.09;0.071;0.12;0.12;1.0;8
90;90010;pr;a;a;v;3;D;64.0;80999.0;1265.61;9.09;0.096;0.33;0.13;0.73;15
90;90010;pr;a;a;v;3;E;56.0;60000.0;1200.0;9.09;0.107;0.27;0.4;0.53;15
90;90010;pr;a;a;v;3;NS;60.0;60750.0;1010.71;9.09;0.108;0.0;1.0;0.0;2
90;90010;pr;a;a;v;3;VI;64.5;115450.0;1802.52;9.09;0.091;0.25;0.12;0.75;8
90;90010;pr;a;a;v;4;0;85.0;103819.5;1230.13;8.84;0.107;0.12;0.12;0.75;8
90;90010;pr;a;a;v;4;B;89.5;86200.0;962.93;8.84;0.11;1.0;0.0;1.0;2
90;90010;pr;a;a;v;4;C;80.0;149950.0;1761.47;8.84;0.06;0.0;0.25;0.75;4
90;90010;pr;a;a;v;4;D;80.5;109075.0;1311.7;8.84;0.099;0.0;0.5;0.42;12
90;90010;pr;a;a;v;4;E;77.5;87575.0;1071.14;8.84;0.111;0.36;0.21;0.64;14
90;90010;pr;a;a;v;4;F;70.0;88000.0;1257.14;8.84;0.084;0.0;0.0;1.0;1
90;90010;pr;a;a;v;4;NS;85.0;140000.0;1647.06;8.84;0.064;0.0;0.0;1.0;1
90;90010;pr;a;a;v;4;VI;78.0;77000.0;1109.13;8.84;0.107;0.22;0.11;0.78;9
90;90010;pr;a;a;v;5;0;92.0;71500.0;777.86;7.42;0.114;0.0;0.0;1.0;2
90;90010;pr;a;a;v;5;C;120.0;190000.0;1583.33;7.42;0.054;0.33;0.33;0.67;3
90;90010;pr;a;a;v;5;D;90.0;119900.0;1308.68;7.42;0.087;0.7;0.1;1.1;10
90;90010;pr;a;a;v;5;E;98.5;132500.0;1339.28;7.42;0.066;0.5;0.5;1.0;2
90;90010;pr;a;a;v;5;NS;100.0;77000.0;770.0;7.42;0.116;0.0;0.0;1.0;1
90;90010;pr;a;a;v;6;D;153.0;222500.0;1454.25;;;0.33;0.33;0.67;3
90;90010;pr;a;a;v;6;E;98.0;116600.0;1189.8;;;0.0;0.0;1.0;1
90;90010;pr;a;a;v;7;0;166.0;220000.0;1325.3;;;0.0;0.0;1.0;1
90;90010;pr;a;a;v;7;D;179.0;243750.0;1361.74;;;0.5;0.5;0.5;2
90;90010;pr;a;a;v;7;VI;166.0;220000.0;1325.3;;;0.0;0.0;1.0;1
90;90010;pr;a;m;v;10;E;195.0;259000.0;1328.21;;;0.0;1.0;1.0;1
90;90010;pr;a;m;v;11;D;350.0;652400.0;1906.0;;;0.0;0.0;1.5;2
90;90010;pr;a;m;v;3;D;92.0;143500.0;1559.78;;;0.0;0.0;1.0;1
90;90010;pr;a;m;v;4;D;88.0;166625.0;1893.47;7.54;0.048;0.0;0.0;1.0;1
90;90010;pr;a;m;v;5;0;80.0;143500.0;1793.75;9.62;0.064;0.0;0.0;1.0;1
