type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;m;l;0;85;500.0;4;900;;;0;0;1;0;0;;43.9005;4.10536;0;;;;False;0;;2019.0;1.0;1.0;;;;;;;;;Individuel;a;n;m;2020-04;30181;0000;301810000;Z;30
pr;a;l;2;46;;2;535;;;0;0;0;1;D;207;43.81978;4.33281;0;4.0;;1.0;True;0;D;1960.0;1.0;;;;;False;;;Électrique;;;a;n;a;2020-04;30189;1101;301891101;H;30
pr;a;l;0;22;;1;353;;;0;0;1;0;D;228;43.81848;4.32163;0;1.0;;;False;0;E;1993.0;;;;;;False;;;Gaz;;;a;n;a;2020-04;30189;1101;301891101;H;30
pr;a;l;0;27;;1;400;;;0;0;0;0;0;;43.84653;4.38701;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;30189;1601;301891601;H;30
pr;a;l;2;55;;3;548;;;0;1;1;0;C;111;43.82579;4.37325;0;;;0.0;;0;D;;;0.0;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;30189;0604;301890604;H;30
pr;m;l;0;90;150.0;4;711;;;0;0;1;0;0;;44.1081;4.1122;0;1.0;;1.0;False;0;;;;;;;;;;;;;Individuel;a;n;m;2020-04;30259;0000;302590000;Z;30
pr;a;l;0;68;;3;800;;;0;0;0;0;C;120;43.82857;4.35851;Oui;;;;;0;A;;;;;;;;0.0;;;;;a;;a;2020-04;30189;0204;301890204;H;30
pr;a;l;0;17;;1;335;;;0;0;0;0;C;124.0;43.83164;4.35808;0;;;;False;0;A;;;;False;False;;True;;;;;;a;n;a;2020-04;30189;0204;301890204;H;30
pr;a;l;1;51;;1;499;;;0;0;0;1;VI;;44.01285;4.41891;0;;;;;Est;A;;;;;False;;False;;;Électrique;Convecteur;;a;n;a;2020-04;30334;0101;303340101;H;30
pr;a;l;1;35;;2;585;;;0;0;0;1;VI;;44.01408;4.42119;0;;;;True;sud-est;A;;;;;True;;False;;;Électrique;;Collectif;a;n;a;2020-04;30334;0101;303340101;H;30
pr;a;l;3;75;;3;790;;;0;0;0;1;0;;43.81469;4.35776;0;3.0;;1.0;False;0;;;1.0;;;;;False;;;Gaz;;;;n;a;2020-04;30189;0704;301890704;A;30
pr;a;l;4;40;;2;545;;;0;0;0;1;C;119;43.81851;4.35609;0;4.0;;;;0;A;2011.0;1.0;1.0;;True;;True;;;Électrique;Climatisation révérsible;Individuel;a;n;a;2020-04;30189;0704;301890704;A;30
pr;a;l;0;46;150.0;2;680;;;0;0;1;0;VI;;43.74146;4.22237;0;;;1.0;True;0;G;;1.0;;;;;;;;;;Individuel;a;n;a;2020-04;30344;0000;303440000;Z;30
pr;m;l;0;140;;6;900;;;0;0;0;0;0;;43.7787;4.20957;Oui;;;;;0;;;;;;;;;;;;;;a;;m;2020-04;30062;0000;300620000;Z;30
pr;m;l;0;140;150.0;6;990;;;0;0;0;1;VI;;43.77858;4.21009;0;1.0;;;;0;G;;2.0;;;False;;;;;;;Individuel;a;n;m;2020-04;30062;0000;300620000;Z;30
pr;m;l;0;80;;4;685;;;0;0;0;1;VI;;43.86022;4.44263;0;2.0;;;False;0;G;;1.0;;;;;;;;Gaz;Radiateur;Individuel;a;n;m;2020-04;30156;0101;301560101;H;30
