REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
76.0;09;09002;pr;a;m;v;2;VI;120.0;19000.0;158.33;;;0.0;0.0;0.0;1
76.0;09;09002;pr;a;m;v;4;D;90.0;214000.0;2377.78;;;0.0;1.0;0.0;1
76.0;09;09002;pr;a;m;v;4;E;120.0;149500.0;1245.83;;;0.0;0.0;1.0;1
76.0;09;09002;pr;a;m;v;5;D;193.0;240000.0;1243.52;;;0.0;0.0;1.0;1
76.0;09;09002;pr;a;m;v;5;E;200.0;346500.0;1732.5;;;0.0;1.0;2.0;1
76.0;09;09002;pr;a;m;v;6;D;140.0;125000.0;892.86;;;0.0;3.0;0.0;1
76.0;09;09003;pr;a;m;v;4;E;95.0;75000.0;789.47;;;0.0;0.0;1.0;1
76.0;09;09004;pr;a;m;v;4;0;68.0;60000.0;882.35;;;0.0;0.0;0.0;1
76.0;09;09004;pr;a;m;v;5;C;220.0;234000.0;1063.64;;;0.0;2.0;0.0;1
76.0;09;09005;pr;a;m;v;7;NS;140.0;190000.0;1357.14;;;0.0;2.0;1.0;1
76.0;09;09009;pr;a;m;v;4;0;123.0;117700.0;956.91;;;0.0;0.0;1.0;1
76.0;09;09011;pr;a;m;v;4;0;51.0;65400.0;1282.35;;;0.0;1.0;0.0;1
76.0;09;09011;pr;a;m;v;4;NS;61.0;81750.0;1340.16;;;1.0;1.0;0.0;1
76.0;09;09013;pr;a;m;v;5;C;153.0;296100.0;1935.29;;;0.0;1.0;0.0;1
76.0;09;09014;pr;a;m;v;10;D;159.0;210000.0;1320.75;;;1.0;1.0;1.0;1
76.0;09;09014;pr;a;m;v;2;NS;66.0;14000.0;212.12;;;0.0;0.0;0.0;1
76.0;09;09014;pr;a;m;v;4;NS;140.0;95000.0;678.57;;;0.0;1.0;0.0;1
76.0;09;09014;pr;a;m;v;8;D;120.0;213000.0;1775.0;;;0.0;1.0;1.0;1
76.0;09;09015;pr;a;m;v;5;F;95.0;199000.0;2094.74;;;1.0;0.0;1.0;1
76.0;09;09015;pr;a;m;v;8;C;259.0;445200.0;1718.92;;;0.0;0.0;4.0;1
