type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;v;97490;;0;71;;2;80000;;;372;0;0;0;0;;-20.88831;55.45909;Non;;;;;0;;;;;;;;;25.0;;;;;a;;a;2020-04;97411;0109;974110109;H;974
pr;m;v;97419;;0;80;;4;299000;;;0;0;0;0;0;;-20.945;55.33846;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;97408;0201;974080201;H;974
pr;m;v;97419;;0;113;;4;360000;;;0;0;0;0;0;;-20.945;55.33846;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;97408;0201;974080201;H;974
pr;m;v;97419;;0;136;;4;477000;;;0;0;0;0;0;;-20.945;55.33846;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;97408;0201;974080201;H;974
pr;m;v;97419;;0;149;;4;508000;;;0;0;0;0;0;;-20.945;55.33846;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;97408;0201;974080201;H;974
pr;a;v;97438;;0;64;;3;240000;;;0;0;0;0;0;;-20.91958;55.51545;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;97418;0401;974180401;H;974
pr;a;v;97490;;0;57;;3;90000;;;417;0;0;0;0;;-20.90652;55.48804;Non;;;;;0;;;;;;;;;80.0;;;;;a;n;a;2020-03;97411;0805;974110805;H;974
pr;a;v;97490;97411;0;38;;2;98100;;;0;0;0;1;NS;;-20.90521;55.48979;Oui;3.0;;0.0;;0;;2009.0;1.0;0.0;;True;;False;;;Électrique;Climatisation révérsible;;a;n;a;2020-03;97411;0805;974110805;H;974
pr;a;l;97490;97411;1;23;;1;570;;;0;0;1;0;NS;;-20.90841;55.48603;0;5.0;;0.0;;Est;NS;;;1.0;;;;True;;;Électrique;;Individuel;a;n;a;2020-03;97411;0805;974110805;H;974
pr;a;l;97490;97411;5;75;;3;800;;;0;0;0;0;NS;;-20.90906;55.4857;0;5.0;;0.0;;0;NS;;;0.0;;;;True;;;Électrique;;;a;n;a;2020-03;97411;0805;974110805;H;974
