DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
2A;2A004;pr;a;a;v;5;B;110.0;472500.0;4405.26;13.26;0.038;1.0;1.5;1.0;2
2A;2A004;pr;a;a;v;5;C;133.5;608500.0;4869.88;13.26;0.034;0.17;0.5;0.83;6
2A;2A004;pr;a;a;v;5;D;126.0;399500.0;3699.07;13.26;0.046;0.33;1.0;0.67;3
2A;2A004;pr;a;a;v;5;E;156.0;590000.0;3782.05;13.26;0.042;1.0;1.0;1.0;1
2A;2A004;pr;a;a;v;5;F;105.0;399500.0;3804.72;13.26;0.042;0.5;1.5;0.5;2
2A;2A004;pr;a;a;v;5;NS;149.5;890000.0;5634.62;13.26;0.031;0.62;0.5;1.25;8
2A;2A004;pr;a;a;v;5;VI;109.0;499000.0;4577.98;13.26;0.044;1.0;0.67;0.0;3
2A;2A004;pr;a;a;v;6;0;116.5;375000.0;2873.7;;;0.0;0.25;0.5;4
2A;2A004;pr;a;a;v;6;C;160.0;650000.0;3544.3;;;0.33;0.33;1.0;3
2A;2A004;pr;a;a;v;6;F;147.0;550000.0;3741.5;;;0.0;0.0;1.0;1
2A;2A004;pr;a;a;v;6;VI;170.0;810000.0;4764.71;;;0.0;0.0;0.0;1
2A;2A004;pr;a;a;v;7;0;122.0;525000.0;4303.28;;;1.0;1.0;0.0;1
2A;2A004;pr;a;a;v;7;VI;170.0;525000.0;3088.24;;;0.0;2.0;0.0;1
2A;2A004;pr;a;a;vp;1;NS;34.0;169000.0;4970.59;19.91;0.048;0.0;1.0;0.0;1
2A;2A004;pr;a;a;vp;2;0;43.0;210000.0;4883.72;16.3;0.04;0.0;0.0;1.0;1
2A;2A004;pr;a;a;vp;3;C;102.0;650000.0;6372.55;12.86;0.024;0.0;0.0;1.0;1
2A;2A004;pr;a;a;vp;4;0;110.0;680000.0;5700.0;11.66;0.025;0.11;0.33;0.56;9
