type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;a;l;0;60;;3;1000;;;0;0;0;0;A;10;43.67098;7.01692;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;06112;0000;061120000;Z;06;93.0
pr;a;l;0;56;;3;1900;;;0;0;0;0;0;;43.79161;7.21836;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;06034;0000;060340000;Z;06;93.0
pr;a;l;0;60;;3;500;;;0;0;0;0;A;;43.67802;7.22295;Non;;;;;0;A;;;;;;;;;;;;;a;;a;2020-04;06088;2803;060882803;H;06;93.0
pr;a;l;0;65;;3;1000;;;0;0;0;0;0;;43.70445;7.29311;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;06088;0305;060880305;H;06;93.0
pr;a;l;1;65;;3;1050;;;0;0;0;0;0;;43.70406;7.29298;0;;;;;Nord-Est;;;;;;;;;;;Électrique;Convecteur;;a;n;a;2020-04;06088;0305;060880305;H;06;93.0
pr;a;l;0;40;;3;900;;;0;0;0;0;0;;43.76638;7.48654;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;06083;0101;060830101;H;06;93.0
pr;a;l;1;22;;1;460;;;0;0;1;0;0;;43.30389;5.41645;0;;;;False;0;;;1.0;1.0;;;;;;;Électrique;Radiateur;Individuel;a;n;a;2020-04;13212;0402;132120402;H;13;93.0
pr;a;l;0;55;;2;700;;;0;0;0;0;0;;43.30852;5.41886;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;13212;0402;132120402;H;13;93.0
pr;a;l;0;46;;2;700;;;0;0;0;0;0;;43.2977;5.38652;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;13201;0602;132010602;H;13;93.0
pr;a;l;0;58;;2;600;;;0;0;0;0;E;260;43.29075;5.38351;Non;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;13206;0301;132060301;H;13;93.0
pr;a;l;0;55;;2;600;;;0;0;0;0;0;;43.29476;5.39547;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;13205;0207;132050207;H;13;93.0
