DEPCOM;LIBCOM;UU2010;REG;DEP
33021;Auros;33000;75;33
03011;Aurouër;03000;84;03
48010;Auroux;48000;76;48
14011;Aurseulles;14000;28;14
81020;Aussac;81000;76;81
16024;Aussac-Vadalle;16000;75;16
31030;Ausseing;31000;76;31
64080;Aussevielle;64601;75;64
81021;Aussillon;81401;76;81
73023;Aussois;73000;84;73
31031;Ausson;00252;76;31
08032;Aussonce;08000;44;08
31032;Aussonne;31701;76;31
32468;Aussos;32000;76;32
64081;Aussurucq;64000;75;64
41006;Autainville;41000;24;41
25032;Autechaux;25000;27;25
25033;Autechaux-Roide;25203;27;25
31033;Auterive;31208;76;31
32019;Auterive;32000;76;32
82006;Auterive;82000;76;82
64082;Auterrive;64000;75;64
70037;Autet;70000;27;70
60030;Auteuil;60000;32;60
78034;Auteuil;78000;11;78
64083;Autevielle-Saint-Martin-Bideren;64000;75;64
08033;Authe;08000;44;08
27025;Autheuil-Authouillet;27000;28;27
60031;Autheuil-en-Valois;60000;32;60
80042;Autheux;80000;32;80
27026;Authevernes;27000;28;27
63021;Authezat;63000;84;63
14030;Authie;14000;28;14
80043;Authie;80000;32;80
80044;Authieule;80204;32;80
76038;Authieux-Ratiéville;76000;28;76
58018;Authiou;58000;27;58
70038;Authoison;70000;27;70
04016;Authon;04000;93;04
41007;Authon;41000;24;41
28018;Authon-du-Perche;28000;24;28
17026;Authon-Ébéon;17000;75;17
91035;Authon-la-Plaine;91000;11;91
27028;Authou;27000;28;27
80045;Authuille;80000;32;80
39030;Authume;39402;27;39
71013;Authumes;71000;27;71
26021;Autichamp;26000;84;26
34018;Autignac;34000;76;34
76040;Autigny;76000;28;76
88019;Autigny-la-Tour;88000;44;88
52029;Autigny-le-Grand;52000;44;52
52030;Autigny-le-Petit;52000;44;52
62059;Autingues;62000;32;62
46011;Autoire;46000;76;46
70039;Autoreille;70000;27;70
78036;Autouillet;78000;11;78
43014;Autrac;43000;84;43
38225;Autrans-Méaudre en Vercors;38000;84;38
37009;Autrèche;37000;24;37
90082;Autrechêne;90000;27;90
60032;Autrêches;60000;32;60
08034;Autrecourt-et-Pourron;08000;44;08
55017;Autrécourt-sur-Aire;55000;44;55
02039;Autremencourt;02000;32;02
54030;Autrepierre;54000;44;54
02040;Autreppes;02000;32;02
02041;Autreville;02303;32;02
88020;Autreville;88000;44;88
55018;Autréville-Saint-Lambert;55000;44;55
52031;Autreville-sur-la-Renne;52000;44;52
54031;Autreville-sur-Moselle;54000;44;54
54032;Autrey;54000;44;54
88021;Autrey;88000;44;88
70040;Autrey-lès-Cerre;70000;27;70
70041;Autrey-lès-Gray;70000;27;70
70042;Autrey-le-Vay;70000;27;70
21034;Autricourt;21000;27;21
08035;Autruche;08000;44;08
45015;Autruy-sur-Juine;45000;24;45
08036;Autry;08000;44;08
03012;Autry-Issards;03000;84;03
45016;Autry-le-Châtel;45000;24;45
71014;Autun;71302;27;71
82007;Auty;82000;76;82
06008;Auvare;06000;93;06
51027;Auve;51000;44;51
91037;Auvernaux;91000;11;91
43015;Auvers;43000;84;43
50023;Auvers;50000;28;50
72016;Auvers-le-Hamon;72000;52;72
91038;Auvers-Saint-Georges;91303;11;91
72017;Auvers-sous-Montfaucon;72000;52;72
95039;Auvers-sur-Oise;00851;11;95
70043;Auvet-et-la-Chapelotte;70000;27;70
82008;Auvillar;82000;76;82
14033;Auvillars;14000;28;14
21035;Auvillars-sur-Saône;21000;27;21
08037;Auvillers-les-Forges;08000;44;08
76042;Auvilliers;76000;28;76
45017;Auvilliers-en-Gâtinais;45000;24;45
60703;Aux Marais;60000;32;60
50024;Auxais;50000;28;50
39031;Auxange;39000;27;39
21036;Auxant;21000;27;21
32020;Aux-Aussat;32000;76;32
90005;Auxelles-Bas;90000;27;90
90006;Auxelles-Haut;90000;27;90
89024;Auxerre;89402;27;89
21037;Auxey-Duresses;21000;27;21
62060;Auxi-le-Château;62110;32;62
10018;Auxon;10000;44;10
70044;Auxon;70000;27;70
21038;Auxonne;21206;27;21
45018;Auxy;45000;24;45
71015;Auxy;71000;27;71
88022;Auzainvilliers;88000;44;88
23013;Auzances;23000;75;23
31034;Auzas;31000;76;31
09030;Auzat;09000;76;09
63022;Auzat-la-Combelle;63000;84;63
76043;Auzebosc;76000;28;76
63023;Auzelles;63000;84;63
15015;Auzers;15000;84;15
04017;Auzet;04000;93;04
31035;Auzeville-Tolosane;31701;76;31
31036;Auzielle;31701;76;31
12016;Auzits;12000;76;12
43016;Auzon;43000;84;43
37010;Auzouer-en-Touraine;37203;24;37
76045;Auzouville-l'Esneval;76000;28;76
76046;Auzouville-sur-Ry;76000;28;76
76047;Auzouville-sur-Saâne;76000;28;76
86014;Availles-en-Châtellerault;86000;75;86
86015;Availles-Limouzine;86000;75;86
35008;Availles-sur-Seiche;35000;53;35
79022;Availles-Thouarsais;79000;75;79
65050;Avajan;65000;76;65
89025;Avallon;89203;27;89
05011;Avançon;05000;93;05
08038;Avançon;08000;44;08
25036;Avanne-Aveney;25602;27;25
10020;Avant-lès-Marcilly;10000;44;10
10021;Avant-lès-Ramerupt;10000;44;10
86016;Avanton;86000;75;86
2B025;Avapessa;2B000;94;2B
41008;Avaray;41000;24;41
08039;Avaux;08000;44;08
69014;Aveize;69000;84;69
42010;Aveizieux;42000;84;42
21039;Avelanges;21000;27;21
80046;Avelesges;80000;32;80
59034;Avelin;59702;32;59
80047;Aveluy;80000;32;80
14034;Avenay;14000;28;14
51028;Avenay-Val-d'Or;51000;44;51
34019;Avène;34000;76;34
32021;Avensac;32000;76;32
33022;Avensan;33000;75;33
65051;Aventignan;65000;76;65
65052;Averan;65000;76;65
62061;Averdoingt;62000;32;62
41009;Averdon;41000;24;41
03013;Avermes;03401;84;03
95040;Avernes;95000;11;95
61018;Avernes-Saint-Gourgon;61000;28;61
32022;Avéron-Bergelle;32000;76;32
53013;Averton;53000;52;53
59035;Avesnelles;59209;32;59
62062;Avesnes;62000;32;62
80048;Avesnes-Chaussoy;80000;32;80
76048;Avesnes-en-Bray;76000;28;76
72018;Avesnes-en-Saosnois;72000;52;72
76049;Avesnes-en-Val;76000;28;76
62063;Avesnes-le-Comte;62101;32;62
59037;Avesnes-les-Aubert;59124;32;59
62064;Avesnes-lès-Bapaume;62116;32;62
59038;Avesnes-le-Sec;59000;32;59
59036;Avesnes-sur-Helpe;59209;32;59
44007;Avessac;44000;52;44
72019;Avessé;72000;52;72
65053;Aveux;65000;76;65
65054;Avezac-Prat-Lahitte;65000;76;65
32023;Avezan;32000;76;32
30026;Avèze;30209;76;30
63024;Avèze;63000;84;63
72020;Avezé;72000;52;72
84007;Avignon;00754;93;84
38023;Avignonet;38000;84;38
31037;Avignonet-Lauragais;31000;76;31
39032;Avignon-lès-Saint-Claude;39000;27;39
54033;Avillers;54000;44;54
88023;Avillers;88000;44;88
55021;Avillers-Sainte-Croix;55000;44;55
25038;Avilley;25000;27;25
60033;Avilly-Saint-Léonard;60402;32;60
62065;Avion;00756;32;62
55022;Avioth;55000;44;55
10022;Avirey-Lingey;10000;44;10
27031;Aviron;27000;28;27
51029;Avize;51000;44;51
55023;Avocourt;55000;44;55
37011;Avoine;37111;24;37
61020;Avoine;61000;28;61
72021;Avoise;72000;52;72
67016;Avolsheim;67401;44;67
77014;Avon;77406;11;77
79023;Avon;79000;75;79
62066;Avondance;62000;32;62
10023;Avon-la-Pèze;10000;44;10
37012;Avon-les-Roches;37000;24;37
18018;Avord;18102;24;18
21040;Avosnes;21000;27;21
21041;Avot;21000;27;21
25039;Avoudrey;25000;27;25
54034;Avrainville;54000;44;54
88024;Avrainville;88000;44;88
91041;Avrainville;91000;11;91
50025;Avranches;50301;28;50
88025;Avranville;88000;44;88
60034;Avrechy;60000;32;60
52033;Avrecourt;52000;44;52
58019;Avrée;58000;27;58
76050;Avremesnil;76000;28;76
73025;Avressieux;73000;84;73
10024;Avreuil;10000;44;10
54035;Avricourt;54000;44;54
57042;Avricourt;57000;44;57
60035;Avricourt;60000;32;60
73026;Avrieux;73000;84;73
70045;Avrigney-Virey;70000;27;70
60036;Avrigny;60000;32;60
54036;Avril;54000;44;54
49015;Avrillé;49701;52;49
85010;Avrillé;85000;52;85
37013;Avrillé-les-Ponceaux;37000;24;37
03014;Avrilly;03000;84;03
61021;Avrilly;61000;28;61
58020;Avril-sur-Loire;58000;27;58
62067;Avroult;62000;32;62
17027;Avy;17000;75;17
97361;Awala-Yalimapo;9C000;03;973
59039;Awoingt;59403;32;59
11021;Axat;11000;76;11
09031;Axiat;09000;76;09
09032;Ax-les-Thermes;09000;76;09
63025;Ayat-sur-Sioule;63000;84;63
51030;Aÿ-Champagne;51203;44;51
63026;Aydat;63000;84;63
64084;Aydie;64000;75;64
64085;Aydius;64000;75;64
88026;Aydoilles;88000;44;88
19015;Ayen;19000;75;19
80049;Ayencourt;80202;32;80
62068;Ayette;62000;32;62
66010;Ayguatébia-Talau;66000;76;66
33023;Ayguemorte-les-Graves;33207;75;33
31004;Ayguesvives;31000;76;31
32024;Ayguetinte;32000;76;32
64086;Ayherre;64000;75;64
73027;Ayn;73000;84;73
46012;Aynac;46000;76;46
15016;Ayrens;15000;84;15
86017;Ayron;86000;75;86
65055;Ayros-Arbouix;65000;76;65
74024;Ayse;74502;84;74
12017;Ayssènes;12000;76;12
57043;Ay-sur-Moselle;57131;44;57
17028;Aytré;17601;75;17
65056;Ayzac-Ost;65204;76;65
32025;Ayzieu;32000;76;32
55024;Azannes-et-Soumazannes;55000;44;55
31038;Azas;31000;76;31
23014;Azat-Châtenet;23000;75;23
87006;Azat-le-Ris;87000;75;87
79024;Azay-le-Brûlé;79000;75;79
36010;Azay-le-Ferron;36000;24;36
37014;Azay-le-Rideau;37112;24;37
37015;Azay-sur-Cher;37000;24;37
37016;Azay-sur-Indre;37000;24;37
79025;Azay-sur-Thouet;79000;75;79
41010;Azé;41000;24;41
71016;Azé;71000;27;71
54037;Azelot;54000;44;54
23015;Azerables;23000;75;23
54038;Azerailles;54000;44;54
24019;Azerat;24000;75;24
43017;Azérat;43000;84;43
65057;Azereix;65000;76;65
65058;Azet;65000;76;65
50026;Azeville;50000;28;50
34020;Azillanet;34000;76;34
11022;Azille;11000;76;11
2A026;Azilone-Ampaza;2A000;94;2A
62069;Azincourt;62000;32;62
69016;Azolette;69000;84;69
57044;Azoudange;57000;44;57
40021;Azur;40000;75;40
18019;Azy;18000;24;18
58021;Azy-le-Vif;58000;27;58
02042;Azy-sur-Marne;02000;32;02
2A027;Azzana;2A000;94;2A
55025;Baâlon;55000;44;55
08041;Baâlons;08000;44;08
34021;Babeau-Bouldoux;34000;76;34
60037;Baboeuf;60000;32;60
77015;Baby;77000;11;77
54039;Baccarat;54201;44;54
45019;Baccon;45000;24;45
46013;Bach;46000;76;46
59041;Bachant;59601;32;59
31039;Bachas;31000;76;31
31040;Bachos;31000;76;31
59042;Bachy;59000;32;59
50027;Bacilly;50000;28;50
51031;Baconnes;51000;44;51
60039;Bacouël;60000;32;60
80050;Bacouel-sur-Selle;80000;32;80
57045;Bacourt;57000;44;57
27033;Bacquepuis;27000;28;27
27034;Bacqueville;27000;28;27
76051;Bacqueville-en-Caux;76000;28;76
15017;Badailhac;15000;84;15
48013;Badaroux;48000;76;48
36158;Badecon-le-Pin;36000;24;36
24021;Badefols-d'Ans;24000;75;24
24022;Badefols-sur-Dordogne;24000;75;24
56008;Baden;56000;53;56
11023;Badens;11000;76;11
25040;Badevel;25000;27;25
88027;Badménil-aux-Bois;88000;44;88
54040;Badonviller;54000;44;54
55026;Badonvilliers-Gérauvilliers;55000;44;55
67017;Baerendorf;67000;44;67
57046;Baerenthal;57000;44;57
63027;Baffie;63000;84;63
30027;Bagard;30501;76;30
33024;Bagas;33206;75;33
01025;Bâgé-Dommartin;01000;84;01
01026;Bâgé-le-Châtel;01000;84;01
09033;Bagert;09000;76;09
11024;Bages;11000;76;11
66011;Bages;66113;76;66
31041;Bagiry;31000;76;31
46015;Bagnac-sur-Célé;46000;76;46
89027;Bagneaux;89000;27;89
77016;Bagneaux-sur-Loing;77401;11;77
65059;Bagnères-de-Bigorre;65301;76;65
31042;Bagnères-de-Luchon;31113;76;31
02043;Bagneux;02000;32;02
03015;Bagneux;03000;84;03
36011;Bagneux;36000;24;36
51032;Bagneux;51000;44;51
54041;Bagneux;54000;44;54
92007;Bagneux;00851;11;92
10025;Bagneux-la-Fosse;10000;44;10
17029;Bagnizeau;17000;75;17
11025;Bagnoles;11000;76;11
61483;Bagnoles de l'Orne Normandie;61105;28;61
93006;Bagnolet;00851;11;93
63028;Bagnols;63000;84;63
69017;Bagnols;69207;84;69
83008;Bagnols-en-Forêt;83102;93;83
30028;Bagnols-sur-Cèze;30401;76;30
21042;Bagnot;21000;27;21
35009;Baguer-Morvan;35000;53;35
35010;Baguer-Pican;35000;53;35
66012;Baho;66601;76;66
40022;Bahus-Soubiran;40000;75;40
97103;Baie-Mahault;9A701;01;971
28019;Baigneaux;28000;24;28
33025;Baigneaux;33000;75;33
70047;Baignes;70000;27;70
16025;Baignes-Sainte-Radegonde;16000;75;16
21043;Baigneux-les-Juifs;21000;27;21
40023;Baigts;40000;75;40
64087;Baigts-de-Béarn;64000;75;64
34022;Baillargues;34212;76;34
28023;Bailleau-Armenonville;28202;24;28
28021;Bailleau-le-Pin;28000;24;28
28022;Bailleau-l'Évêque;28000;24;28
66013;Baillestavy;66000;76;66
95042;Baillet-en-France;95203;11;95
59043;Bailleul;59501;32;59
61023;Bailleul;61000;28;61
80051;Bailleul;80000;32;80
62070;Bailleul-aux-Cornailles;62000;32;62
27035;Bailleul-la-Vallée;27000;28;27
60040;Bailleul-le-Soc;60000;32;60
62071;Bailleul-lès-Pernes;62000;32;62
62072;Bailleulmont;62000;32;62
76052;Bailleul-Neuville;76000;28;76
62073;Bailleul-Sir-Berthoult;62000;32;62
60041;Bailleul-sur-Thérain;60102;32;60
62074;Bailleulval;62000;32;62
60042;Bailleval;60000;32;60
97104;Baillif;9A501;01;971
76053;Baillolet;76000;28;76
41012;Baillou;41000;24;41
60043;Bailly;60000;32;60
78043;Bailly;78302;11;78
52034;Bailly-aux-Forges;52000;44;52
76054;Bailly-en-Rivière;76000;28;76
10026;Bailly-le-Franc;10000;44;10
77018;Bailly-Romainvilliers;77301;11;77
62075;Baincthun;62000;32;62
35012;Bain-de-Bretagne;35212;53;35
62076;Bainghen;62000;32;62
43018;Bains;43000;84;43
35013;Bains-sur-Oust;35000;53;35
54042;Bainville-aux-Miroirs;54000;44;54
88030;Bainville-aux-Saules;88000;44;88
54043;Bainville-sur-Madon;54302;44;54
