type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;m;v;0;100;130.0;5;106000;;;0;1;0;0;NS;;16.26747;-61.58931;Oui;;;;False;0;NS;1980.0;;;;;;;;;;;;m;n;m;2020-04;97103;0106;971030106;H;971;11.96;1.0;0.135;16.97;4.0;0.192;1060.0
pr;a;v;0;42;;1;195000;;;0;0;0;0;NS;;16.2662;-61.27019;Oui;;;1.0;False;0;NS;;;;;False;;True;88.0;1884.0;;;;m;n;a;2020-04;97125;0103;971250103;H;971;;;;24.32;4.0;0.063;4642.86
pr;m;v;0;348;;9;820000;;;0;1;0;4;B;81.0;16.21521;-61.42815;Oui;1.0;;4.0;True;Sud;;;4.0;;;;;;2.0;;;;;a;n;m;2020-03;97113;0107;971130107;H;971;;;;;;;2356.32
pr;a;v;0;49;;2;196000;;;0;0;1;0;NS;;16.21158;-61.4304;Non;1.0;;1.0;;0;;;1.0;;;False;;False;28.0;1300.0;;;;m;n;a;2020-03;97113;0107;971130107;H;971;18.1;1.0;0.054;17.7;24.0;0.053;4000.0
pr;a;v;0;69;;3;157900;;;0;0;0;0;NS;;16.02312;-61.70928;Oui;;;;False;0;NS;1960.0;;;;False;;False;;;;;;m;n;a;2020-03;97124;0103;971240103;H;971;14.91;1.0;0.078;14.91;2.0;0.078;2288.41
pr;m;v;0;190;524.0;8;270000;;;0;0;1;1;F;350.0;16.02891;-61.70438;Non;2.0;;;False;0;;1967.0;4.0;1.0;;;;;;;;;;a;n;m;2020-03;97124;0103;971240103;H;971;;;;;;;1421.05
pr;m;v;0;144;1080.0;6;298000;;;0;0;2;1;F;350;16.02891;-61.70438;Non;2.0;;;False;0;;1967.0;3.0;1.0;;;;;;;;;;a;n;m;2020-03;97124;0103;971240103;H;971;;;;;;;2069.44
pr;m;v;0;315;2606.0;11;770000;;;0;0;0;4;0;;16.09575;-61.56982;Non;;;8.0;;0;;;;;;;;;;;;;;a;n;m;2020-03;97107;0104;971070104;H;971;;;;;;;2444.44
pr;m;v;0;150;1000.0;4;335000;;;0;0;0;0;VI;;16.18657;-61.6548;Non;;;;;0;VI;;;;;;;;;;;;;a;n;m;2020-03;97118;0102;971180102;H;971;;;;16.27;7.0;0.087;2233.33
pr;a;v;1;83;;4;215000;;;0;0;0;2;0;;16.21588;-61.62029;Non;1.0;;2.0;;0;;;;;;;;;140.0;1960.48;;;;a;n;a;2020-03;97118;0104;971180104;H;971;12.61;2.0;0.058;12.61;2.0;0.058;2590.36
pr;a;v;3;70;;4;129000;;;0;0;1;1;VI;;16.27649;-61.50831;Oui;;;;;0;;;1.0;;;;;;;;;;;a;n;a;2020-03;97101;0101;971010101;H;971;10.45;2.0;0.068;11.02;17.0;0.072;1842.86
pr;m;v;0;146;740.0;5;265000;;;0;0;1;0;F;350;16.26575;-61.51736;Non;;;;False;0;G;1990.0;1.0;;;;;;;;;;;a;n;m;2020-03;97101;0101;971010101;H;971;10.54;1.0;0.07;8.33;3.0;0.055;1815.07
pr;m;v;0;160;1000.0;6;352000;;;0;0;4;0;NS;;15.98926;-61.62949;Non;2.0;;;False;0;NS;;3.0;;;;;;;;;;;a;n;m;2020-03;97132;0103;971320103;D;971;;;;;;;2200.0
pr;m;v;0;150;1000.0;5;189000;;;0;0;0;2;0;;15.99235;-61.65188;Oui;;;1.0;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-03;97132;0103;971320103;D;971;;;;10.92;2.0;0.104;1260.0
pr;m;v;0;172;789.0;6;265000;;;0;0;0;3;0;;15.9814;-61.64088;Oui;;;4.0;;0;;;;;;;;;;;;;;a;n;m;2020-03;97132;0103;971320103;D;971;;;;;;;1540.7
pr;a;v;3;62;;3;217000;;;0;0;1;0;NS;;16.25554;-61.52447;Non;4.0;;;;0;;;;;;True;;True;;;;;;m;n;a;2020-03;97101;0109;971010109;H;971;12.0;1.0;0.041;12.0;15.0;0.041;3500.0
pr;a;v;0;27;;1;88000;;;0;0;0;1;0;;16.21727;-61.4906;Non;;;1.0;False;0;;1988.0;1.0;1.0;;;;False;;1200.0;;;;a;n;a;2020-03;97113;0102;971130102;H;971;18.6;6.0;0.068;20.0;15.0;0.074;3259.26
pr;m;v;0;120;378.0;5;202781;;;0;0;1;0;D;211.0;16.25898;-61.2782;Non;1.0;;1.0;;Nord;;;2.0;;;False;;;;;;;Individuel;m;n;m;2020-03;97125;0102;971250102;H;971;18.06;1.0;0.128;13.56;2.0;0.096;1689.84
pr;a;v;0;36;;2;175000;;;0;0;0;0;0;;16.33188;-61.34462;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;97117;0106;971170106;H;971;10.7;2.0;0.026;15.01;4.0;0.037;4861.11
pr;a;v;0;44;;1;151000;;;0;0;0;0;0;;16.25248;-61.27376;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;97125;0101;971250101;H;971;27.5;1.0;0.096;24.32;4.0;0.085;3431.82
pr;m;v;0;176;1660.0;5;386000;;;0;0;3;1;VI;;15.99422;-61.71937;Non;;;;False;0;VI;1978.0;2.0;1.0;;;;;;;;;;a;n;m;2020-03;97105;0103;971050103;H;971;;;;;;;2193.18
pr;a;v;2;36;;2;123000;;;0;0;0;1;A;2.08;15.97999;-61.71083;Non;4.0;;1.0;False;Nord;;1999.0;1.0;;;;;;60.0;792.0;;;;a;n;a;2020-03;97109;0101;971090101;D;971;;;;17.92;2.0;0.063;3416.67
