type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;mn;v;69210;;0;100;600.0;5;319500;;;0;0;2;0;0;;45.86124;4.5811;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69032;0000;690320000;Z;69;;;;;;;3195.0
pr;mn;v;69210;;0;120;600.0;5;351000;;;0;0;2;0;0;;45.86124;4.5811;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69032;0000;690320000;Z;69;;;;;;;2925.0
pr;a;v;69500;;0;44;;2;195000;;;0;0;0;0;0;;45.74811;4.91161;Non;;;;;0;;;;;;;;;;;;;;ca;;a;2020-04;69029;0102;690290102;H;69;13.135000000000002;8.0;0.036;14.05;63.0;0.038;4431.82
pr;mn;v;69220;;0;90;400.0;5;198824;114824.0;84000.0;0;0;1;0;0;;46.12433;4.76124;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69242;0000;692420000;Z;69;;;;;;;2209.16
pr;mn;v;69220;;0;103;380.0;5;203929;120429.0;83500.0;0;0;0;0;0;;46.12433;4.76124;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69242;0000;692420000;Z;69;;;;;;;1979.89
pr;m;v;69500;;0;90;;5;425000;;;0;0;0;0;0;;45.73187;4.91346;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69029;0402;690290402;H;69;;;;14.61;2.0;0.037;4722.22
pr;mn;v;69930;;0;89;608.0;4;217539;132939.0;84600.0;0;0;1;0;0;;45.73855;4.45837;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69220;0000;692200000;Z;69;;;;;;;2444.26
pr;mn;v;69930;;0;84;650.0;5;226354;148854.0;77500.0;0;0;1;0;0;;45.73855;4.45837;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69220;0000;692200000;Z;69;;;;;;;2694.69
pr;a;v;69400;;0;54;;3;90000;;;392;0;0;0;E;320;45.99218;4.71871;Oui;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;69264;0401;692640401;H;69;9.620000000000001;38.0;0.069;10.09;142.0;0.073;1666.67
pr;a;v;69370;;0;48;;3;380000;;;1575;0;0;0;E;260;45.80015;4.80924;Oui;;;;;0;C;;;;;;;;16.0;;;;;a;;a;2020-04;69194;0102;691940102;H;69;18.09;2.0;0.027;18.09;2.0;0.027;7916.67
pr;m;v;69430;;0;81;;4;120000;;;524;0;0;0;D;184;46.14681;4.62321;Oui;;;;;0;E;;;;;;;;;;;;;a;;m;2020-04;69109;0000;691090000;Z;69;;;;;;;1481.48
pr;mn;v;69170;;0;100;537.0;5;229304;149304.0;80000.0;0;0;0;0;0;;45.90308;4.42288;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69243;0102;692430102;H;69;;;;;;;2293.04
pr;a;v;69100;;0;52;;3;170000;;;710;0;0;0;F;363;45.77744;4.88532;Oui;;;;;0;G;;;;;;;;10.0;;;;;a;;a;2020-04;69266;0702;692660702;H;69;14.969999999999999;4.0;0.055;12.84;317.0;0.047;3269.23
pr;m;v;69970;;0;137;;5;435000;;;0;0;0;0;0;;45.64003;4.94274;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69270;0000;692700000;Z;69;11.52;1.0;0.044;11.52;1.0;0.044;3175.18
pr;mn;v;69540;;0;138;569.0;5;544500;214500.0;330000.0;0;0;0;0;0;;45.6798;4.81138;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69100;0103;691000103;H;69;12.27;1.0;0.037;12.27;1.0;0.037;3945.65
pr;m;v;69400;;0;95;;4;298000;;;0;0;0;0;0;;45.99059;4.69629;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69092;0102;690920102;H;69;;;;;;;3136.84
pr;a;v;69340;;0;80;;4;370000;;;1462;0;0;0;B;70;45.73916;4.77314;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;69089;0201;690890201;H;69;10.49;3.0;0.027;10.7;6.0;0.028;4625.0
pr;a;v;69340;;0;85;;4;390000;;;1520;0;0;0;B;70;45.73916;4.77314;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;69089;0201;690890201;H;69;10.49;3.0;0.027;10.7;6.0;0.028;4588.24
pr;a;v;69008;;0;80;;4;530000;;;2097;0;0;0;B;70;45.74263;4.86834;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;69388;0202;693880202;H;69;13.465;2.0;0.024;12.44;63.0;0.023;6625.0
