type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;47310;;0;55;;3;600;;;0;0;0;0;D;206;44.16988;0.57578;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;47091;0000;470910000;Z;47
pr;mn;v;47170;;0;90;1200.0;4;165000;125000.0;40000.0;0;0;0;0;0;;44.10275;0.29159;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;47009;0000;470090000;Z;47
pr;m;l;47240;;0;45;;2;400;;;0;0;0;0;0;;44.18598;0.67367;Non;;;;;0;;;;;;;;;;;;;;a;;m;2020-04;47032;0102;470320102;H;47
pr;mn;v;47600;;0;69;350.0;3;137500;102500.0;35000.0;0;0;0;0;0;;44.12598;0.34549;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;47195;0102;471950102;H;47
pr;a;l;47000;47001;0;20;;1;380;;;0;0;1;0;E;257;44.20202;0.61705;0;;;0.0;;0;B;;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-03;47001;0101;470010101;H;47
pr;m;v;47000;47001;0;210;4600.0;6;349990;;;0;0;1;1;C;118.0;44.20155;0.61244;Non;1.0;;;True;Sud;A;;2.0;;;;;;;;;;;m;n;m;2020-03;47001;0101;470010101;H;47
pr;a;v;47000;47001;2;46;;2;90000;;;0;1;0;1;0;;44.20441;0.61934;Oui;3.0;;;False;0;;;1.0;;;True;;False;15.0;1143.25;Électrique;;Individuel;a;n;a;2020-03;47001;0101;470010101;H;47
pr;a;v;47000;47001;0;71;;3;92000;;;0;0;0;1;VI;;44.20154;0.61213;Non;3.0;;;;0;NS;;1.0;;;;;False;6.0;;Électrique;;Individuel;a;n;a;2020-03;47001;0101;470010101;H;47
pr;a;v;47000;47001;0;30;;1;39000;;;0;0;1;0;VI;;44.20154;0.61213;Non;3.0;;;;0;VI;;1.0;;;;;False;6.0;;Électrique;Radiateur;Individuel;a;n;a;2020-03;47001;0101;470010101;H;47
pr;a;v;47000;47001;3;55;;2;66700;;;0;0;1;0;0;;44.20377;0.61696;Oui;3.0;;;False;0;;;1.0;;;False;;False;4.0;120.0;Électrique;;Individuel;a;n;a;2020-03;47001;0101;470010101;H;47
pr;a;l;47000;47001;3;83;;3;585;;;0;1;0;1;0;;44.20588;0.61998;0;4.0;;;True;0;;;;;;True;;False;;;Électrique;Convecteur;;a;n;a;2020-03;47001;0101;470010101;H;47
pr;a;l;47000;47001;0;20;;1;340;;;0;0;0;0;G;645;44.2047;0.62002;0;2.0;;;;0;D;;;;;;;;;;;;;a;n;a;2020-03;47001;0101;470010101;H;47
pr;m;v;47300;47323;0;156;506.0;6;107000;;;0;0;1;1;D;160;44.41337;0.71574;Non;;;2.0;True;Nord-Ouest;E;;2.0;;;;;;;;;;;a;n;m;2020-03;47323;0201;473230201;H;47
pr;m;v;47300;47323;0;120;709.0;4;154000;;;0;0;0;1;D;218;44.42027;0.70723;Non;;;2.0;True;Est;A;;1.0;;;;;;;;;;;a;n;m;2020-03;47323;0201;473230201;H;47
pr;a;l;47300;47323;2;34;;2;385;;;0;1;1;0;E;293.0;44.41818;0.71824;0;2.0;;1.0;True;Sud;C;;1.0;;;;;;;;;;;a;n;a;2020-03;47323;0201;473230201;H;47
pr;a;v;47600;47195;0;29;;2;60500;;;0;0;1;0;0;;44.1465;0.34307;Non;1.0;;1.0;False;0;;2010.0;1.0;1.0;;;;False;;;Électrique;Radiateur;Individuel;m;n;a;2020-03;47195;0103;471950103;H;47
pr;a;v;47600;47195;1;44;;2;34500;;;0;1;1;0;D;196;44.13922;0.34826;Non;1.0;;1.0;False;0;B;;1.0;;;;9.0;False;;;Électrique;;;m;n;a;2020-03;47195;0103;471950103;H;47
pr;m;v;47300;47215;0;112;;3;212000;;;0;0;0;1;NS;;44.3916;0.68947;Non;1.0;;1.0;False;0;;;2.0;;;;;;;;;;;m;n;m;2020-03;47215;0000;472150000;Z;47
