INSEE_COM;typedebien_lite;nb_pieces;loyer_m2_median;nb_log;cle2
26330;m;6;5.91;1;26330-m-6
26332;a;3;5.71;3;26332-a-3
26332;a;4;6.25;1;26332-a-4
26332;m;4;8.67;1;26332-m-4
26332;m;5;7.33;1;26332-m-5
26333;a;1;14.184999999999999;2;26333-a-1
26333;a;2;9.86;3;26333-a-2
26333;a;3;6.92;5;26333-a-3
26333;a;4;5.78;1;26333-a-4
26333;m;2;10.86;1;26333-m-2
26333;m;3;7.82;1;26333-m-3
26337;m;3;6.75;1;26337-m-3
26337;m;4;7.38;3;26337-m-4
26338;a;3;7.47;1;26338-a-3
26338;m;3;10.8;1;26338-m-3
26338;m;4;9.95;1;26338-m-4
26341;a;3;8.6;1;26341-a-3
26341;a;4;6.88;1;26341-a-4
26341;m;3;6.92;1;26341-m-3
26341;m;5;6.82;1;26341-m-5
26345;a;1;25.0;1;26345-a-1
26345;a;2;11.92;1;26345-a-2
26345;a;3;7.755000000000001;2;26345-a-3
26345;a;4;7.76;1;26345-a-4
26345;m;4;10.93;1;26345-m-4
26345;m;5;8.5;1;26345-m-5
26347;a;1;15.0;7;26347-a-1
26347;a;2;10.7;4;26347-a-2
26347;a;3;8.88;5;26347-a-3
26347;a;4;7.86;1;26347-a-4
26347;m;3;9.87;1;26347-m-3
26348;a;3;7.86;1;26348-a-3
26352;m;6;6.17;1;26352-m-6
26357;a;1;14.4;1;26357-a-1
26357;a;2;7.89;3;26357-a-2
26357;a;3;9.16;1;26357-a-3
26357;a;4;6.78;1;26357-a-4
26357;m;4;8.09;1;26357-m-4
26357;m;6;7.86;1;26357-m-6
26360;a;2;12.33;1;26360-a-2
26362;a;1;15.96;69;26362-a-1
26362;a;2;11.125;126;26362-a-2
26362;a;3;9.93;138;26362-a-3
26362;a;4;8.754999999999999;50;26362-a-4
26362;a;5;8.56;8;26362-a-5
26362;a;6;7.85;3;26362-a-6
26362;m;3;10.225;2;26362-m-3
26362;m;4;8.67;1;26362-m-4
26362;m;5;8.25;7;26362-m-5
26362;m;7;10.33;1;26362-m-7
26377;m;4;6.33;1;26377-m-4
26379;a;2;11.05;1;26379-a-2
26380;a;2;11.27;1;26380-a-2
26380;a;4;8.85;1;26380-a-4
27003;m;3;10.44;1;27003-m-3
27015;m;4;9.95;1;27015-m-4
27016;a;1;15.62;5;27016-a-1
27016;a;2;10.29;17;27016-a-2
27016;a;3;8.08;6;27016-a-3
27016;a;4;9.5;2;27016-a-4
27016;m;4;9.35;2;27016-m-4
27017;m;4;8.0;1;27017-m-4
27018;a;3;11.43;1;27018-a-3
27020;a;1;22.37;1;27020-a-1
27020;a;2;9.62;1;27020-a-2
27020;m;4;10.21;1;27020-m-4
27020;m;5;10.56;1;27020-m-5
27020;m;6;9.46;1;27020-m-6
27022;a;3;7.66;1;27022-a-3
27049;a;1;11.7;1;27049-a-1
27049;a;2;7.43;1;27049-a-2
27049;a;3;8.67;1;27049-a-3
27049;m;4;7.234999999999999;2;27049-m-4
27049;m;7;5.92;1;27049-m-7
27056;a;1;12.5;23;27056-a-1
27056;a;2;10.67;53;27056-a-2
27056;a;3;8.585;30;27056-a-3
27056;a;4;8.42;5;27056-a-4
27056;a;6;5.48;1;27056-a-6
27056;m;2;12.16;3;27056-m-2
27056;m;3;8.655000000000001;6;27056-m-3
27056;m;4;8.36;5;27056-m-4
27056;m;5;6.21;3;27056-m-5
27056;m;6;6.3100000000000005;2;27056-m-6
27065;a;1;12.29;1;27065-a-1
27065;a;2;9.02;27;27065-a-2
27065;a;3;8.1;9;27065-a-3
27065;a;4;6.67;1;27065-a-4
27065;m;1;11.31;1;27065-m-1
27065;m;3;8.66;1;27065-m-3
27065;m;4;8.69;7;27065-m-4
27071;m;5;7.42;1;27071-m-5
27072;a;7;10.53;1;27072-a-7
27073;m;4;9.2;2;27073-m-4
27077;m;5;8.5;1;27077-m-5
27079;a;2;7.55;1;27079-a-2
27079;m;3;5.4;1;27079-m-3
27082;a;1;12.31;1;27082-a-1
27082;a;3;11.02;1;27082-a-3
27082;a;4;6.78;1;27082-a-4
27082;m;2;11.43;1;27082-m-2
27082;m;3;10.0;1;27082-m-3
27085;m;4;10.05;1;27085-m-4
27090;m;4;8.89;1;27090-m-4
27090;m;7;8.95;1;27090-m-7
27100;a;2;10.3;2;27100-a-2
27100;a;4;7.74;1;27100-a-4
27103;a;3;10.0;3;27103-a-3
27103;m;4;8.5;1;27103-m-4
27103;m;5;7.92;1;27103-m-5
27105;m;5;9.77;1;27105-m-5
27112;a;1;14.24;1;27112-a-1
27112;a;2;10.62;1;27112-a-2
27116;a;2;8.085;2;27116-a-2
27116;a;3;7.38;8;27116-a-3
27116;m;3;12.14;1;27116-m-3
27117;a;6;5.66;1;27117-a-6
27117;m;5;6.665;2;27117-m-5
27120;m;4;7.0;1;27120-m-4
27123;a;2;11.63;2;27123-a-2
27123;a;3;8.05;2;27123-a-3
27126;m;4;7.5;1;27126-m-4
27129;m;4;8.82;1;27129-m-4
27129;m;5;6.96;1;27129-m-5
27129;m;11;10.53;1;27129-m-11
27142;a;4;10.31;1;27142-a-4
27149;m;5;5.47;1;27149-m-5
27151;m;3;9.48;1;27151-m-3
27157;m;6;6.63;1;27157-m-6
27165;a;1;12.95;6;27165-a-1
27165;a;2;9.78;8;27165-a-2
27165;a;3;8.55;4;27165-a-3
27165;a;4;8.27;2;27165-a-4
27165;m;3;9.185;2;27165-m-3
27165;m;4;8.44;3;27165-m-4
27165;m;5;8.0;1;27165-m-5
27167;m;7;5.68;1;27167-m-7
27170;a;1;10.48;1;27170-a-1
27170;a;2;8.73;2;27170-a-2
27170;m;3;11.02;1;27170-m-3
27174;m;4;7.285;2;27174-m-4
27174;m;5;9.24;1;27174-m-5
27174;m;6;7.98;1;27174-m-6
27182;m;4;6.9;1;27182-m-4
27183;a;2;11.11;1;27183-a-2
27183;a;5;7.86;1;27183-a-5
27188;m;4;10.184999999999999;2;27188-m-4
27191;m;5;7.29;1;27191-m-5
27193;a;4;7.89;1;27193-a-4
27198;a;1;13.08;1;27198-a-1
27198;a;2;12.24;1;27198-a-2
27198;a;3;7.58;3;27198-a-3
27207;m;3;8.33;1;27207-m-3
27209;m;6;6.6;1;27209-m-6
27213;m;3;10.0;1;27213-m-3
27213;m;4;8.33;3;27213-m-4
27217;m;11;5.9;1;27217-m-11
27218;m;3;9.72;1;27218-m-3
27226;a;3;6.69;1;27226-a-3
27226;m;4;9.3;1;27226-m-4
27229;a;1;16.0;159;27229-a-1
27229;a;2;12.16;171;27229-a-2
27229;a;3;10.0;63;27229-a-3
27229;a;4;8.93;19;27229-a-4
27229;a;5;7.21;8;27229-a-5
27229;m;2;11.219999999999999;4;27229-m-2
27229;m;3;11.125;4;27229-m-3
27229;m;4;9.46;7;27229-m-4
27229;m;5;10.87;1;27229-m-5
27229;m;8;8.74;1;27229-m-8
27230;a;2;16.67;1;27230-a-2
27230;a;3;10.0;1;27230-a-3
27230;l;1;9.4;1;27230-l-1
27238;a;4;5.9;1;27238-a-4
27246;a;2;10.04;4;27246-a-2
27246;a;4;6.33;3;27246-a-4
27246;m;2;10.43;1;27246-m-2
27246;m;3;8.47;3;27246-m-3
27246;m;4;7.88;1;27246-m-4
27246;m;5;7.24;2;27246-m-5
27246;m;6;5.88;1;27246-m-6
27247;m;3;9.739999999999998;2;27247-m-3
27254;a;2;10.11;1;27254-a-2
27254;m;3;10.46;1;27254-m-3
27256;m;4;9.88;1;27256-m-4
27260;m;2;16.205;2;27260-m-2
27271;m;3;12.0;1;27271-m-3
27275;a;2;11.16;7;27275-a-2
27275;a;3;10.07;3;27275-a-3
27275;m;4;13.53;1;27275-m-4
27275;m;5;5.14;1;27275-m-5
27277;m;7;5.97;1;27277-m-7
27279;a;2;14.71;1;27279-a-2
27279;a;3;11.035;2;27279-a-3
27284;a;2;15.59;7;27284-a-2
27284;a;3;11.9;5;27284-a-3
27284;a;5;8.4;1;27284-a-5
27284;m;3;12.2;1;27284-m-3
27284;m;4;12.31;1;27284-m-4
27284;m;5;11.36;1;27284-m-5
27285;a;3;11.955;2;27285-a-3
27286;a;4;5.0;1;27286-a-4
27294;m;5;9.18;1;27294-m-5
27295;m;4;6.77;2;27295-m-4
27299;a;1;13.54;3;27299-a-1
27299;a;2;11.275;8;27299-a-2
27299;a;3;13.235;2;27299-a-3
27299;a;5;8.97;1;27299-a-5
27299;m;4;8.629999999999999;2;27299-m-4
27299;m;6;9.52;1;27299-m-6
27301;m;4;9.15;1;27301-m-4
27306;m;5;7.66;1;27306-m-5
27306;m;6;8.28;1;27306-m-6
27332;m;4;8.02;1;27332-m-4
27343;m;3;9.32;1;27343-m-3
27346;m;4;8.31;1;27346-m-4
27347;a;3;8.57;1;27347-a-3
27348;m;5;7.14;1;27348-m-5
27350;m;6;9.56;1;27350-m-6
27351;m;3;12.64;1;27351-m-3
27355;a;1;10.1;7;27355-a-1
27355;a;2;11.425;4;27355-a-2
27355;a;3;8.91;4;27355-a-3
27355;a;4;8.48;1;27355-a-4
27355;m;3;9.93;1;27355-m-3
27355;m;6;7.28;1;27355-m-6
27358;m;4;8.6;1;27358-m-4
27365;a;2;9.045;2;27365-a-2
27365;m;3;12.04;1;27365-m-3
27365;m;4;10.42;1;27365-m-4
27375;a;1;17.27;17;27375-a-1
27375;a;2;12.86;31;27375-a-2
27375;a;3;9.495000000000001;12;27375-a-3
27375;a;4;8.78;3;27375-a-4
27375;m;4;8.25;5;27375-m-4
27375;m;5;8.05;1;27375-m-5
27375;m;6;5.67;1;27375-m-6
27385;a;2;11.01;2;27385-a-2
27385;m;3;10.0;3;27385-m-3
27385;m;5;7.35;2;27385-m-5
27393;m;3;10.85;1;27393-m-3
27394;m;4;8.35;1;27394-m-4
27396;a;2;9.89;1;27396-a-2
27396;m;5;7.95;1;27396-m-5
27398;a;3;9.71;1;27398-a-3
27398;m;4;8.015;2;27398-m-4
27398;m;5;7.34;1;27398-m-5
27406;a;1;33.33;1;27406-a-1
27407;m;3;7.62;1;27407-m-3
27410;a;3;9.03;1;27410-a-3
27412;m;4;10.91;1;27412-m-4
27414;m;4;7.45;3;27414-m-4
27425;m;3;8.54;1;27425-m-3
27425;m;4;7.5600000000000005;4;27425-m-4
27428;a;2;15.675;2;27428-a-2
27428;m;5;7.18;1;27428-m-5
27439;a;2;8.05;1;27439-a-2
27442;a;2;7.72;3;27442-a-2
27442;m;4;5.51;1;27442-m-4
27447;a;2;11.25;1;27447-a-2
27447;m;2;10.0;1;27447-m-2
27448;a;1;16.68;2;27448-a-1
27448;a;2;17.22;1;27448-a-2
27448;a;3;9.44;1;27448-a-3
27448;m;3;10.67;1;27448-m-3
27458;m;5;8.83;1;27458-m-5
27460;m;3;10.32;1;27460-m-3
27467;a;1;15.825000000000001;6;27467-a-1
27467;a;2;10.805;16;27467-a-2
27467;a;3;8.44;7;27467-a-3
27467;a;4;8.525;2;27467-a-4
27467;m;2;11.33;1;27467-m-2
27467;m;3;8.215;2;27467-m-3
27467;m;4;7.55;6;27467-m-4
27467;m;5;7.01;2;27467-m-5
27467;m;7;5.3;1;27467-m-7
27469;a;1;19.205;6;27469-a-1
27469;a;2;13.1;3;27469-a-2
27469;a;3;11.32;3;27469-a-3
27469;a;4;9.469999999999999;2;27469-a-4
27469;m;3;9.665;6;27469-m-3
27469;m;5;8.629999999999999;2;27469-m-5
27470;a;1;11.0;1;27470-a-1
27470;a;2;11.82;1;27470-a-2
27470;a;3;9.13;1;27470-a-3
27470;m;4;8.99;1;27470-m-4
27474;m;4;7.88;1;27474-m-4
27491;m;3;7.47;1;27491-m-3
27493;a;3;10.4;1;27493-a-3
27493;m;3;10.15;3;27493-m-3
27493;m;6;6.85;1;27493-m-6
27504;m;4;8.78;1;27504-m-4
27507;a;2;11.56;3;27507-a-2
27507;a;3;9.235;2;27507-a-3
27507;a;4;10.665;2;27507-a-4
27508;m;11;10.71;1;27508-m-11
27516;a;2;8.43;1;27516-a-2
27528;a;1;19.1;1;27528-a-1
27528;a;2;11.620000000000001;2;27528-a-2
27528;a;3;10.7;3;27528-a-3
27528;a;4;6.79;1;27528-a-4
27528;m;4;9.35;1;27528-m-4
27528;m;5;8.25;1;27528-m-5
27538;m;2;18.4;1;27538-m-2
27538;m;3;10.2;1;27538-m-3
27554;a;2;16.16;1;27554-a-2
27554;a;3;12.82;1;27554-a-3
27554;m;4;9.01;3;27554-m-4
27561;m;2;13.06;1;27561-m-2
27561;m;3;9.7;1;27561-m-3
27562;a;1;20.68;1;27562-a-1
27562;a;3;13.670000000000002;2;27562-a-3
27562;a;4;9.08;1;27562-a-4
27562;m;3;11.8;1;27562-m-3
27562;m;5;10.969999999999999;2;27562-m-5
27577;m;6;7.94;2;27577-m-6
27580;m;7;4.37;1;27580-m-7
27587;m;3;9.33;1;27587-m-3
27591;m;5;7.33;1;27591-m-5
27594;m;5;8.0;1;27594-m-5
27598;a;1;13.36;1;27598-a-1
27599;m;3;10.27;1;27599-m-3
27600;m;3;9.38;1;27600-m-3
27602;a;1;23.5;1;27602-a-1
27602;a;2;10.96;1;27602-a-2
27602;a;4;8.54;1;27602-a-4
27602;a;5;4.505;2;27602-a-5
27602;m;4;9.010000000000002;2;27602-m-4
27602;m;5;10.26;3;27602-m-5
27602;m;6;8.52;1;27602-m-6
27620;m;4;7.66;1;27620-m-4
27622;m;4;7.87;2;27622-m-4
27622;m;5;6.8;1;27622-m-5
27627;m;5;7.93;1;27627-m-5
27629;a;3;8.49;3;27629-a-3
27629;m;2;9.52;1;27629-m-2
27638;m;4;8.2;1;27638-m-4
27643;a;3;7.09;1;27643-a-3
27644;a;1;16.21;1;27644-a-1
27652;m;4;8.74;1;27652-m-4
27676;m;4;7.14;1;27676-m-4
27679;a;1;9.995000000000001;6;27679-a-1
27679;a;2;9.52;10;27679-a-2
27679;a;3;9.65;5;27679-a-3
27679;a;4;9.82;1;27679-a-4
27679;m;4;8.73;1;27679-m-4
27681;a;1;16.67;17;27681-a-1
27681;a;2;13.26;53;27681-a-2
27681;a;3;11.11;25;27681-a-3
27681;a;4;10.13;11;27681-a-4
27681;m;2;17.11;1;27681-m-2
27681;m;3;11.75;3;27681-m-3
27681;m;4;10.385;4;27681-m-4
27681;m;5;10.010000000000002;4;27681-m-5
27681;m;7;8.48;1;27681-m-7
27681;m;8;8.84;1;27681-m-8
27682;m;3;11.56;1;27682-m-3
27682;m;5;5.91;1;27682-m-5
27693;m;4;9.76;1;27693-m-4
27701;a;1;11.4;2;27701-a-1
27701;a;2;12.89;5;27701-a-2
27701;a;3;9.52;1;27701-a-3
27701;m;4;8.695;2;27701-m-4
27701;m;5;8.33;1;27701-m-5
28001;a;1;15.79;3;28001-a-1
28001;a;2;12.879999999999999;2;28001-a-2
28001;a;3;10.4;3;28001-a-3
28001;m;4;9.2;1;28001-m-4
28004;m;5;7.98;1;28004-m-5
28006;m;3;12.13;1;28006-m-3
28007;a;1;16.810000000000002;2;28007-a-1
28007;a;2;13.06;7;28007-a-2
28007;a;3;10.86;5;28007-a-3
28012;m;3;8.0;1;28012-m-3
28012;m;4;4.45;1;28012-m-4
28012;m;5;5.0;1;28012-m-5
28013;a;2;14.86;1;28013-a-2
28015;a;2;12.18;3;28015-a-2
28015;a;3;10.48;8;28015-a-3
28015;m;3;11.21;1;28015-m-3
28015;m;4;10.87;3;28015-m-4
28018;m;3;6.57;1;28018-m-3
28024;m;3;14.35;1;28024-m-3
28024;m;4;9.57;1;28024-m-4
28029;m;4;6.19;1;28029-m-4
28031;m;4;5.56;1;28031-m-4
28039;m;5;6.94;1;28039-m-5
28047;m;4;7.67;1;28047-m-4
28051;a;1;13.015;2;28051-a-1
28051;m;4;7.39;1;28051-m-4
28051;m;6;7.3;1;28051-m-6
28052;a;3;13.17;1;28052-a-3
28052;m;5;7.39;1;28052-m-5
28055;a;3;10.23;5;28055-a-3
28061;a;2;8.91;1;28061-a-2
28061;m;5;8.0;1;28061-m-5
28062;a;3;9.62;1;28062-a-3
28062;m;7;7.53;1;28062-m-7
28063;m;3;7.96;1;28063-m-3
28064;a;3;11.42;1;28064-a-3
28064;m;2;15.0;1;28064-m-2
28064;m;4;7.335;2;28064-m-4
28070;a;1;13.04;1;28070-a-1
28070;m;4;9.9;1;28070-m-4
28070;m;5;9.13;1;28070-m-5
28074;m;6;8.33;1;28074-m-6
28075;a;2;8.75;1;28075-a-2
28085;a;1;15.4;147;28085-a-1
28085;a;2;12.365;192;28085-a-2
28085;a;3;10.86;114;28085-a-3
28085;a;4;10.100000000000001;16;28085-a-4
28085;a;5;9.184999999999999;4;28085-a-5
28085;a;8;2.5;1;28085-a-8
28085;m;2;12.78;1;28085-m-2
28085;m;3;10.53;5;28085-m-3
28085;m;4;10.24;10;28085-m-4
28085;m;5;9.355;10;28085-m-5
28085;m;6;8.21;5;28085-m-6
28085;m;7;8.57;1;28085-m-7
28086;a;2;7.5;1;28086-a-2
28086;a;3;7.38;1;28086-a-3
28086;a;5;5.42;1;28086-a-5
28088;a;1;11.67;8;28088-a-1
28088;a;2;10.37;9;28088-a-2
28088;a;3;8.1;5;28088-a-3
28088;a;4;6.89;5;28088-a-4
28088;a;5;5.33;1;28088-a-5
28088;m;3;9.26;3;28088-m-3
28088;m;4;7.69;5;28088-m-4
28089;a;1;16.825;6;28089-a-1
28089;a;2;10.42;4;28089-a-2
28089;a;4;7.15;1;28089-a-4
28089;m;6;9.17;1;28089-m-6
28094;m;4;11.27;3;28094-m-4
28096;m;4;9.57;1;28096-m-4
28098;m;2;13.84;1;28098-m-2
28102;a;3;14.63;1;28102-a-3
28103;a;1;7.58;1;28103-a-1
28103;a;2;9.76;4;28103-a-2
28103;a;4;5.93;1;28103-a-4
28103;m;3;6.68;1;28103-m-3
28103;m;4;7.07;4;28103-m-4
28103;m;5;7.73;1;28103-m-5
28110;a;1;14.975000000000001;8;28110-a-1
28110;a;2;12.780000000000001;16;28110-a-2
28110;a;3;11.67;19;28110-a-3
28113;a;2;12.965;2;28113-a-2
28116;a;3;11.0;1;28116-a-3
28116;m;4;6.62;1;28116-m-4
28122;a;1;15.719999999999999;2;28122-a-1
28123;m;3;9.22;1;28123-m-3
28127;m;4;7.29;1;28127-m-4
28127;m;5;4.38;1;28127-m-5
28134;a;1;15.04;4;28134-a-1
28134;a;2;11.68;11;28134-a-2
28134;a;3;10.8;21;28134-a-3
28134;a;4;9.98;8;28134-a-4
28134;a;5;6.67;1;28134-a-5
28134;l;2;11.68;2;28134-l-2
28134;l;3;10.45;1;28134-l-3
28134;m;3;9.46;2;28134-m-3
28134;m;5;8.865;2;28134-m-5
28135;a;1;14.809999999999999;2;28135-a-1
28135;a;2;12.18;2;28135-a-2
28140;a;1;16.77;26;28140-a-1
28140;a;2;14.09;67;28140-a-2
28140;a;3;13.605;36;28140-a-3
28140;a;4;10.6;3;28140-a-4
28140;m;2;10.925;2;28140-m-2
28140;m;3;11.08;3;28140-m-3
28140;m;5;6.5;3;28140-m-5
28149;a;1;9.0;1;28149-a-1
28158;m;3;11.86;1;28158-m-3
28164;m;2;13.17;1;28164-m-2
28168;a;2;12.774999999999999;2;28168-a-2
28168;a;3;13.285;2;28168-a-3
28168;m;3;8.64;1;28168-m-3
28168;m;4;9.25;1;28168-m-4
28171;m;4;10.71;1;28171-m-4
28185;a;2;11.9;1;28185-a-2
28185;m;6;11.9;1;28185-m-6
28188;m;5;9.79;1;28188-m-5
28191;a;1;13.02;2;28191-a-1
28191;a;2;11.325;4;28191-a-2
28195;a;1;14.8;2;28195-a-1
28196;a;2;9.735;2;28196-a-2
28196;a;5;5.0;1;28196-a-5
28199;a;1;13.440000000000001;2;28199-a-1
28199;a;2;10.18;2;28199-a-2
28199;a;5;4.3;1;28199-a-5
28199;m;3;7.71;1;28199-m-3
28199;m;4;7.12;3;28199-m-4
28201;a;2;11.02;1;28201-a-2
28205;m;3;7.44;1;28205-m-3
28205;m;5;6.64;1;28205-m-5
28207;m;3;7.0;2;28207-m-3
28207;m;4;7.87;1;28207-m-4
28209;a;1;13.14;2;28209-a-1
28209;a;2;12.86;9;28209-a-2
28209;a;3;10.62;5;28209-a-3
28209;a;4;9.36;1;28209-a-4
28209;m;5;10.31;1;28209-m-5
28213;a;2;13.6;4;28213-a-2
28213;a;3;10.405000000000001;2;28213-a-3
28214;a;2;14.26;1;28214-a-2
28214;m;2;10.26;1;28214-m-2
28214;m;9;2.67;1;28214-m-9
28218;a;1;14.625;24;28218-a-1
28218;a;2;12.565;32;28218-a-2
28218;a;3;10.83;22;28218-a-3
28218;a;4;10.645;2;28218-a-4
28220;a;1;16.36;1;28220-a-1
28220;a;2;11.23;11;28220-a-2
28220;a;3;11.254999999999999;2;28220-a-3
28220;a;4;8.58;1;28220-a-4
28220;m;4;11.21;2;28220-m-4
28220;m;5;8.38;1;28220-m-5
28220;m;6;9.64;3;28220-m-6
28221;m;4;7.95;1;28221-m-4
28223;m;4;9.32;1;28223-m-4
28227;a;1;15.0;1;28227-a-1
28227;a;2;13.120000000000001;18;28227-a-2
28227;a;3;11.19;5;28227-a-3
28227;a;4;7.83;1;28227-a-4
28227;m;4;9.69;1;28227-m-4
28229;a;1;15.205;10;28229-a-1
28229;a;2;12.41;16;28229-a-2
28229;a;3;10.625;10;28229-a-3
28229;a;4;12.07;1;28229-a-4
28229;m;5;10.73;1;28229-m-5
28229;m;8;8.28;1;28229-m-8
28233;a;1;11.0;1;28233-a-1
28233;a;2;8.7;2;28233-a-2
28233;a;3;7.19;1;28233-a-3
28233;m;2;9.17;1;28233-m-2
28249;m;6;8.42;1;28249-m-6
28269;a;5;7.94;1;28269-a-5
28278;m;6;9.28;2;28278-m-6
28279;a;1;11.85;4;28279-a-1
28279;a;2;10.96;14;28279-a-2
28279;a;3;10.78;7;28279-a-3
28279;m;3;12.365;2;28279-m-3
28280;a;1;12.57;4;28280-a-1
28280;a;2;11.565000000000001;18;28280-a-2
28280;a;3;8.12;15;28280-a-3
28280;a;4;7.225;4;28280-a-4
28280;a;5;6.73;1;28280-a-5
28280;m;2;11.25;1;28280-m-2
28280;m;3;7.5;1;28280-m-3
28280;m;4;6.67;3;28280-m-4
28280;m;7;4.25;1;28280-m-7
28287;a;4;6.67;1;28287-a-4
28291;a;2;11.28;1;28291-a-2
28291;a;3;12.76;1;28291-a-3
28298;a;1;18.689999999999998;2;28298-a-1
28298;a;2;13.1;3;28298-a-2
28298;m;4;12.06;2;28298-m-4
28302;a;3;7.76;3;28302-a-3
28324;m;4;9.34;2;28324-m-4
28330;m;3;8.27;1;28330-m-3
28334;m;4;7.39;1;28334-m-4
28348;m;3;10.97;1;28348-m-3
28348;m;5;7.69;1;28348-m-5
28349;m;9;8.93;2;28349-m-9
28350;m;3;9.87;1;28350-m-3
28358;m;4;15.76;1;28358-m-4
28363;a;2;9.78;1;28363-a-2
28373;a;3;8.355;2;28373-a-3
28373;a;4;6.34;2;28373-a-4
28373;m;3;10.4;1;28373-m-3
28377;m;3;9.02;1;28377-m-3
28387;a;3;7.78;1;28387-a-3
28388;m;5;7.35;1;28388-m-5
28391;a;2;10.93;1;28391-a-2
28391;a;3;8.52;3;28391-a-3
28391;m;2;9.77;1;28391-m-2
28391;m;3;8.28;1;28391-m-3
28393;m;2;10.83;1;28393-m-2
28393;m;3;8.82;1;28393-m-3
28403;m;3;10.97;1;28403-m-3
28404;m;5;10.78;1;28404-m-5
28405;m;5;9.26;1;28405-m-5
28406;m;5;7.07;1;28406-m-5
28415;m;3;10.15;1;28415-m-3
28422;a;2;11.32;1;28422-a-2
28424;m;5;7.9;1;28424-m-5
28425;m;5;10.0;2;28425-m-5
2A001;a;2;18.81;5;2A001-a-2
2A001;a;3;9.09;1;2A001-a-3
2A004;a;1;19.91;57;2A004-a-1
2A004;a;2;16.3;128;2A004-a-2
2A004;a;3;12.86;109;2A004-a-3
2A004;a;4;11.655;60;2A004-a-4
2A004;a;5;13.059999999999999;8;2A004-a-5
2A004;m;4;13.04;2;2A004-m-4
2A006;a;4;10.09;1;2A006-a-4
2A008;a;2;17.119999999999997;6;2A008-a-2
2A008;a;4;17.48;1;2A008-a-4
2A008;m;5;13.83;1;2A008-m-5
2A032;a;2;14.805;2;2A032-a-2
2A032;a;3;10.85;1;2A032-a-3
2A032;m;1;24.75;1;2A032-m-1
2A032;m;5;11.43;1;2A032-m-5
2A070;a;2;14.89;1;2A070-a-2
2A085;a;3;11.0;1;2A085-a-3
2A085;a;4;12.53;1;2A085-a-4
2A092;a;3;10.495000000000001;2;2A092-a-3
2A114;m;3;11.49;1;2A114-m-3
2A127;m;6;5.81;1;2A127-m-6
2A130;a;1;23.12;3;2A130-a-1
2A130;a;2;20.215;4;2A130-a-2
2A130;a;3;19.645;4;2A130-a-3
2A209;a;2;19.29;3;2A209-a-2
2A209;m;5;10.33;1;2A209-m-5
2A209;m;6;9.02;1;2A209-m-6
2A211;a;4;7.56;1;2A211-a-4
2A228;a;3;20.63;3;2A228-a-3
2A247;a;2;10.0;1;2A247-a-2
2A247;a;3;14.225000000000001;2;2A247-a-3
2A247;m;3;12.67;1;2A247-m-3
2A247;m;8;16.3;1;2A247-m-8
2A249;a;1;19.24;3;2A249-a-1
2A249;a;2;14.54;2;2A249-a-2
2A249;a;3;12.615;6;2A249-a-3
2A271;a;2;16.22;3;2A271-a-2
2A271;a;3;14.0;3;2A271-a-3
2A271;a;4;12.25;1;2A271-a-4
2A271;m;4;14.55;1;2A271-m-4
2A272;a;1;15.6;1;2A272-a-1
2A272;a;2;13.71;2;2A272-a-2
2A272;a;3;9.645;2;2A272-a-3
2A272;m;5;8.38;1;2A272-m-5
2A272;m;6;7.62;1;2A272-m-6
2A312;m;5;11.25;1;2A312-m-5
2A349;a;2;14.29;1;2A349-a-2
2A351;m;4;10.61;1;2A351-m-4
2A362;a;3;10.64;1;2A362-a-3
2B009;a;1;16.0;1;2B009-a-1
2B009;a;2;13.024999999999999;2;2B009-a-2
2B009;a;3;8.8;1;2B009-a-3
2B009;a;4;10.29;1;2B009-a-4
2B009;m;4;10.0;1;2B009-m-4
2B033;a;1;16.65;19;2B033-a-1
2B033;a;2;13.629999999999999;46;2B033-a-2
2B033;a;3;10.57;33;2B033-a-3
2B033;a;4;11.12;15;2B033-a-4
2B033;a;6;9.83;1;2B033-a-6
2B033;m;2;21.43;1;2B033-m-2
2B033;m;5;12.13;1;2B033-m-5
2B033;m;6;15.0;1;2B033-m-6
2B037;a;1;12.12;1;2B037-a-1
2B037;a;3;10.94;4;2B037-a-3
2B037;a;4;11.05;1;2B037-a-4
2B037;m;3;13.85;1;2B037-m-3
2B037;m;4;8.004999999999999;2;2B037-m-4
2B037;m;5;10.28;1;2B037-m-5
2B037;m;12;6.3;1;2B037-m-12
2B042;a;1;17.68;1;2B042-a-1
2B042;a;2;11.08;9;2B042-a-2
2B042;a;3;10.0;15;2B042-a-3
2B042;a;4;8.56;3;2B042-a-4
2B042;m;1;22.78;1;2B042-m-1
2B042;m;2;11.92;1;2B042-m-2
2B042;m;3;12.45;3;2B042-m-3
2B042;m;4;10.96;1;2B042-m-4
2B042;m;5;14.600000000000001;2;2B042-m-5
2B043;a;3;10.66;1;2B043-a-3
2B043;m;2;19.35;1;2B043-m-2
2B050;a;1;19.26;1;2B050-a-1
2B050;a;3;11.99;2;2B050-a-3
2B050;a;4;13.440000000000001;2;2B050-a-4
2B054;a;3;7.86;1;2B054-a-3
2B054;a;5;7.14;1;2B054-a-5
2B077;a;3;7.06;1;2B077-a-3
2B077;m;4;8.76;1;2B077-m-4
2B087;a;4;7.22;1;2B087-a-4
2B087;a;5;6.99;1;2B087-a-5
2B093;a;4;9.09;1;2B093-a-4
2B096;a;1;20.725;8;2B096-a-1
