type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;mn;v;0;108;1210.0;4;250100;155100.0;95000.0;0;0;0;0;0;;45.25683;4.09449;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;43025;0000;430250000;Z;43;7.65;1.0;0.04;7.65;1.0;0.04;2315.74
pr;mn;v;0;108;738.0;4;219140;155100.0;64040.0;0;0;0;0;0;;45.24398;4.22375;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;43224;0101;432240101;H;43;;;;8.08;1.0;0.048;2029.07
pr;mn;v;0;132;940.0;4;308900;218900.0;90000.0;0;0;0;0;0;;45.36718;4.1976;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;43012;0000;430120000;Z;43;7.4;2.0;0.038;7.4;2.0;0.038;2340.15
pr;mn;v;0;120;1059.0;6;279200;169200.0;110000.0;0;0;0;0;0;;45.36718;4.1976;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;43012;0000;430120000;Z;43;4.96;1.0;0.026;4.96;1.0;0.026;2326.67
pr;m;v;0;192;;9;128000;;;0;1;2;0;C;109;45.3865;3.30312;Oui;3.0;;2.0;False;0;A;;3.0;;;;;;;;Électrique;;;a;n;m;2020-04;43099;0000;430990000;Z;43;;;;;;;666.67
pr;m;v;0;90;300.0;4;16500;;;0;0;0;0;NS;;45.32026;3.47897;Oui;;;;;0;NS;1900.0;;;;;;;;;;;;a;n;m;2020-04;43055;0000;430550000;Z;43;;;;;;;183.33
pr;a;v;0;33;;1;29000;;;0;0;0;0;0;;45.29364;4.25833;Oui;;;;;0;;;;;;;;;;;;;;a;n;a;2020-04;43236;0000;432360000;Z;43;;;;;;;878.79
pr;mn;v;0;97;889.0;6;193690;130905.0;62785.0;0;0;0;0;0;;45.13989;4.12477;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;43268;0102;432680102;H;43;;;;;;;1996.8
pr;mn;v;0;85;899.0;5;164500;;;0;0;0;0;0;;45.13989;4.12477;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;43268;0102;432680102;H;43;8.12;1.0;0.05;8.12;1.0;0.05;1935.29
pr;mn;v;0;85;900.0;5;159000;;;0;0;0;0;0;;45.21933;4.0279;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;43162;0000;431620000;Z;43;;;;;;;1870.59
pr;mn;v;0;97;908.0;5;197600;140000.0;57600.0;0;0;0;0;0;;45.21933;4.0279;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;43162;0000;431620000;Z;43;;;;;;;2037.11
pr;mn;v;0;85;835.0;5;125000;;;0;0;0;0;0;;45.19586;3.90449;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;43267;0000;432670000;Z;43;;;;;;;1470.59
pr;mn;v;0;85;511.0;5;169288;;;0;0;0;0;0;;45.31424;4.10234;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;43020;0000;430200000;Z;43;;;;;;;1991.62
pr;m;v;0;182;1526.0;7;275000;;;0;0;2;1;E;269;45.27553;4.20129;Non;2.0;;1.0;True;0;F;;2.0;;;False;;;;;Fioul;Convecteur;;m;n;m;2020-03;43137;0102;431370102;H;43;;;;;;;1510.99
pr;m;v;0;88;1047.0;5;168000;;;0;0;1;0;E;297.0;45.30186;4.20306;Non;2.0;;;;Sud;B;;1.0;;;False;;;;;Bois;;Individuel;m;n;m;2020-03;43137;0102;431370102;H;43;;;;;;;1909.09
pr;mn;v;0;110;1000.0;6;269000;144000.0;125000.0;0;0;0;0;0;;45.28402;4.18224;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;43137;0102;431370102;H;43;6.82;1.0;0.033;6.54;2.0;0.032;2445.45
pr;m;v;0;110;1300.0;5;325634;;;0;0;0;1;0;;45.28955;4.17875;0;1.0;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;43137;0102;431370102;H;43;;;;;;;2960.31
pr;m;v;0;95;1300.0;4;283650;;;0;0;0;1;0;;45.28955;4.17875;0;1.0;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;43137;0102;431370102;H;43;;;;;;;2985.79
pr;m;v;0;91;923.0;6;240000;;;0;0;0;1;D;219;45.31147;4.16723;Non;2.0;;2.0;;sud-ouest;E;;1.0;;;False;;;;;Gaz;;Individuel;m;n;m;2020-03;43137;0102;431370102;H;43;6.82;1.0;0.031;6.54;2.0;0.03;2637.36
pr;m;v;0;82;;5;54000;;;0;0;0;1;VI;;45.11658;4.29243;Oui;3.0;;;;0;;;1.0;;;False;;;;;Fioul;;Individuel;m;n;m;2020-03;43244;0000;432440000;Z;43;;;;;;;658.54
pr;m;v;0;82;;5;54000;;;0;0;0;1;VI;;45.11973;4.29926;Non;3.0;;;;0;;;1.0;;;False;;;;;Fioul;;Individuel;m;n;m;2020-03;43244;0000;432440000;Z;43;;;;;;;658.54
pr;a;v;0;80;;5;93300;;;0;0;0;0;VI;;45.04062;3.88368;Oui;;;;;0;VI;1950.0;1.0;;;;;;18.0;113.0;Électrique;;Individuel;a;n;a;2020-03;43157;0105;431570105;H;43;6.42;1.0;0.066;5.14;5.0;0.053;1166.25
pr;m;v;0;190;750.0;7;399000;;;0;0;0;2;C;130;45.05365;3.88408;Oui;2.0;;1.0;;0;D;1996.0;2.0;;;;;;;;Gaz;Radiateur;Individuel;a;n;m;2020-03;43002;0000;430020000;Z;43;;;;;;;2100.0
pr;m;v;0;195;2237.0;7;179000;;;0;0;0;1;VI;;45.20749;4.10269;Non;;;;;sud-ouest;;;1.0;;;False;;;;;Électrique;;Individuel;m;n;m;2020-03;43024;0000;430240000;Z;43;;;;;;;917.95
pr;m;v;0;100;2400.0;6;53990;;;0;0;0;1;G;532.0;44.89799;3.95339;Non;;;;;0;G;;1.0;;;False;;;;;;;;m;n;m;2020-03;43210;0000;432100000;Z;43;;;;;;;539.9
pr;m;v;0;100;850.0;8;133000;;;0;0;1;1;D;167;45.05665;4.24717;Non;3.0;;;False;Sud-Est;E;;2.0;;;;;;;;Fioul;Radiateur;;a;n;m;2020-03;43130;0000;431300000;Z;43;;;;;;;1330.0
pr;m;v;0;90;480.0;4;68000;;;0;0;0;0;NS;;45.08122;4.27836;Oui;;;;False;0;NS;1769.0;;;;False;;;;;;;;m;n;m;2020-03;43130;0000;431300000;Z;43;;;;;;;755.56
pr;m;v;0;111;724.0;4;245045;;;0;0;0;1;0;;45.24284;4.24512;0;1.0;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;43224;0102;432240102;H;43;8.08;1.0;0.044;8.08;1.0;0.044;2207.61
pr;m;v;0;218;930.0;7;339000;;;0;0;0;2;C;146;45.25505;4.23093;Oui;;;;True;Sud-Est;D;1900.0;3.0;1.0;;;;;;;Gaz;Radiateur;Individuel;a;n;m;2020-03;43224;0102;432240102;H;43;;;;;;;1555.05
pr;m;v;0;97;135.0;5;74000;;;0;1;0;1;VI;;45.25045;4.24044;Oui;1.0;;;True;Sud;VI;1930.0;1.0;;;;;;;;Fioul;Radiateur;Individuel;a;n;m;2020-03;43224;0102;432240102;H;43;;;;;;;762.89
pr;m;v;0;220;623.0;8;163000;;;0;0;2;1;D;210.0;45.24828;4.24288;Non;2.0;;;True;Nord-Est;E;1900.0;3.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-03;43224;0102;432240102;H;43;;;;;;;740.91
pr;m;v;0;280;2294.0;10;418950;;;0;0;0;3;E;256;45.28881;3.91983;Non;2.0;;1.0;;Sud;E;;3.0;;;False;;;;;Fioul;;Individuel;m;n;m;2020-03;43201;0000;432010000;Z;43;;;;;;;1496.25
pr;m;v;0;300;1273.0;3;59000;;;0;0;0;0;NS;;45.23045;4.41269;Non;;;;;0;;;;;;False;;;;;;;;m;n;m;2020-03;43163;0000;431630000;Z;43;;;;;;;196.67
pr;m;v;0;180;;7;140000;;;0;0;1;0;D;225;45.22592;4.38925;Non;;;;True;0;E;1928.0;3.0;;;;;;;;;;;a;n;m;2020-03;43163;0000;431630000;Z;43;;;;;;;777.78
pr;m;v;0;450;4500.0;9;590720;;;0;0;0;0;VI;;44.97938;4.1387;Oui;;;;;0;G;;;;;;;;;;;;;a;n;m;2020-03;43186;0000;431860000;Z;43;;;;;;;1312.71
