type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;1;39;;2;479;;;0;0;0;1;C;96.0;45.3662;5.5931;0;4.0;;;True;0;D;;1.0;;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;38563;0105;385630105;H;38
pr;a;l;4;44;;2;503;;;0;0;0;1;D;160;45.35537;5.5924;0;4.0;;;;0;E;1948.0;;1.0;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;38563;0108;385630108;H;38
pr;a;l;1;48;;2;369;;;0;0;1;0;F;338;45.32692;5.56381;0;2.0;;;True;0;A;1900.0;1.0;;;;;;;;Électrique;;Individuel;a;n;a;2020-04;38239;0103;382390103;H;38
pr;a;l;0;47;;2;623;;;0;0;0;0;0;;45.23643;5.67138;0;;;1.0;False;Sud;;2019.0;;;;False;;False;;;Gaz;;Collectif;a;n;a;2020-04;38382;0102;383820102;H;38
pr;a;l;5;68;;2;577;;;0;1;0;1;D;199;45.36848;5.58643;0;8.0;;;True;0;E;1960.0;1.0;;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-04;38563;0104;385630104;H;38
pr;a;l;5;55;;2;515;;;0;1;0;1;E;254;45.19248;5.69718;0;5.0;;;True;0;C;;1.0;;;;;False;;;;;Individuel;a;n;a;2020-04;38169;0102;381690102;H;38
pr;a;l;1;49;;2;709;;;0;0;0;1;E;277;45.27702;5.65092;0;4.0;;1.0;;0;C;2004.0;;1.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;38565;0104;385650104;H;38
pr;a;l;0;63;;3;600;;;0;0;1;0;E;326;44.97274;5.79373;0;;;;False;0;F;;1.0;;;;;False;;;;;Individuel;a;n;a;2020-04;38552;0000;385520000;Z;38
pr;a;l;1;55;;3;600;;;0;1;1;0;D;179;45.5842;5.29546;0;;;0.0;;0;E;1959.0;;0.0;;;;False;;;Gaz;Radiateur;;a;n;a;2020-04;38053;0202;380530202;H;38
pr;a;l;3;63;;4;465;;;0;0;0;0;E;290;45.58472;5.29555;0;4.0;;;;0;F;;;;;True;;False;;;Gaz;;Individuel;a;n;a;2020-04;38053;0202;380530202;H;38
pr;a;l;2;86;;4;1145;;;0;0;1;1;C;140;45.19345;5.73051;0;4.0;;;;0;B;;;;;True;;False;;;Électrique;;Individuel;a;n;a;2020-04;38185;0202;381850202;H;38
pr;a;l;0;27;;1;367;;;0;0;1;0;G;636;45.5918;5.27732;0;2.0;;;;0;E;;;;;False;;False;;;Électrique;;Individuel;a;n;a;2020-04;38053;0301;380530301;H;38
pr;m;l;0;28;;2;525;;;0;0;1;0;VI;;45.5958;5.2233;0;2.0;;1.0;;Sud;A;;;;;False;;;;;Électrique;;;a;n;m;2020-04;38352;0000;383520000;Z;38
pr;a;l;0;79;;3;600;;;0;0;0;0;0;;45.37246;5.58147;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;38563;0101;385630101;H;38
pr;a;l;2;79;;3;636;;;0;0;0;1;VI;;45.37224;5.58181;0;;;1.0;True;0;VI;;1.0;;;;;;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;38563;0101;385630101;H;38
pr;a;l;2;76;;3;644;;;0;0;0;1;D;184;45.37225;5.58206;0;;;1.0;True;0;E;;1.0;;;;;;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;38563;0101;385630101;H;38
pr;m;l;0;78;;3;800;;;0;0;0;0;E;231;45.19277;5.68074;Non;;;;;0;E;;;;;;;;;;;;;a;;m;2020-04;38169;0109;381690109;H;38
pr;a;l;0;9;;1;285;;;0;0;1;0;G;772;45.17485;5.70882;0;;;;False;0;E;;1.0;;;;;False;;;Électrique;;Collectif;a;n;a;2020-04;38185;0308;381850308;H;38
pr;a;l;3;33;;1;466;;;0;0;1;0;D;178;45.13701;5.82439;0;;;1.0;True;0;E;;1.0;;;;;False;;;;;Collectif;a;n;a;2020-04;38529;0000;385290000;Z;38
pr;a;l;1;20;;1;339;;;0;0;1;0;E;272.0;45.19324;5.81756;0;1.0;;20.0;False;0;C;;1.0;;;;;False;;;;;Individuel;a;n;a;2020-04;38271;0000;382710000;Z;38
pr;a;l;0;35;;2;500;;;0;0;0;0;0;;45.19285;5.73724;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;38185;0208;381850208;H;38
pr;a;l;9;32;;1;532;;;0;1;0;1;F;446;45.19299;5.73767;0;;;0.0;;Est;G;;;0.0;;;;True;;;;;Collectif;a;n;a;2020-04;38185;0208;381850208;H;38
pr;a;l;0;33;;2;400;;;0;0;0;0;0;;45.02681;5.70675;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;38388;0000;383880000;Z;38
pr;a;l;3;20;;1;400;;;0;1;0;0;E;302;45.18766;5.71498;0;3.0;;;;0;C;;;;;False;;False;;;Électrique;;Individuel;a;n;a;2020-04;38185;0109;381850109;H;38
pr;a;l;0;36;;2;500;;;0;0;0;0;B;67;45.24191;5.68199;Oui;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;38382;0105;383820105;H;38
pr;a;l;0;36;;2;520;;;0;0;1;0;B;67;45.24245;5.68274;0;;;0.0;;Sud-Ouest;C;;;1.0;;;;False;;;;Radiateur;Collectif;a;n;a;2020-04;38382;0105;383820105;H;38
pr;a;l;0;39;;2;600;;;0;0;0;0;D;152;45.18347;5.71672;Non;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;38185;0109;381850109;H;38
pr;a;l;1;30;;1;599;;;0;0;1;0;VI;;45.18519;5.71641;0;;;;False;0;;;1.0;;;;;False;;;;;Individuel;a;n;a;2020-04;38185;0109;381850109;H;38
pr;a;l;4;34;;1;560;;;0;1;0;1;D;153;45.18551;5.71621;0;5.0;;0.0;;0;E;;;0.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;38185;0109;381850109;H;38
pr;a;l;0;43;;2;400;;;0;0;0;0;G;540;45.18265;5.71692;Non;;;;;0;D;;;;;;;;;;;;;a;;a;2020-04;38185;0111;381850111;H;38
