DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
36;36003;pr;a;m;l;4;D;103.0;640.0;0.0;0.0;1.0;1
36;36006;pa;a;a;l;3;B;65.0;370.0;0.0;0.0;1.0;1
36;36006;pa;a;a;l;3;D;71.0;420.0;0.0;0.0;1.0;2
36;36006;pa;a;a;l;3;E;65.0;370.0;0.0;0.0;1.0;1
36;36006;pa;a;m;l;4;0;77.0;510.0;0.0;0.0;0.0;1
36;36006;pr;a;a;l;1;E;15.0;255.0;0.0;0.67;0.0;3
36;36006;pr;a;a;l;1;F;14.0;350.0;0.0;1.0;0.0;1
36;36006;pr;a;a;l;1;VI;16.0;350.0;0.0;1.0;0.0;1
36;36006;pr;a;a;l;2;C;50.0;363.0;0.0;0.0;0.0;1
36;36006;pr;a;a;l;2;D;45.5;362.5;0.0;1.0;0.0;2
36;36006;pr;a;a;l;2;F;35.0;450.0;0.0;1.0;0.0;2
36;36006;pr;a;a;l;2;VI;34.5;360.0;0.0;1.0;0.0;2
36;36006;pr;a;a;l;3;C;62.0;450.0;0.0;0.0;0.0;1
36;36006;pr;a;a;l;3;D;65.0;420.0;0.0;0.0;1.0;1
36;36006;pr;a;a;l;3;E;46.0;430.0;0.0;0.0;1.0;1
36;36006;pr;a;a;l;4;C;78.0;497.0;0.0;0.0;0.0;1
36;36006;pr;a;a;l;4;D;85.5;448.5;0.0;0.5;0.0;2
36;36006;pr;a;a;l;5;C;101.0;515.0;0.0;0.0;1.0;1
36;36006;pr;a;m;l;4;C;76.0;520.0;0.0;0.0;1.0;1
36;36006;pr;a;m;l;5;C;103.0;510.0;0.0;0.5;1.0;2
36;36009;pr;a;m;l;5;D;124.0;830.0;0.0;0.0;0.0;1
36;36010;pa;a;m;l;4;E;95.0;500.0;0.0;0.0;1.0;1
36;36010;pr;a;m;l;3;NS;80.0;450.0;0.0;0.0;1.0;1
36;36016;pr;a;m;l;3;D;100.0;490.0;0.0;1.0;0.0;1
36;36018;pa;a;m;l;3;0;85.0;580.0;0.0;0.0;1.0;1
36;36018;pr;a;a;l;1;D;37.5;302.5;0.0;0.5;0.5;2
36;36018;pr;a;a;l;1;F;31.0;303.0;0.0;1.0;0.0;1
36;36018;pr;a;a;l;1;NS;28.0;285.0;0.0;0.0;1.0;1
36;36018;pr;a;a;l;2;0;60.5;390.0;0.0;0.0;0.5;2
36;36018;pr;a;a;l;2;C;52.0;395.0;0.0;0.0;1.0;1
36;36018;pr;a;a;l;2;D;45.5;359.0;0.0;0.5;0.5;2
36;36018;pr;a;a;l;2;F;42.0;320.0;0.0;0.5;0.0;2
36;36018;pr;a;a;l;2;VI;59.0;430.0;0.0;0.0;1.0;1
36;36018;pr;a;a;l;3;C;69.0;367.5;0.0;0.5;0.5;2
36;36018;pr;a;a;l;3;D;58.5;322.5;0.0;0.5;0.5;2
